No,IGN,Fame,charId
1,KOICore,48986,990a2e535ef391de1bff8f0a3e4ca347
2,Patchfinder,48124,ce824d140a80750bdaf0ff60bf3c98df
3,DaMuExpert,47291,edecd9447e9234f3ead3d767a87a6640
4,Chicken88888,47249,5e4032bc78c4be974e59ca1460cbb71c
5,AgentDes,47044,59df1b67edc9b733a32841a194f91fd8
6,CaptainGantu,46798,8f761b9870a62cd9e4e7295647249017
7,CoreHorizon,46083,b1d0015aebb82169c0724aca75b360cc
8,XanRightNow,45957,d2291833f0f3b5cbf049ac868175adf9
9,OriginForce,45711,492d13e435227fa162088a5a017307c5
10,OneHitDPS,45586,c061a5c374b69a86693768dde4cad6c9
11,Ossifrage,44815,12451335384dd8498e0dff5e30daa20e
12,LuxTenebris,44449,703df4ebab77adde624883c63517c330
13,AgenteJ,44193,41c193bd514271543c926a38d6c2ff91
14,Almarick,43765,b71b9eb20c92dba3f0ddfc9b88050fe4
15,ThuanSpecial,43557,806eb386ed0477663dd7f65e4aa95a87
16,Hayazaki,43475,1eb00a63993cceb513b85ae0d75fd671
17,Zingie-sama,42806,8975b81196e7a6240d45faca23d405e7
18,Deius,42686,853402c6f80c18ffafdfd04453a58948
19,DepravedZero,42511,09374c5f95ed650f0ae873bfbc0840f3
20,GravityGum,42348,53392c82ddf51ce4f8ae2eaa4bbb36d1
21,Genos64,42301,c5d2957feae598ffefaf0c454560cc42
22,Bergman,42225,bce120cfeb1013df126a864658ada7a6
23,Dioooooooop,41917,392e7441c852e9cbebe82453d8a2ad1d
24,CricketMoon,41521,e4fc3f06c86e048c66502877f53c6339
25,EternalDeag,41350,d2be4e968bc2bb8e22761e7fefc1bcf0
26,NateTC,41328,f9933fb5c115e26926e64030aef38805
27,dongdong25,41269,a0d24f5e049cce4b23c8adeeed017a6a
28,Intensifying,41211,0b422ad2c9f927ea0adf3a59556f8984
29,Hortler,41129,d2ccde75036c17e7d8d27d7506a0fc6f
30,CodePilot,40872,e795c2d13426d8698dd4bfb2445322c1
31,HikariSaito,40780,b2a7ee05408f39c7aa0bbd018431b042
32,Xerack,40746,7fc45aca65ed52bab433aef7b999574e
33,MajorCore,40710,67558e3f718c7f590445a0587f0d66c6
34,Knivillions,40625,978143f9a362fe5e92cf2a025aa9de9d
35,Donenerugi,40493,cf465fec222e7cdb4bc3410e505ee6a6
36,Gorick,40478,b581e6cf1c7ce72f0ec9c652cc6a37bb
37,Airblast,40180,14e4e96ff12d32171dbba7d407bf6bee
38,DrQuasar,40168,a4c6e95d9aada1998b90018f01146f86
39,Vytzen,40111,945911026c54fb51cdd44fc6a9415f6d
40,TurboSoggy,40057,796f894747501cdb00256c4bf7bd2437
41,StanceX1,39881,a20f7a801f4e3a0bf94a48903bf55928
42,Makishi,39844,50ee4b616f2641c4f88e060da63acc60
43,Michrom,39631,77616aecb17be61e9adcd6c9364ae9db
44,Visualize,39146,4f6bfd505a20805f3338df864793c866
45,Syntactic,39132,ec0544e168709668006cb1ed0f50df82
46,ISKaito,39014,d3208414c8a5cc7d11ec42dff1695234
47,0YouAsakura0,38756,54e9d75fe16a51f903aeff4ba984cbe8
48,EuclidesRV60,38455,748adb02e426c6bfbaadcd8ffe596d58
49,Masterminded,38446,0dba4e492571d250dcec02072e11a215
50,SpeShun,38241,2d74a8ef7c1464f5e2a348b5c458e5e1
51,Mrsprofessor,38190,d79e655b11d7ead11dfa16dda9d61359
52,Tekkar,38010,6aff50bdc733f313f880803611a19e57
53,ElBrian,37824,7ce29c8a5b2100ee204e9dce4c48a77c
54,Wendolo,37809,47a35b12819476ee5c36597bc1c9101d
55,Rustdedclass,37311,c77ba736b5e6127f282cfdb4a43c04c0
56,empoderado,37243,a61c5eb1d17fa52eb093a79204523d34
57,wilmely,37191,5152f13c790067b8cc1fa7cdd699ced6
58,LaserAzul1,36924,4f5e7d6ba6a5dad588b53b1a1bbf04ee
59,ELPAPITO,36904,facbd53e5745f68d324b476ea9ebfc8d
60,DestroyedGz,36860,2523463f11aa636fe9da0b61d65dbed9
61,Metang,36801,a31a8a0897ffdc51728c22f849c1fcc0
62,DrStein,36542,d6c811aa8132b260bcef7c087f11a9fa
63,shargreimon,36500,c24588cd05d90c8ab32f8b6570feb449
64,Coreageous,36410,abcfcd70eedc2430c75f05c48208a806
65,MS-Zenon-,36300,bfcd0b451bed9de99589070ec9914002
66,Jackmaverick,36270,f0a49ec6a1661df205820551d65a4cbf
67,TechniShin,36202,0940177b794655f7602d4e89a650a79e
68,Daliot,36164,7c6728ffabb043af66c58d50adbb12c5
69,Dexter2077,36143,53131390caec1b86ba6c2f2b8bbc6189
70,Yaroslav,36000,9678c44c65bc34c158f9b5de0f0d105c
71,Quintillions,35872,f9a8de9c0b7444a2b5337d51ed22a202
72,Amenadied,35794,105b3b3572c0377c1e181c7e9dad6050
73,AgentDesi,35739,3b07a416f873bcf81088ffb391a23598
74,XanderBurke,35687,95aeeded8c02a9bb716379471773782c
75,DanteOne,35543,4789dd12f302efb19ca025f853fd12f3
76,YikersS,35527,81311d15b4fcd7ff9d1bf036379330fb
77,VNwilson,35415,aa181412268d4b65e9f1972349bf7763
78,CriticalFord,35284,6c3613d8924a30c7d3c24a1e00ce8603
79,xKnifeParty,35266,906634d1aad91fdb8fa98405c2b8d2cb
80,ArsMechanica,35110,1b8cc17b5f0022fcbcd32e60b35ef1d6
81,ShadowCool,35104,798f55243102415c0349309ccc5ab424
82,Agent000007,35095,3645e53c984011bbe986d149d5a39219
83,finderKai,35052,ea15b9378430147346f7f03bf5fadd8f
84,neopp,35018,717c55474f886910a2d142faad824c9d
85,Slumz,34935,070ffc842497f07ac080c71c3e96f68d
86,Drgeiger,34731,ad4fcaa113f2cca072ea1e1d42180011
87,ssiL,34694,c22eef85c3686768c38d20503397a5fd
88,HectorSan,34693,8d84adee5e7560817b10467b6d76b9c4
89,Circadianer,34554,1195a14c4e250d2284abe8cf798881e6
90,Luke,34503,0c708e6b006cf59d5c061f0669ee6386
91,benancio,34432,4237a34c1b16546356e24f73de309006
92,FuyukiKouyou,34386,4e43878655795e2a475395471ef96926
93,ollTHORllo,34320,a8b2a857bec46f4326bb7489615d932f
94,CJcoreChaos,34319,81f59b78145ebec0cb08feabf7e0e700
95,Number0018,34254,e2301279b568baa8e0f4a42d8bcb85ba
96,Cid_Bunansa,34234,335ba99a227ead36f8e316aac708f65f
97,Shulkclone,34169,7ae8c974ac8d9588f5b0e4f35ca16555
98,Cachetoncito,34145,98ed6d4a818bdeb447c0c4c1c61dba0b
99,Nithmor,34038,a5ad2912ca1f0322498a3df79671db14
100,AngryITGuy,34031,ce42215f65bcf900be97009bc8304e49
101,iBorsis26,34027,14fbc19f63b919e9ede924f2ef374aa1
102,Vrel,33846,706e8998ad5a5b2ea6b81bb5633bbdc8
103,Karma-,33827,e6e2839f85d7a69ce773251d3dad1a07
104,Cris007,33778,890fc16ee0d099b8b9ea6e4d94b3e0b8
105,QuoVenture,33599,366662b0fb8a1dc6c6302d93226545e0
106,[CEAB-2],33588,0113740ffb58b530616c5bf0c29b9fce
107,Umash,33519,bef2e85e244e0cf247ed777c2a5da5fc
108,BlueLightSpe,33472,30c7a362f54b2be43abaedade2cf386b
109,JackKaiver,33469,74a68fdd680410c53c4b5b910567a696
110,Vikter,33360,361fdafe245680da5097797497d9e9a8
111,BoyCoDoc,33344,d91bf5f67a716519fdec0b7a409cc8e5
112,GodHeracles,33234,a08fd26d53e7a3b83dfe57e510b46e1e
113,Macksen,33200,6e6de125cfb3d517a9d331f6d0c4259b
114,Fulmini,33182,38207ae38e7c74b48aaf9fbf13a21cfc
115,ViceNobody,33135,c2032a90f5fa399aab7c11560f0aa391
116,Nullyr,33047,beadc87af1304f48ba341be696c078c4
117,Cliyon,32986,83dc1bae6c0032772e9fb21eb149db79
118,arthescool,32936,7ea54b72b3e91fce01f08d0824c892e2
119,FearMyCore,32923,7a0148ca55661f3a3862193a79730308
120,CudsoSpec,32915,15fda6a08ba8ef42c0ebfa2b15828584
121,Dranek,32864,0f2e5686f139c5aca909a6e566adb7a0
122,Copperwitch5,32846,59326e1aabd58b89410e8154dad46d6b
123,TestTest1212,32800,d141b9542d1eac20a3f6b98298c1807a
124,Jetpeto,32770,9fa6297e854717a64bdff28206e518bc
125,Vencejo_Real,32668,3877e15f98345991afaf60bf428e3e44
126,Mwller,32623,860dda6663b6fc8628e8bad8a9258a71
127,dunn25,32592,c1428f7d37ddd1fc72c9dd3597737726
128,Tsukuyomi123,32523,af6674859dad1984dd512586a4dcb536
129,hollenine,32402,647cdd1c2c8828111286abad55ffae0c
130,hipuelo,32144,0609b4c386c986578b54fc6b88c35cd5
131,zarista,32011,efd72649bcf9fa10814baec6ef35107b
132,RykerSpecial,31661,349a53f4fc0eec791aa07276b53d84d5
133,Plath,31536,77702576f00d26f40d41ac8ee7753b13
134,15thBaam,31523,0d034606b0315aa268a280ee112fdcbd
135,NastyCore,31522,4c1d3fc71ece319b55906a1883360dd5
136,rafa2069,31513,56369f3f63f4b93924ef7428df876887
137,Ferchulin,31432,d7293df15959437f7cbaabd5a8bfb245
138,SpecGoldJack,31368,a6e13681d229378b4e7e928b8590d0d3
139,Roxitt,31281,711425e68c72c067cdec623bc6156e4f
140,Arcore,31261,bff87727735a4974d0e4d48e3c6ee9b9
141,TechWasp,31167,4938b31815578bb0ba09e4ba720230ea
142,AgentSolo,30925,20574de6fda7b84c39df1cdbb5b79852
143,Profesional,30898,9c27ab0bce8311d4462c3ce9efa1063d
144,Eddy7,30822,7fd55a75ca5ed1083fdbe01f0dc2a065
145,ReMincelot,30811,48afd84b304a48838b6f503321e08510
146,Sterline,30735,1de27c5156a22235d360ac1c3b36350d
147,FinalGlow,30710,9a98534e7ad9c1b3118fb3f2a028b6e1
148,iFuture,30463,0a696f79bc0f308de0bfb54168231b94
149,Yershov,30459,98f81beda0cec2da12d04e68f42a183d
