No,IGN,Fame,charId
1,RenoMuse,47354,69fea0826a1f3f3da4e063c4f372d6fb
2,Stars,47341,bd00cb9c2ed1d7f688b13888a218fa8d
3,lLynl,47011,1f31645bd55ae9176cc4437182b3712e
4,HoshinoKylin,46989,feff3a3978d67f761c20be00f2639d8d
5,umeowki,46966,f0982e1c45a6b8792711f92365095757
6,CocoaMuse,46527,b094e1adf14be84b3360afa27ed1316f
7,IKunMuse,46527,ae11d7572f35fac80a959df6f7dd20e2
8,leaderHoney,46388,634e20ee36d4bf577f6f492a26e44b83
9,Saph1re,46278,26723c709e2715d13250f2ad8c07b5b2
10,OPMuse,46222,6cff91f05b2e60405a1db78f690f21d5
11,HDmuse,46051,2bad96b47d5b740d8d2812d5319e8694
12,McKaisa,46022,9181c94bb812ceb000b535e1dd3d2769
13,lKaaiYukil,45938,29620df012a634627f6db94fe838c637
14,Arable,45740,2505b9962c51d41234f7dfc8ddc60d7a
15,NishikiAsumi,45677,9b138389be4e09ab1c412767e08da227
16,Ayaka0,45581,003f0e1857e5c41306ba623933511fc6
17,AprilMuse,45571,0df10095238787ee3b617b9b94364501
18,xMuwuse,45535,88b5ef9a59b20715a8a282ace825c943
19,SYueMS,45424,11de5a685cb1422247bbfdb9b629f413
20,Musox,45251,32cc2df0733dcd901178d44c6f163856
21,Airena,45207,f237ada9d03f609075fc09e312088726
22,kof12,45127,66732387a7b0950022b6868efe821f2c
23,jlee011,45116,6908cf59197c745159855ea5d07b117e
24,CantaPerm3,45040,061c3ddf25b5b56bc8b78ddf4f5ed82b
25,AmyamyaKawai,45029,45594710b5e38e189d1fd2677bbce27c
26,PuppyMusic,45010,8f8bbce0d0cfaa0a49b92539cf92ca53
27,XanDiscopolo,45008,1e8214e7560c5aef876c839dfa598cc1
28,NieNieMude,44929,a3d5d1d71ff7c5c8e6b4f8807732235b
29,giannas02,44839,75d0f339825e401f88d436a59760e9aa
30,MusePrPr,44829,fef16c82dedad01dff0283ea26c4b72f
31,DRDiona,44814,75a1a946685238c014a975034f93755b
32,MistressMuse,44814,d2ac1cb02361ef0c96bba02b58e3c4e6
33,xenila,44791,5da2a1dec87c850d29f84b9e9d2954f8
34,lll0v0lll,44772,497e909bda6ff2fe7c43f4a874cab64a
35,JomsTrav,44752,b6cca9c1a9505ff2f6ef15dacbc1cfc0
36,Kizeki,44717,256936827f5cba423b4d2618e9032345
37,Denpaluluya,44677,8c11f25fcebd7b0826684489fe3d3282
38,Myusi,44634,8d5fb2418c9e2336dadbf2392ae88b46
39,MaMaMadness,44592,9f8cc7c3672d83bf828068c224040a47
40,MissMuse,44546,683721dddd8c5ad335550ed4fc5cff22
41,kkkkkkkkMuse,44517,5dbd7d0e846b47aec1add25b90448904
42,HQMuse,44422,bf7de6fa7f22ed003c1eafe5020a5d68
43,NotAmused,44401,0f13f5d6a225ce751d0ed6a863e1a403
44,KingforCurry,44396,304746666d0e2c4465cbc6c6338a0813
45,MewMeowMewse,44396,36702f99c1641e2b4e669532b7151eab
46,Airick,44387,9d42c2f7b159123059b0edfa745abdfb
47,Terpander,44381,f3a2a6e55a16867b7fe1ce1a2830fe89
48,Creammelody,44213,0c2f173cd508cfcda533dc40d2881237
49,KuroIdol,44198,fe191368c7d38a9180f6d08248b5f229
50,Retrafia,44174,a5941ddd72a7965ab16c411fe917aa0a
51,OshinoAi,44172,95583c963c47ea311e8f0e23ddba5548
52,RockTheBeat,44112,8316ec6981e8d104832fe7c67bbba744
53,lolickgod,44098,c837f25e974dc7c03048f75180780b9d
54,CryusMuse,44021,b0e89a40b2678070d5049da655ca7d81
55,NghiTu,44019,31b1158f95ace8d228c3e5db44a50f79
56,MelodyL9,44012,a1c879c7a0d316f32192a35ff61eaeca
57,Jewel,43934,17c06a3b0e20958f99299bfe7211de8b
58,MusicRirisya,43932,1607e056880be29456977e49eff50d3a
59,HOLALAA,43900,94873127fe40b8c1199c80e68969e72f
60,Baika,43858,4154dcf1325229105938643a5511554e
61,NeverLucy,43767,3661520d7160ad2e702b1fa6614d921a
62,Mitsurihime,43724,a22fbb68be02f65f7a813f4504643197
63,HappySagi,43700,9f337655c8ef6c1ef256b50416d6011c
64,MuseDe,43670,2a5a5528b3379dbfffabbe4616ba3e90
65,StepMania,43661,27c9e66f19e0cc3ca88d1eb4a7e6f520
66,Gemuse,43652,f0e9d97927413c658d360b46141d17b9
67,MayVerosika,43607,6d9cacaef4689b8b8c420e78fa71ef4a
68,MuseQuest,43585,42c067e23d5a6bf2ea0d1b942884e61f
69,KittoMonash,43534,81a8a86b7cb439eff4b14e64d0b46e71
70,HarMoniousP,43526,60c10c8c91c0629e3307d97596fc5335
71,IdolRowlet,43515,7acbf37a705a5146ba57552ce04ed449
72,BrokenNigga,43502,a08938b37425d1a8789693179ac28319
73,Meneswa,43478,a5dccf6da97519e880f4d55302281c96
74,MuseSW,43441,ef59aef45acd540f1c54dab5d7696e15
