No,IGN,Fame,charId
1,Navigated,47749,1454a187b22de02cbc8380cc3b9942c1
2,SYueLR,47393,aa72eaa172d5f7d7746f32760a79f8f6
3,DRGanYu,47135,a2119717cfb5d343e13414adea93edbd
4,XiuXiuXiuuuu,47000,998016926371dc5bdb6acaa89818d70e
5,xTyrandex,46872,383da1c475a649667cbe30c3703ef119
6,Aobie,46810,890f1f3a25eac0181f8d93a9175e391e
7,mom30y,46702,001fa2f747017bb6e7ab504c0f9bfd25
8,lBlindPointl,46531,78021f5f6dd851fb7c2de0664923a303
9,xLeviax,46268,187ab0e890b1e2c4b30a7de587f453db
10,PekoraStory,46139,38317ebbffbdeacec16e233dfddbf3ae
11,ArtoriaEst,46127,8b9757bbb99ddd3393b9ccb1689db865
12,cocolada,46075,6a5669c9e5c558ffd73c1f2b5960df68
13,Meeruyumi,46045,5502941ce95b8514564bfd62bb54d31d
14,HatsuneCain,46044,052999deec73c237d0cceba17c60e6e7
15,Trucinox,45981,921c08be3cb2f9f05327a9349f43c528
16,Sintels,45971,7b1203a7369b3625df7052dd28977948
17,BatmansEnemy,45965,79023d89c4c0d9b8218202f3b2293b98
18,Lefthand3762,45942,9912122df21b08cf847ae2c6ba8315d7
19,HouYiK,45940,bc01d7b72a65ab46455f3217dd18f462
20,IKunTraveler,45870,534ae95fe6083e2d5085c20513a3ffe3
21,ChickenBow,45768,0422e74f45f92f533ae602ad029c1f5b
22,KawiArcher,45757,e278e64029ad2cd6493ed1338fef5319
23,Urnea,45649,d9947f4dcd58660bc626d77a2926f012
24,SternritterT,45560,613c0a8651d31a58dee427611e189119
25,AimAtGenital,45541,3303c50de43b35c5c99e9d48cdf3e326
26,Obnoxiously,45533,77064a7aceb55db400ffb5f7a8529f5e
27,nnbaby1,45509,4b3f45b0ceb5e7ae8f5ad4dc8e1320f5
28,KuroiRuby,45479,e83a6dd5f7a13854f6aa8ef945ff4c73
29,1Muse,45430,c9f321dddde8ebaa5ac89b32cc1be87f
30,Haruhi,45406,875da67b2b44066194849cd61a2e2ac8
31,Mapuplus,45391,33e71f1aa73929e744a10af94549421f
32,Hoshiyumi,45336,78df9573d821faef5dfb95c59cd96cbb
33,SniperRifle,45333,cc23f8bde05a89723e0f2b4694159a55
34,SuperIdolS,45274,c7ebf86e85810a51954d11ac66664fa3
35,ImMuse,45265,dd29a403a4ce1b628ddcd3237837b733
36,Nyatasha,45259,b440d1cd9a3fea29821e3d524697086f
37,BenzhouPoor,45259,6616b8875c093af37cdadaa06f977019
38,Hasukiyo,45210,964b1c45ec8743ca8aded6252043c87c
39,SenseiTravel,45157,8bdafc10d392f2f9a7d481c7bd4721ed
40,Starmi,45153,390cdd5a04c1aff8180fa4e344913d19
41,CHNlvren,45139,613381433d9d2ca9727543b45ef0eb5d
42,HakuRyusei,45058,f48dd8691bb8b3bfd51efadde851dd53
43,QianMoShaSha,45028,38a46285a3f8fb0ad528ca62b153bec2
44,Reniyah,45004,2ee7d7cc4a09230a6bee61acfbb3bf8b
45,AmiaMizuki,44964,6824bac5061af7325e6d035f1b7644f5
46,Mistbound,44963,f49817ff7200d33b0cd7590fc41a224a
47,Sylvaanas,44895,8ebabd732173c2d71bc16e0988cdbf0a
48,KiryuSuisei,44890,79f8faf36d0e74bee9ee894daf5b23d5
49,WomenCoffee,44866,448c7d86c34ff00d96085d7e5ec3318c
50,TeddyHazy,44854,263309cc1c127e74c18535ccb7ab8a46
51,SkyArrow,44833,f839d1b01f81398f56ae57400def6a6f
52,HatsuneLumi,44757,873c4adc9d5ba4a828664f3cde272872
53,BowSquares,44756,214a50f2bc90aa6e7088dfbff0149057
54,lChiYaYal,44683,f96533437ce49f2ef0ea46b8e6fe27fa
55,Ashtami,44680,a72fa9a6d96aeca69eff1177a6b63eb7
56,MilkTravel,44648,c89a71e1c631d470fb70e3a3ce4e43eb
57,iArisa,44621,aa68487f9f3385b8b7a916a928e59d39
58,CamperRowlet,44621,d17970bfba7d8b9d10b4bbdee7cfea18
59,BigPatPatxox,44603,8e5beeebafbde93d68dafd7bf8948e0a
60,JomsMuse,44567,2b38062aeb4971de3212f157993c2b82
61,Putaomeimei,44351,02f44ccac126e33771ff94a23bd85664
62,SundayArcher,44330,c2f60b7641ad88258584a774e87b7086
63,Baydere,44295,6d02fe1918eb36c330303ed3361159fd
64,CometTempura,44275,030cbf35db4048cfd8e980f5d9ebbead
65,XSexyDaddyX,44274,0c87a201fe2180e8ff186a8dd657c4d1
66,Amunero,44249,2a0ae4cc8d8a326a0cff006d9944793e
67,S1non,44247,ba9978b771e3e1e862d229c0d32b185b
68,EpSagitarius,44222,569fec82d5882b793b33d8165390fc0f
69,Yatraveler,44174,cc9fdab89d018d5a245ae046b21c8af5
70,ArrowLess,44163,97ae8253c087d2619ac0b4d682f4f6ab
71,ElumiStar,44161,ad72353b7155fb4e5a48a4c47b04d736
72,Wurks,44148,53da1476321be3c6734c03d99c97ab78
73,Altastraea,44147,98639da879a7224b93373869da0129db
74,GalaxyShot,44135,65326bc1c05dcbc82ebcfe4d66e15a09
75,StarSavant,44132,ea5aa1c6fd18704e20462a8eefe1df3d
76,MPTraveler,44128,50d73638d70f2251b4d4c8219801a6d0
77,Sieun,44090,dd44c0bf16a6fc237b0f2d4989ee8c42
78,Dreamerdyn,44082,34e9948d6ed764e5576c062128d9a3a7
79,AtelierRyza,44079,b366a942312d599334eed9c8ad3d5093
80,PartyNextdor,44077,28a84858793ae6415b0042ab59f2b6ac
81,WarTraveler,44072,972388a6d2923247afe2eeda564a81de
82,Usa,44067,436c2c4f9f1622a73c7c040be2157e21
83,RaiinbowBaby,44036,dc12e0271fa047644f7dd739b3de19f6
84,GenshinSTART,43955,0794119b55498e790f016fa60d3d4e01
85,KillaZhuu,43947,6ae474b182a140fe4603e06efc788cca
86,TwIdol,43896,5f287e1850fd350f3edea0a8416d90cc
87,CycloneCat,43881,ad781318706e697ff9f77943e37962ba
88,Casseo,43873,b8603006582cc978e86c702aea8159cf
89,Hymis,43860,2ffdeb67e48386062a95a3e9d7694909
90,Sevali,43849,ec4a1268ffe5bd08c380d661c7cdbd1c
91,OnlyOnePenny,43815,00f02c14fd085eff8e2cdcd330e47503
92,LadyShrike,43804,ce2975891b4c01e3511977abb13d9c9e
93,00AA00,43766,3ddade1369ffffcd50f8d350490e7df6
94,MarchVII,43766,839a1747869f33e199bc6a03ae121007
95,Toxophilite,43754,eee19c74d1d32b1fcfad5684054c1c59
96,Yu7xStargaze,43715,66c0cb6f717708e68788329063899b99
97,Bulubiu,43686,7896daebb295991a4890a5c5b4fcf1df
98,EmiyaLambo,43681,e54a47288e66283c4fc3b6a1a67d816b
99,TopokkiBobo,43649,fbd02f1795f5a78efb87496e808475e1
100,XuuuuuuuT,43649,14f2c766215a092de8d3c8ba03ccacd5
101,BocchiRock,43635,4b13e76859aa06a9376d995faaaa3af7
102,CoffeeSummer,43634,4197296c36ff901d0b9bf2165a4139ad
103,DiceCrystal,43612,8c05509ad549c99360f38cebbcfb3283
104,Eklavyaa,43610,ddb3fdf181a4322910ba9a0f7613dd54
105,Asustraveler,43607,056168cae22865356c150568c90ca17a
106,Luminade,43595,0ab8958eb34cf1a00da13368f30a7589
107,celerys,43583,15d03b9575bd7046c7fb4fabb7f49a2a
108,Yuiria,43579,1958e883bae64f4305338e69a2845f06
109,Y0imiya,43569,5261102ef7755c1174ae1aa9d5240f9f
110,Vereesaa,43567,d8535b0e7953f09d7e3df83047a3a2ca
111,BombaSexy,43567,a861147b2a228162b7478b9a31ae33e7
112,Yusakiz,43563,a6cd150ac9f8d633ed6f5e38c31bb479
113,1Believe,43551,d7e03d4b60e6a8d74305d342525a38e6
114,BibolArcher,43550,66c427f184216b835d7fb0108134b265
115,1shtarRin,43543,a1a7c462540963929388d56aa15dafad
116,KrisZhu,43535,f459ffaa206652e1d42c5ac81a8e72e8
117,babydong32,43520,1338807cbd6d8507abc274a32ed18422
118,ChanAi,43499,7fc6c822e27284f2d41a320833301fc3
119,Tooveler,43476,fc64425f1d177bd91b359e5a323f6d25
120,oBlueDream,43463,b23a9844e4a1d7cc7fb267269dfe26f0
121,AstralSeraph,43435,8b3ebad42e1ff4ddf5b9b1a4f856dced
122,Artikuna,43426,8bfb889d4de27ec2322a7cb9be6c926e
123,AoiTraveler,43426,88df1d59d3c8a3795bc957a6f0052f15
124,DJManastorm,43375,0c4cc14edd8b6aa2019ab8c84ccd12f7
125,Himaria,43361,686bf8fa69345cf31f9479b9f814b3cc
126,ArCuber,43303,cc5202d54d121a751d3a9a1bf2754ef2
127,guangtouARCH,43302,9108d48e2be85987af386088917c5f8c
128,Hoshimari,43284,ceb2c0e99c4a3100541161b9b5d94d07
129,AimedByPussy,43272,ddd3c61ccbc828444137ff9e251406e9
130,Ramuchi,43267,e5573914ac831944ee5eae6d4453b2bb
131,MurkyLeftBow,43258,1d82164ea638ca93688c20c96efce63b
132,Astrography,43258,315df287ddfa6c796f5a581523777f20
133,Lucznicy,43240,25592e78afc5941409afed05d6e558cc
134,StephLi,43217,6292fa4b16f42f192c63e7f8b5ba8749
135,CosmicDreams,43214,6ea97e576d1fa5440c60c5c13e1bd8b0
136,CaeliSagitta,43211,8f028c63e6ed256ab39adad51726103e
