No,IGN,Fame,charId
1,Kwun02,49702,e09623b075035aa67854035ff34d612f
2,Sentimenal,49384,3e8defde7be0ba8ba8939fca10987625
3,Deathismercy,48680,bfbfc2c21b566c4987483df9225454ce
4,GymKing1,48131,e861213e9a6652839fabf7c5c1733458
5,Aquacute,48059,89c07c9c24c4286b3594d14f5939c5f0
6,D-K-Kon,47846,a282a8b89cab760d8558727dc62108e4
7,PhantomEst,47233,105557a10f4c7e345769a2d7eb3e5bd1
8,DarkWizardz,47162,11d9f8d9f754fc0ed277ff90b63e86bd
9,KitakamiKAI,47016,a445c6d4309278208dbc7dd843dcafca
10,T1meLord,46737,47d3539ea93a6b2d69dfd52efa57e5d6
11,Darkbrutal,46473,3cd420cf07e5b314c313692d32e5c25f
12,DancingBoy,46393,7b9495365a5277160f4649068cdd0078
13,Gal,46290,9a6b0c25bc45f4eecb85c3c82aeec521
14,pokeyprada,45759,a8d23e203f80015f0fb9227cdd3c6e7a
15,Allusionist,45753,721ea2aada3839baf1c87b334976fe8e
16,MunMad,45695,c230147af50d0739e117459a54ed52a2
17,Dkna,45226,4a2f936de0545958d30cfcb67f1496e8
18,Hyex,45222,e8985c43325639383bfc8e209a91e4cf
19,Atekhramun,45085,c59c851409172e0c021722d5f63cc6ed
20,woshinibaba1,44372,d24b9c39a6253a39c3f738e6a9f54d5f
21,Deitre,44285,c1cfa8d56536fe06593954191cda1136
22,SSShiEn,44263,5c9dcfccf14dc0a4bc8f8453b5af8949
23,Kilij,44262,17ff79d88ac5cd7b4f8f5f48e78f4785
24,aSmoke,44044,618eeb56d90d41916ec3006d0cf6f7c0
25,ZdpsEnjoyer,44038,e6a3b96581a7477908442cc48d2f9c10
26,MysteryDark,43959,3afea79c77decafb7cfe94106bfc281e
27,LKdeDK,43682,5f028db2ded7560beb3acccede04adee
28,TalchumMan,43636,f97d0a9c53546a430b20f8ef74645468
29,ZMDarkKnight,43607,10e1b68bedf92a8a86c5d3c001f8a5da
30,TureDarkEyed,43587,0bfb5b9f896b5a14fe5c3d5b7f5728f9
31,lenabb,43560,3dbc70e34edec74069a2268a267ff10d
32,Tsuigetsu,43320,ae9ffec3c05604db8b682c177ca4a207
33,AdHector,42905,4fb631d460c61ec417bbaf5d9b8882a3
34,Ozius,42887,cb6cf3458b1a21196cebb9abd91a8b9d
35,LordOctober,42817,581247ed8f91d2c7627cb398d1cb4377
36,Topo13,42725,76c071aa82f721dc6b1070ae6945db5a
37,Usual,42454,ff4593cad21b6d018ef955cea644ca7e
38,Aflexander,42296,e40e4816c5db1ff3b3060e4965ae5b68
39,DonkeyKon,42293,54ca6feb8f2db97be9fee052530945e8
40,ChronoKaizen,42030,d9e4bc26e015cd8c4b53845ac2fa4342
41,Hevrgelmir,41787,e1d589317423c3bb5f5c2336f90270da
42,llSaoNingll,41699,a2d2a3b8391291c5c7153a0727bd95a9
43,freecomDK,41610,1d4909cee4d019e68ed76d7f000421ec
44,LevGauche,41549,560d524f93c943738cb66d4f261a5ae2
45,DemonKingDPP,41494,d105cdb01dc6f69a4c0f75ce678baeb0
46,Kisekiyo,41390,36b7e541c04b71c4dc3e5dff5c34084f
47,ZhuJiazhi,41378,b5fe46d489e53e817976067624800df7
48,Edged,41355,dd1bac99773ea6818a9dac224fcc4bc3
49,NeoDarkK,41242,4bb49840ae2c2511f9bae409988ccce3
50,HealthFetish,41241,b77926bd91542a3ed25793c85c3c65db
51,Lies,41208,e3e0b5a19158557057ca9dd6aadaaea0
52,Aooovvv,41165,bf0c27ad6ae4e3c9e7dd68eb6446929e
53,Kamuh,41059,a36b77d8a00a07ae5ddd1164e06b5b37
54,HK30cm,41048,af2453ebb9520d1509f660e953475035
55,PlZzDontDie,40888,d2190dde07bddbdcd0019729c21fa668
56,ReDarker,40876,991378a793d0ff59879d5f944e98f75a
57,PacketPapket,40715,1c22fa9ac574621b4ff982da089083d4
58,Tseyt,40652,e6878e5a478c2761f4d1e654abb707c2
59,Munennmusou,40488,5ce3167bcfd4eabe229b0c0ab0ff79ee
60,Moorningstar,40288,cc66549930b21aff28beb9dfd7bf494e
61,KeyboardSlam,40085,5ebd7c954828b6b20370035ee827d4c6
62,YattaDK,40052,9f73d53138f5a5babca7517762ae31c7
63,Kniice,40036,26adff43675b70e8fdd58767570ba19b
64,ChronoBak,39990,c894a80ff5de9eafa4b34065aecb63dd
65,SayHighLow,39804,b65874bbaaac051fad73d798df5f7e63
66,DeathNotess,39477,43a643e3b2e03eddbf8e4f93a50e72b8
67,TooMuchSalt,39381,36e9edd65be3c154d351754720dbec28
68,Gulruk,38965,7596fb8bf8f663c89548d5345b3458ec
69,Terranite,38855,949354ab9bec3966b1697b1efdc8e9d1
70,ZareTime,38536,210aa0177325306f5bb0d38759ce19e7
71,MoteDk,38427,f83ef5312461f30ca8673f73667f1399
72,TheAllFather,38201,2d3327034704b763e9ae86c6c1652453
73,Wors,37713,c4092245a298aadd208ba6ff422e2477
74,RiseDarkness,37654,b809e032aca49a6a41d76b8359402995
75,LilRiceField,37387,fe5c3d502b814c10ec9f743ec7f25d9f
76,HatsuneYami,37304,316d72941f2583e9ec4588131d5fdd47
77,ZLLKLLIIIIII,37177,c7f322de847d37cf2dfa275d02b803ba
78,4LBERT0,37150,57feb3faeb26cf14b8e9bc9127938321
79,Araskiel,37069,ec52ec98a762dc22d7174d3824a3ff20
80,TeflonDon,36788,9d6227e75090d5d34cfedf4e68f51c55
81,EXTERMINACU,36768,7236bdb96fcb7942655f51830b3fc00e
82,Soil,36686,06b6358af51fdd3c384d5cbca5a1ddf6
83,SuperrDancer,36676,ad31fbc0ef52057989c8e54574f605ac
84,ButtonSpam,36645,0f6ef857e776821206461ef8a44d4370
85,SamaelMagnus,36609,5022a7b55cecfd17bc248813c46b391e
86,ChuunibyoMan,36547,d53bfe817c10a0f033ec56732dd1550d
87,Seleifu,36541,9ca3c55f5b74446205a7c9c8748bb8ea
88,Seech,36248,02896b3323bdf3ed472a8e1871bdb7a3
89,DFDarkKnight,36220,79da387e95741da996e5e855adddb030
90,Selasan,36119,f281ec8a47e256ea03a42d8c0cc05de4
91,Claec,36042,e3056e50c6225f0e55c9f5dac722385f
92,Darkeller,36008,26b4fbc5f612fca79ed1b29c860e8cfd
93,Synapses,35859,f6a65dcd574385c53562eb879de61e4d
94,TekkenEight,35731,0628c30faf8b873e0043bb5984121720
95,ShadowLordso,35699,0a80d75ab880766bf3ff5502cfff6cc8
96,Huzuni,35595,b90a7d15804d2561111472ec0904d32e
97,Kae225,35577,b0694b0047ae1ef1b8c33b27c77310e9
98,DeityWarth,35537,abef034aebb2b33de61bf256f8127282
99,Afraiding,35525,c355131c11fa1f1616607ae0fed4d3cd
100,TimelessKing,35512,783e5e8926efc74ae877e076f5998310
101,Kyujuro,35420,9a379817e26f4334e089c756ad97f3b2
102,Abhrathyit,35370,c0698997681b5ad9df8e51978a1a4ed0
103,iCopeAllDay,35157,a7380453f089a24a8df08199e1d883ba
104,Kuyakishin,35151,c00131f90bab5fd4d366f8f24db2d552
105,TimeDefier,35119,237f2de2c2941bae8421e1290419cef7
106,Falgraham,34980,4211f138837ba0a974c851685a5beccb
107,xenallios,34904,f1d4d2912c0cf4a1f3a4f6efeca5e6d8
108,Darnel,34863,8a51ee59fafa261047538f2902d3324b
109,KuroDaDarken,34773,655ea0df49bdcb6494990cc7687ce0f0
110,Orojimarui,34742,a218e3403e43051db60092ae2d6357d7
111,LucasNet,34620,e7b36f0026db1b103e78ed10476d5c93
112,TooComplex,34455,400b0e5d91296c6f026db99e3a33e387
113,Khruses,34430,1aa1093be1972cc54f268e675726e033
114,EvilZero,34329,4dd9ed05d6a626308833f2a16aca81be
115,NolanNet,34308,0c9eae84d13315ca9dd8b8eb44acf350
116,HappyDogs,34176,d0c21dde2eae4caddc1a983e4e0113aa
117,DinkMaster,34109,6bea129aa05e8a8e03c9f0aa76a99915
118,Zalazamel,34074,f39dc8cf19da5abe142d0b0b55247bb0
119,Kelleth,34062,6cd23ba8086d9b220c5a07e076cb03f3
120,IgnobleJack,34059,7ac3cf8910d2142c0335bf5bb0a83da8
121,nomb,34028,14fc26e1f670f21fc5a112f5bc26e7d8
122,NIOHlegend,34017,8baed8d17f1f4cddd67e65e28a4f23e2
123,TheEdgies,34016,4730c11e220d065b0ba824a1e1fe416c
124,KuraiNaito,33940,b2731894eca53b58e971dadcfd1c4820
125,Kramsher,33862,1e3cdd7b815f294a1838bb56da151a21
126,DarkessZer0,33685,ec32284c1238353cd9d7b9d9d08027f5
127,Tyseuo,33480,4d42715d63cda80f883398ced4d80588
128,DeivisSan,33352,2f586a4292b12896e0a781f76d27d5c5
129,SolSalvation,33260,f1f005d85be9b4e809f97c9f6b1bd196
130,KlausM,33200,eb7fb2f2d5f61ba23e1db2362dfbb0f0
131,Jugglingking,33182,a529bcbab180f5c719255e8e5af0b747
132,Syula,33140,f80f2d7e598ca823bacb8646dc63da4c
133,MumuKinght,33124,feb8922991f11c402178aba642f6c80e
134,Reivaj,33085,c9d77df32676ee2d3ceab4f0eb79e811
135,S1acker,33079,f07424e09de0ef2127bb5d659dd5a1dc
136,ExDeath,32968,5c818a0f7bb9e7701e4acf639a924534
137,Nestero,32873,9770439787f714ff3c2b5cecaa5fd401
138,Bein,32867,bd096a76cba47eaa8d808a25c54fd433
139,Lesco,32866,15afd0b9156669ef6945d9a996406064
140,GritUnleash,32796,45e0974fc2ee240c9c571f7eb134f38a
141,blade55,32698,647428a0bb01614ef6f37002e177987d
