No,IGN,Fame,charId
1,shuaijiuxing,49437,e6ba3bf0bfb848e4ad40956ac41bb216
2,DYokeTruck,49369,c6bb26c656599db9c9010a2a46b94db9
3,xMalygosx,49357,047641195b8041a251eb6969680d2454
4,NanaAsaka,49347,8d2f843c0cce50725a0f4f71883ccd23
5,ImCresty,49067,087c92a2f16bd6219833eb70c24c6f40
6,Sintel,48649,204e77418f0d8229fbcb8f0c35f6c5b7
7,jlee01,47839,63c099ad48c7863f3c48dfa104851612
8,lTempesTl,47445,b64fa4f2f1cffd2448ea2ea20fc1e3d4
9,KarnaG,47403,0418ce60233d1c751f3eacdbca51d302
10,SporkStick,47261,0e905814447e01fda211122d8b22551f
11,LunchTea,47114,8a115c839f3aec9b46b7e305e7d7d630
12,Topo2,47028,9ebc5e5e3f001c8cd733114c6ef43c69
13,Yuslo,46899,48ab73c6e2f35fdab42637012335eba0
14,Kartose,46882,e413a26650b186aec6e3f23ba7fbb382
15,FkHaruSoul,46872,10cd60088df1bd17b343aa7c7e5a3d0e
16,Vace,46759,59e3890f8b5cbc3b2fbbec8e748509a6
17,Teledron,46645,a7cc0df05fd729a728765bfbf6f624e9
18,JianDanJian,46316,6859889cea719d7403406908c251530d
19,xTelematics,46133,a4a116a9a202ea0eb1008c2f65f22915
20,Alizul,46099,4d62bd91429db554f3d7eb72535b029c
21,Genocider,46049,23497775e14129a9a018974931eaf0eb
22,YousaV,46019,e3c19b8e9b6f776eb1de5388e3ed123c
23,Asychis,45955,1ffacfe324997b81be00404bbf483015
24,SortaCoolGuy,45883,3e7a4e8f7a5076ae209b3ef4cc955e54
25,abanana,45836,16351ec33b4652339eeb276e29cee24a
26,Haru0v0,45836,c89cc31ca9e5d1bed90812b2a26e7952
27,DracoLances,45751,33d76a2809a039f1075948a634cf7763
28,HoneyMoster7,45636,5923d0e5701772b475278d74454c9b1c
29,Lightnessss,45613,c658a80d404deabd6ec39561f20bfb0c
30,Dragao_Dex,45526,77dfba50e4c97d1dda4f6a9e5a403146
31,Suilin,45513,83683b06c4b6408f082a82835853deae
32,noHolidays,45436,895d155cd10c897c76fdaafda6ee6d1f
33,Kinpika,45215,f2f4bea46d73d5eaca5fbb827efcc858
34,Ravnna,45208,3d151584763dfaab833f309c3db365e1
35,DreamingLevi,45134,0479311a77f5e5938a7f8792691d37d2
36,Piilancer,45080,d57b9f8e4cf19019762044e8bdae45e4
37,TenjouYuuya,45027,d9194cb3e43b5381e5295789e0adfc38
38,UncleB1ing,44915,39d8c3fb4bc339f3747be8bcbbc00e17
39,GoonCircles,44901,439818fa5c20b3ee13dd881748bbcd74
40,LongShan,44644,cf1a1e082633877b723cbbfe53905418
41,LYErebus,44632,1cc434e542e88b855d7ad3d091981bdd
42,Endaris,44607,3e66827c59a86f40ed28f75edb308a54
43,RX0Banshee,44600,5b82c2ce78eeeca3b673ff2da4481f7e
44,CMVAB,44554,2bcb12b9b118d592d91567457f997318
45,Eraglos,44540,08d5a08b62261830c7aeb99b96369ccb
46,ShiningEnder,44455,fc6618ac1b21eff15eb1707bb27f6f6f
47,DevilDemonic,44450,2d220169d3e70ad95dc74fba64367e48
48,GigaSpark,44438,a413fe7029c6e3efc22ddd4cdd7df089
49,Lucisora,44392,968497df43b0ad850c1b86aa642ca22a
50,Uhlein,44262,3d0fd4bdbb3156f43144ceddd943d4b7
51,Tenryou,44259,153b37ab58ef5a84b0d53cd033c63244
52,beamgo,44250,01cf8bab3d558c3fded29434526a3ccd
53,LordLaoshi,44249,dcabe5558b94928716fe0724a7e54af4
54,DragHighwind,44246,12c278a732a4516360cb4745349da715
55,BuzaiJian,44233,3e4d72870966a92f496077c8b60dfb0d
56,DamageMIA,44193,7f7c34fff86e19fab5f6d2bd340cc897
57,NovaTheLaz,44060,2622aed147e13ac2c4eb1a59aacbd395
58,Dragtur,44058,9ee9d81b59d23e9b69d2d5c6fc713ef4
59,Iychnis,43960,766742a6e6166efd152d4ad4e18a8e71
