No,IGN,Fame,charId
1,KanKanNaiZi,49370,95db005131e9a73a80fdbd9a474e2720
2,SYueAQ,48741,9b50b13e3581e8a31723b773804109ef
3,KOIImpaler,48685,b87bb83461e3a9872483b3c4b169dbaf
4,kofimpaler,48350,588808a0d482e3a3b33e9ad5470a6ef7
5,Sintean,48336,d9606033afa10a774fe32ffece08f368
6,Kurooooooo,48000,eb9c15f1c498fd2ab981a5aa3c2a4f3e
7,nightmystery,47466,3302ac035778c1272fc11d6a0b571531
8,DeViLImpaler,47269,46727ab84621b2e6ef324c92eee2bf41
9,Jamker,47253,f3388ae619ff12bdbc1f8bd7f095846c
10,Areone,47095,9879e4729e9b4a6ce6e32bc0d03acccc
11,Anyin,47010,86835abaf28b6c0b328207183c7df114
12,DALAOMENDAI,46944,10bec60c5959552661e481ba76561e49
13,Khanjali,46938,850c7131cf9f83a35579d879cd3195bf
14,CocoHa,46428,76d60352173ba8797cc0a986b86f4337
15,Xu_Xin,46133,7c0449a3de8ade9fb10a66f70668d7fb
16,Zoeel,46120,1403d48d36a63c8ad00b245fed1bcfca
17,erebus123,46033,fe7b5ef9d896c263efac4d37af72d338
18,Sidonis,46013,3e30da8de71d6c60b392cfc4745b5638
19,Frnkenstein,45962,93580efcc0ed8db125794554caf75b6d
20,AoiLance,45736,6723c4e9094828a62d4f6655ebcd7d1a
21,LsXZZ,45477,327af0bf6b53f8a7e25ffcc1544b93b2
22,SiuSay,45307,a5f45175e3067dc25cd27c5bf494076d
23,DarkEncroach,45219,4cbb887cd182decd32917bdf66c47a18
24,Schiltron,45185,d0eb61d8b522d8e6b8dfae67e57f6ef3
25,Night1Sun,45155,503a82f4b9aca9d630eb6c6212641422
26,Devorare,45114,2404325d218f10f4fd6b57839b2fe7b4
27,ErrBlack,45095,eecc8f61b980a54f4322fbd7b5750ad1
28,Caev,45066,cddf266824dc78525da9475616b55298
29,lucky7yee,44612,65e3bcca9d276687ce7f034e28b64876
30,ImpalerLore,44452,cf8c06389483f2e394f318b71fa8c825
31,Mannequins,44438,550b0a971b216253ec1b5572640ebb0b
32,Ichis,44401,1194862b723072ecebd21078b4d3b92a
33,JuanErebus,44345,75cfdf687d6f2bad9371424ec37014d1
34,Gemiiniii,44247,4675adcbf369d4bac322c4dd29f8af0b
35,Migan,44094,9de79c0f41895eb8e27a18033f8c5715
36,Diioopp,44071,1e1d1a8cd45a3de31fe7a69c01a0c0be
37,HappyDarky,44040,d3fdcca46140149e26060fcbfc811a38
38,DemonicRose,44027,ee7764e6a871e700f88d1c29389f1bd1
39,Casieal,44022,08ab5f2a4d4c30efb4c61758e8eb6bcd
40,Ruler,44019,e805127c660717a7f2b66aed0bb1f179
41,LoveSexDaddy,43889,8a1512dd11a7f6ce15799ba715b25a4a
42,YaErebus,43825,7047dc911550bdcdd543ea5ac55e3339
43,L1ghtTless,43824,da7775139b3c475706127a9a78033ed8
44,naSteve,43722,b257e6294c482b230565942b57e692ad
45,CrackDealer,43640,700eae3a05f9d7eaf2ae20b135bf44af
46,Nirvane,43537,68330e338b88fa3979199f2d0d8d3eee
47,Billyhatch,43359,e71899309505069b6253defa1f630c53
48,AdLonginus,43219,27581c71c6224a10a21dcdaa8e764dab
49,ImpalerMarx,43143,230417156cf6a009b5edc1aafeaf7246
50,Ratkuni,42873,785e1eb20b8c3a7dab2976b254beb21e
51,Coteh,42842,6ef198009663fa8dfeefc7dd60efe8f6
52,Yrac,42803,04dcf53d02c463b57f0c3359ce84ef60
53,Sesshomaru21,42720,d242b98eda58c0519e94bdbe272be80f
54,WrekHere,42613,e41a1547a6f7a0cf1121055c8b164c6d
55,Ankokukami,42604,5bdb46163b5bb42a85e1b56d07d44a53
56,Dialdo,42456,28636319b0b1e8d6a025d881469a66bc
57,ImpaleMi,42446,1e8398cf72f6e78e9ce04839b8175031
58,BLACKqiang,42437,a5f1d13a97959e96f76e47752cc03dc4
59,Rielsaorth,42323,ff6251b104dbc570891e5673ea70371b
60,AgoZto,42318,ed1a30eeec3f7f58889c8ee34688e0e2
61,Vois,42254,dca9a967596ecfc9b4b3a7573274858a
62,YuugureRyoto,42196,6ad47cc7abc728622f54274a134c08a2
63,VladZImpaler,42125,e42860be18e2002ed2d0e1c16c1054d4
64,Wooin,41796,bd98dfc466df6796ef8d0525fcc2a60c
65,Avestan,41768,22101d0bfa13ee6418619b0efc4eb8fc
66,SavitarxD,41764,c7ec458e27aae6b7e76cbb6e002216f0
67,.husky.,41511,d827f48c08f3be9e38c6b0be69ca41c6
68,RmaJing,41505,86a5e8d307651cf8f12f5abee14a3022
69,dongdong21,41405,12defcf954c1fa5fd93859c6ea96e6bf
70,JabbieJabz,41362,f0d91312d7836a75c1ce77898fdce9be
71,Zethanel,41213,b431fb9344ef4f4fd1cf3d5ea66b6de6
72,NanoPaler,41200,4ae36247a7e515f8765a8e9cd41ec80b
73,7thImpaler,41113,b0b7fe6b079c3c42d8c8d2b2103d9698
74,No009,41008,6b2a51ca093f681880ccf1dd906d7ac7
75,Blirsch,40988,0c188a6f753b9da1db538a6b8dc7a98b
76,LeviCorn,40987,754df27894fde54e2a9f42d502cb0210
77,7thWarden,40847,f5cff27755bb5ce47b2fced14ca7f007
78,Palerimpaler,40525,cbbaf6cb9a99c662a8e68217da025dce
79,DemonKing012,40523,bf8801b3a10b2d0b387fb9be3803f67c
80,PlagueThrow,40485,0b5a0d57077c767e3d6fa6970d07fe3c
81,xiujizi,40452,d3038d4010192fc05014890141af6fa0
82,AngerNero,40406,ec07e74db809683b28ddaf434d488223
83,Beelzar,40386,5a648d6458f27a0e0854e7db8b47abdb
84,ooRAYNoo,40355,099691289f3785c10ab290d526a646e5
85,Malachs,40347,9d773e2a5d3ef0cdad147cd96a29ad60
86,Pilancer,40326,e83cbb2d6de328275eac44c17067ac36
87,woainibaobei,40167,711a2f6bd36d64c390480dbf360c0e71
88,AbyssGum,40120,169ef2cd46f64113d8595744bc27cd7a
89,D1armuid1,40103,f512b9ca976642a22fb2b949e33aabe2
90,Noctyx,40032,1c06ee3e93a12ee2b92872b17b4da4a3
91,BobMataPlaga,40014,a4b1ebd400d4a95cd05ba84546531c26
92,Chitoscuro,40004,c23de5f355be050820b1aab9b09258ff
93,Hakunato,40002,5c4f4ff71e676cfb653b50120661c8a2
94,Torizun,39901,48d0403241a5706a8e4325c65d3fb8b4
95,ShadowQuin,39875,5cc8cca012b6e466332cdf2c52cfecea
96,lanceofdrago,39673,7c522f7b9d5fa1a6b29db527a2947a27
97,Zyzen,39528,0d2c67e98c478a562d8ea34e808901ff
98,Marquitox,39515,45a130e5462cc67e3566b672310d8014
99,McArdilla1,39512,921350d4704526e0a4041c47be6111f2
100,XVladImpaler,39497,dd2a369eb220a4e4faeb9b3af1992379
101,EternalOne,39295,338c62fed98fe8063e614bc9278a740a
102,lucahcoy,39291,fbdb08996c89f3a04570376c1cd7b9c8
103,Arkebus,39222,bfe88474a254ce5459127634919fa252
104,Burnite,39213,7be25d95499dc5b577b9cb9508ea8444
105,Ikaiyo,39068,6b92cbe95d584eb71de2b9cfe72618a6
106,HadeZ3,39026,0a3c098d83c8932f78538898f4d23436
107,MRzzhao,39002,baeeb4a61038de03b8c77d6d38f1d958
108,Jinkazano4,38944,d3f8a31aeb8633973a44047685b1c3e3
109,Hakdrakar,38939,1ab289d021f36c8cb5b4e24a86d6cdd9
110,EreBus168,38921,4e4f3003c483b33db466cbf5d86ab1b1
111,TomatoPal,38920,1c814550282c91912f2d93adab34856a
112,SrPorcino,38899,018217cde6ef64cc2b5a1cb1857342e4
113,HomeLinkMA,38890,7ac135cf9c16365b6caac2b1d1c3a778
114,yokeee,38787,997bda48aba68a42307e9d2e5986617f
115,SerialMeower,38725,4d5bc684fbad7d559dc3456ed481d7e7
116,foodfishfk,38690,995d2c1566292499a6d3fefdb98a1a97
117,NortromTheta,38671,d37654e78a4bb2363add06dd54336124
118,Cristokrico,38611,288b314571c7eac9d00dab6bf4332c9d
119,pickmeaname,38560,5a614b9ae5422e0e25a37f6923be4035
120,Kurenar,38548,acd83c9c06142f9c17f0e110c1b0400b
121,FATASSBOY,38546,1cc04586bab09ac9b84d40f3f441a256
122,Zuii,38496,d7729d844466bea3e1f0711115239bd4
123,JavyourASS,38495,a426e39d86d2145a7e67b096345de176
124,ItsReivaj,38462,a6c669933046d25aa1d32440caa11734
125,NewRonan,38418,be6fa725448eb5d244a533828e86e4b6
126,Nguyena2013,38410,04a72accc453eaaf4764cbe05a269d22
127,EreBlack,38409,b9bd4141e9a633d01d18545fd0952a15
