No,IGN,Fame,charId
1,Yarigo,49223,39d8e19a1eb665544224ab9fd2ae3a9e
2,Sintal,48704,cf3f4aed9aecc0422f9c2c497ac9da8b
3,Kwun08,48687,a5e694d058ec6e1c63c5e83f79a55931
4,TwoMoonRed7,48587,8d37d28681195570bb2adc81b1eea3a9
5,Virilem,48111,25d3afa3de3ef880a84437cc2d921876
6,jleeLancer,47663,62accefc0032fee04cb88a1e74e08715
7,acabbage,46733,298364d00f733545eba2644bac7d9d57
8,Klancer,46447,ecd0959669a1c738a2a55f3a914058c3
9,AzaelRay,46036,052f23e9cbc850f01f1bf9671785b699
10,CTLA4,45676,fce84f7ade124215017b432b37ad6136
11,DurandalDPP,45576,325c621d59bae5a8f538bb03c50a6096
12,AnneSoChymCo,45537,8a042640e927ac9956ed07774d666853
13,Dps0007,45530,4ab723cacfe9a9d06a7fe451db568f8d
14,TonyPxh,45459,2c7be51d570e475643d84b57a12b3d9d
15,Dilsinho,45135,da9d11f6b8b823e0139023eaa78ff418
16,chinesepapa,45104,1799815ab0aa6700c124d5581d598344
17,Wurker,45085,fbd491c59ccb7f135c244341733701ba
18,Cotur,45077,6893d0c7995caec915e2ffb18e786957
19,Auctus,45017,8226e7e7abb11fd37cede1b5b2c0d1d6
20,Xerosi,45005,0a0f3f2694f59502f214956fec3af51a
21,ZhangShan,44919,4b2a0bc2d31e1eef3d3ce1c51c7ca6b8
22,LanceABronto,44883,d428df34a616274a7d0354e4fb3ab1d7
23,GuyWithLance,44781,cf423ca6c8bb07cd9b7a6aa17786488d
24,Reyzr,44776,3fa7466f13e94e178270753e181900ae
25,HQSkirmisher,44725,5b5d80318ff331503ba151bbc24b0da0
26,Hakugou,44703,f7951811e5e3e42e6e6b13507924645b
27,Folka,44309,616e7d907e39faab0fd5c67cf21c0a5b
28,Avce,44273,18dc748c30048a8aa33637ed9f0b69da
29,TouchMyStick,44261,8057fa196eff00c0475d52a47fb3c2a0
30,LancerTony,44092,3fabac024955eb1de1708c037612f601
31,Yatou,44009,2b77d11729c244bf4f0111a858b33dd2
32,Topo25,43838,aa6b29645f72c8695800ed85ee88aff6
33,YogurtDuran,43800,1682b350964e913196ce80186bcd9a5a
34,MrStabbins,43784,0f397986d162e4f98e3db49ccc5a1cd1
35,Colin91,43658,1a1d9e25340951c1fe81abcf0086115b
36,Durandalllll,43419,250cbb7327b9092876fb8f8319fef9fb
37,NVSkirmicher,43253,7b54b02cb6d9bf9f481977b25db9ba2d
38,Overstrike,43230,301ae0d92c3b3ee9ca150d1922279acb
39,NonBioBro,43107,18a91139f20b52a86579601cf9ec0aa8
40,Luckstifur,43032,4904853b05fb1cf4dc3e925b4b995823
41,Cycad,42786,54b80ba6b89ea07ea9c8fa4221626b08
42,LancingParty,42748,85135ac27635b1a22e7bb76c36777e57
43,ByeSkirm,42667,69bf0b07a62ea576bd19100dc00ccb8e
44,ChenZhiBao,42630,c5bfeb93867a1aef517015ecac9e075f
45,Baulson,42615,99e6585493f79d85c12fed034cca643e
46,Hakugon,42556,5c92ffbd4c064abc14a0f7ce9d30a75d
47,leaderYun,42526,9d91688c66244175f6cd023afbca1de7
48,Impaling,42433,9de5ddd5c7339ce778dfe7b0d2089f89
49,coyss,42105,6646f1cdbf0593b41ac857a7d8c4b844
50,Vaasky,42093,6b69fadbc2681bc22eab9dae6d762c0f
51,Rayback,42056,9d7eb0487d0a34a49e8d5a8244283402
52,Jaimee,41811,24a0c93aa259cffc107b8438200d9ca6
53,SpeedyRye,41724,3dc269dba1d28385d67c36fcd78495d0
54,ZeroARND,41442,fb1e7786deab20dcedea099cd74ca107
55,EonGraham,41213,3e5041f8b2273593ab6c5029f230eaff
56,LongShun,41211,1e659341043aa1a80f5169228100ad33
57,ZLancerY,41149,8bcabfb6c1ff373405725042c45af767
58,Aurulentus,40946,6ff784db90236626c84d6b29700b1dd4
59,FrankyXL,40802,deb4852d3503ed5c712810331725a51f
60,Yun.Zhao,40699,9c2d222d19bc3b19d434053ef2138c3b
61,HellruinOmen,40596,989a460a4d8677dd1aa182630430649e
62,Deltose,40479,5dcc5d1efd6ef3516bf052fa3e77b32e
63,Elunier,40472,6c69e555b2e6e9fbae24da5832129277
