No,IGN,Fame,charId
1,Kwun,49758,9033795b642140f82753121b58ee8639
2,KaW1N,49466,9af88fce8ecb3a9cf0def9b3e9fb5156
3,MeRealMan,49410,3198f395e0cc0a0459c588f5d3314af0
4,KSCERATO,49221,615d40a511954811292a16c475f1f709
5,LanceEvo,49006,068177f5298d7c19d8206dac2d26237f
6,Moonpierce,47711,d9292028fcc9136d3eea516a2f44c9c6
7,SYueGY,47642,a5140cd5969dbd50e72e31bc54908c03
8,Braren,47544,ee3f3fd21da756c095aba331d5824204
9,NierNeal,47345,8ff6448fd53195dbeb3d02dd4fbc205b
10,readysteaygo,47344,4fee40457608499ac8a22435d6003f35
11,Totsugeki,46789,8afdfee549c2711db60fca0a5d11fd1e
12,GoldBirb,46575,e914b4e971e5923691ac313b75157e0e
13,AnneWarrior,46478,e0ae51f017bdbcdd6d87d1b8bd1197f7
14,WangShan,46474,3d59ae5110520a6e347d752c38ebae5c
15,Physiphe,46471,3c92e8b99abb0e61d186e80e203604fc
16,PhantomSpear,46443,9d1f1df50de93b53a60c2e96c72e60ee
17,Lazrhan,46440,541366e6373787aa00ce93604a848f63
18,Inabakumori,46409,35028dcc63acb5b001f79fb47fb0ab09
19,ThuanVan,46368,4da26688659f5ed2f4e85bb70986f484
20,Yurongli,46074,0c9cd35325b2093ab739a05830be37fd
21,RespireV,46072,43c639057ccb0b266e6f9c8d6b69a45c
22,Aycee,46056,3dc9af41746c5dacafb247726c873671
23,Solarine,45911,8b12a760daf1e1d1706127d914cac963
24,Stiffener,45749,ad2ce64ccf3b5d8e6a23f463c092a291
25,diaoder2,45648,1cd32ab5e4a6d607dcc3cd9611c2f52d
26,Ecav,45607,2929b84891c7b5cb0bd470e3c39fdcea
27,Killwofu,45605,8f4a39edc631dbcef77bf71d82675d61
28,DiNuo,45465,feee3fbb86f59c53e42a7f0849304376
29,Lancest,45374,3394b20c7151d4019132b6d3553244ce
30,Graykami,45349,88ff7f6e72eec3879213cacafb298954
31,VanCandy,45317,f6cd54927b40a36c27a774b0e1bdca56
32,LubuFengX,45065,e5bac5cdcdbbe08387c1cbd0477fac6c
33,Lv.1,45041,49c68737852410c327569d990e7bf90c
34,NeoLvBu,44984,a645bd3dc07babb0924bd270fab0e53c
35,ErebeusX,44891,aba6e10dac5af411e193265b774b2621
36,Harding,44873,02388cd9f530237a5d0d172ee554f7ae
37,NoBueno,44673,9498fceca9ca79cc939a7f8a2b30ec49
38,McChooChoo,44670,ed6b346800be12c41e8b63b859575cdf
39,Emelrich,44550,e3c197dff84aca02040b66247aacfcca
40,LH_Vanguard,44505,51c059deaeeb34155de3cb0eb771bb2d
41,NoDmg404,44365,dea7ed3f3ffe3aa1513ed23b22984df2
42,BestWistoFam,44299,60ffc6fa0a11eaad5d4851f613b925f0
43,BillyH,44048,1e2a4601ee0b6c48e20e13dfc057d64b
44,Beowu1f,44000,b957e5d22aee47823528a65a699b4876
45,Hitmontop,43833,8af682cfa6adc79fb1a71871ad1a91a6
46,GovoG,43666,0e85eb6fa9d835705c29663393b3821c
47,Haldus,43653,42248db96a8d1c159099fac8fedd1778
48,NeoHercules,43568,30794586a99a684e1a2ab8a38684998c
49,Barca,43469,ce17d000ae90cbd7d32f68c82a2368ee
50,ImpactCrabs,43441,5cf89cecd00d75825dc89f86a4238316
51,Kanoot,43352,545be084da9dc3ce90b1caea63cc28c9
52,Doteannymore,43167,0e9be20277fbc4814ca0fd5bcc56830b
53,Mars_LuBu,43120,937b7cf4a758e386040c3e2eda2dc77a
54,Peruvian1,43112,6220be7d85dd6aba9d0d87016793d9d3
55,fuuual,42977,217580bca367e1edd5f99a5f4ab382d8
56,Taneo,42930,0004fd753e4f60f071ea7b8abeada30a
57,WelshSlyrak,42812,1ffb7f7b5d6298379fee47d479c44cfa
58,Grenten,42763,87802572bf5a9eeda09188636523e890
59,Melik,42710,f3fcfb7bf8945997ace00e63cfc1bcb5
60,FkLandyn,42663,0c8502899030a563bf081e526cfe1309
61,Sintals,42663,e259f7d7731414276cdba1080961a242
62,ApostleLance,42632,fffbd3b12e078eace8d3bf2bd0ad7f83
63,SSSSuper,42573,34c9f19f173fabdd4385e479faa9f973
64,foongo,42483,286eb2af21b6391b81f196ade95d2b48
65,ChinBlade,42381,c39542dcb9bfda70e74ee832d7be2daf
66,ProxD,42375,250c206ef42e2281e67b4c2637c0d93a
67,VangInBlack,42336,ac5e199f12830adb0f592b6f08c5b509
68,LewBuu,42327,d4a685a06f15e8e7b4bce33d625d3814
69,Apocael,42282,3c012f47b168ba2c039670f8d3a65082
70,obliviondoom,42235,3b24d74353b27f285ec1242aae29b4da
71,WarlordPlus,42178,b98271a02fa2389b2b4a42e206d7e14f
72,FLclear,41896,77a230b6f8a46a0e1dc238f24f645b52
73,Xiangqian,41877,2f9b889a0ee08490f6f9751a597d1407
74,Topo9,41865,ae407eabaf63e00082959270debed01c
75,muotiansha,41762,bb3b2f06c0613ad1ab42443f7371e926
76,Empaleur,41441,b2f6404e10baf6e5cba62278723a572e
77,Olimpus,41421,65287def786b7d873e42c34f5e496366
78,Lindwyrm,41401,0477c050ab4a23be0a6a52c3e7d9b37a
79,FloorTanc,41315,efd08a1a901bc3daaf5053012b7022d2
80,MafiasLancer,41277,1373fadf03483db2c45d4fa7a3bb2231
81,TurboCock,41176,5b395b732ef821576e93e4a26dfc6352
82,BigBodyBo,41148,5e4c585500439417f36c5d83eac18cf9
83,PeakSpear,40884,364743afe7522cec2cfd8c32c957c857
84,HonorHalberd,40881,adde1a59342480b9620c0e79d2d83acf
85,Raruken,40821,ca510b56f4a22a81e267d76431d4a922
86,DemonZenei,40718,b29d9c597ffbbebd4a4425b70e2ce099
87,erye,40707,791a64180840f6d957958ecaca0da025
88,GodsGuardBoy,40655,4364f6bcbf04ae253d04aaa468e452e2
89,SmashBroJoe,40631,a61b846dade1e0e388bc03f49f9a6eea
90,KingKaizen,40534,6fc39d683c3a65e92f90c253029d8d60
91,0Tatsumi0,40458,5eebc221233e147b83ba3a289644dc79
92,Imunan,40395,bec167a1bc8603f62ebb496ed30a2353
93,ChaosShogun,40360,fdf89d0025555cc325c9231b9e387365
94,0TwoMoonRed,40312,adfb62e68184530e4758e67dc4bb2a74
95,Zandust,40185,2521714be1fdf8405b2324a12b07b28a
96,Blue00dragon,40175,3cffaaec4a6a0c2dc8a1367b2714ff67
97,Tervizzy,40145,dae894fdfced1daef53cffc19dc140ba
98,Falanxe,40080,290a1b6e3541ffa467df7b18375071d2
99,Rotorcraft,40064,bd7a5d09e0953a48d49e6cf22a2917c4
100,Mormac,40018,2b0e85da65c3165c9c9c328708d4a110
101,Xeudum,39956,d953993be3f176f230131e79da453bce
102,TheB0dier,39937,49de0347537469f7c1848708628dfc76
103,Kurdalag,39914,09074c5707b4c3b6cb3b79bfba1dc8db
104,AshuraTian,39902,bd73a6d9fa1ae0f23f94cab14d9e12e6
105,XV4nguardX,39877,7d0f0f813ccc2b648d377cf8db9d5faf
106,7res,39844,e896e6541fae220b3a52822796efbe8d
107,LuBuHan,39834,1588d78ec5d57c0f0b720f858e9f42cb
108,WhoThiss,39799,a1a4415beaf067876f1c6660463981fd
109,IKun001,39735,59abdbd225efe2669018a08ecf0e2091
110,Yu.Guan,39692,1201f9b16e4e28a098e27a64ccb4665e
111,DXLuBu,39629,bf617e1d320738ef1d1ee8a964013529
112,xDrill,39604,7a20ce6bbab55888d33d79175e647774
113,Malthyel,39547,8589fe32f77f37e92b2942dfd17baf4e
114,Guanyu1128,39543,cbe7da8d29ae8885b05a1a5ac5976cfb
115,Skalrg,39474,d8c30f0ea4532fac279689b4e7c7afb1
116,Shaxx,39470,b8c0be2ae5c7937d6d44c6a7394fa85a
117,impaler2112,39459,f45dd65cad77bb441e42dfe5c07910f9
118,NosFrangit,39397,b0c65c4806ab65c89cf6d06ae10ce341
119,o0Vanguard0o,39375,51395f3ad9dd8fa125d57f6b4a9b3004
120,EdwardSozen,39368,cf7ff2a9073882496c89578726fbc8a3
121,Ky,39302,74bf12bc521f84a1a9dbb357f795256d
122,kakamakaGY,39251,4cc54509290aaf892237592428fc0aec
123,SincereHeart,39215,ac9109b6c7f2b5959fefd5b66478a7c8
124,Circulated,39161,8fd19eaf084100f92cf26fad1e7e40b3
125,StabsMcStabs,39161,bd07408755e1e3c3ba8616749353a815
126,DreaminLance,39102,fa731abc20b738f9d9ba35b9f2f3bd8c
127,NeoGuanYu,39020,c2ee5c3879058c4f7cb420f644d8cbdc
128,Rengus,39007,ce550cc1b716f4354768b7eadb8effc5
129,Aprielh,38855,b38b4dd72f791b62c43b8dd86c90d515
130,OverkillJr,38783,fdb10370d8bc74bbd6c2f92f02a0aaab
131,Hakzen,38741,536b1925261dffed4001c67f9bc01ed4
132,Tarchan,38662,3f2eb2f6236e50100042997337318228
133,Zaam,38622,5fbbd42ab11d6a0b129a6649ba13de1a
134,Darandal,38548,6efb4de10b5c503145f8580239248ea1
135,Mao,38409,c284f7f26d7d45a9266203918cf218bd
136,Halburt,38270,302947e5406b402d0592bbadd8876762
137,lApplesaucel,38260,dea233abd84a04fcfdc1becf98c03ba9
138,AbyssGuard,38250,b7206f78161c82f500d183b8f9517e67
139,HappYx,38107,7ac1ab2538e9a48ffe9ea374b294537e
140,Shashiiin,38050,0b6feeabcd25770f98052b90b2682618
141,Vano,37921,4de7a6c15418f764a1989585bdb53af4
142,Dogsh1tChara,37843,5718a36c797575f08df90ecdf49ee48f
143,Vangdrek,37801,cd547884339b04b55b8e011af8e8fff9
144,Dylanposey,37800,4121d4f8e8b64b10b93f57360898de2f
145,ElPajas,37800,d4b087cc2009d9f7de03bc8a532877cd
146,VanguardDeus,37771,bab7237014951e4cbd11cae578747a6d
147,CarnageLord,37642,c1244cd0ab20fa9b72913d886860eb6f
148,Eopup,37635,277b4ee90fe2a79d3de732b3cdbf7607
