No,IGN,Fame,charId
1,JomsNen,49774,5391d08f273e85c8df9f68bf9245bf69
2,KUBININIUYA,49503,21ad702bab9d2979b02737e2f1290b80
3,SerAphiMmy,49408,4ec60527f58fe4705926091d7651f24c
4,molinge,49379,b687630e8a11b9f9ac969808ac626197
5,EileenGu,49307,1643431886cb12edc29d41e68062b711
6,BaoBaoSensei,49014,014ed32a6a15e44aa7d76dc246f0c33e
7,hadoukenK,48970,2fb22c15441c3dbf7eb772f02412c7dd
8,YorForgerr,48906,c3b7bebbf12ac05cb5f5de1a40632d87
9,PenisSashimi,48795,dabd321b910fe0a3442d6d3a78475218
10,M0000N,48498,489a04470ba9c7d4a1ace7af3563a5d1
11,xiaosongbi,48470,1340171ef4674ff20243f6c66a154398
12,AzureHikari,48421,a562b5cf9f7d715df9a40a92623f5a6a
13,BestHuaHua,48281,be0acb038874470dedc80d63484ee898
14,MDNener,48207,614e041085b43ff5e64eb55a1e832ab0
15,NoJbNumber,48105,d7118f7f5a1e3938a88eaa52d4116bd3
16,Shinobu*,48102,1d3afe9601c1261a9065224fb1ee4a41
17,Pyruxia,48079,fee61a75e9775e6755b9d637822fd739
18,ChickenNenN,48039,8124b68c90c8599d38097efd7c1f2439
19,KOINenMaster,47972,c8eb4971abc9b336b147769c899c8090
20,Kekiie,47894,070d29b415d46f534ef174ec20fca073
21,DarksSoldier,47816,d1aea8159fc28fa2a3897b72b7f98c7a
22,HawaiiRolex,47804,a7747177d76275a7bc861a8a80c10494
23,sennenhana,47494,479e45da547fa4c75d68b385729f9c09
24,NensAlot,47494,d5109ef1f386a865fb22fb6ae95f833a
25,MakeL,47476,e30f030a5c34c700f454b8cca7dcd3ed
26,LightKnightJ,47367,e17b28fbd8003374104ea85e161a6b04
27,jlee,47300,e12db415289afd3bdd73f9567a96db30
28,SleepypumaDD,47259,d9b69887f22dcfa941ee8ee5ba4f1601
29,Gaswoker,47212,b30bf7acb13d42f69add915284911951
30,999Hao666,47166,9e8b37fbe02e310fbc3b34a613cac426
31,peaskeeeper,47134,06fc0e547d6806cec115ed7f837a8b78
32,BlazeOrbs,47129,c46926038efd540a3ae3109c44944e66
33,Nemya,47073,a46db31d4c6ecb691109082ad6ce9b43
34,AliceMargat,47061,3fc82a4cdb5e507609d6fe358db2e104
35,OmniQiSect,47059,afe7cb691f157ba828bd1d8cacda84ba
36,NenShrew,47034,9b7f8a0e74acce43ca71003d7929c659
37,DarKAngeLFS,47004,7e4d317bc14a4bdf35eccf7b60a9c713
38,RemeberME,46962,816db631f73ac8a445cedfa09418f78c
39,HatsuneTeto,46855,e6ae92f2e07c54e086476d8a2a3693d9
40,MPigeon,46842,e6f79d55cc517b70adac43bff0ad9781
41,NemuriNen,46821,fb9c8a3a37c9c5dea61729262e7aeb36
42,Gungnirvana,46782,481cf5b678332ec1edac0643c74a95b8
43,QueenDora,46782,b812e9ebb274a8a59b427c2592521dcf
44,NemMa,46725,4af8250aa17e32d3a4d65dcfbd7722f6
45,GasQueen,46705,b69ae38875e0614c0b6b4acf8e77d946
46,SPsABA,46696,aaa905d4925c51266870a84a37d9de39
47,NenSabre,46668,db1ade77be15c688953ee969e2eb405e
48,LoliHuahua,46667,d96535f92b98f07f0ad1a124cbabd67a
49,HDempress,46635,430c610de03ead6390b6d48d589799da
50,LakshmiBless,46630,c7e0efd4d544428bbae59fa034f212df
51,RenoStriker,46605,72dd7fe0b5ea5ddf66cce23a3f52fedd
52,RowletNen,46593,8bb10d48e202ff22c7b279779f35c4ba
53,MaidWithPad,46591,12fdb700223f9dc802e149fabe93d424
54,IPiscesI,46589,5281d3d54439037987345eeef5679cd6
55,Zivven,46575,bc360faafc750af676c3279bf5ff9a4a
56,SisNen,46563,58f8b5398e484e74c3022822647b26cc
57,TheNieceOfTi,46525,ed4b2c402bf6ac3e9a38e73695197b92
58,ArthurNW,46493,ffb8ccc27b3217e2e5abdcda83cfbbfe
59,Dairiya,46492,799a991aaa2c9fc4694160e66f7bacb2
60,Delphinusss,46477,05132e8831c96073eeef22605c161a21
61,hollls199907,46469,3d73a3504158e3f28cfbfb6e83417394
62,huahua33,46436,884181f385d0bcb7196f34842c4678c7
63,Flowertoo,46387,87d31eb18c4e0bf820e145e2049780f3
64,36DMilf,46363,b6800e15f6cb9a1cbc6396a25c5872a8
65,RedSquares,46340,d0e15262d7ce0cecbc1601fcf2a088bb
66,Cerise20,46338,884047d93c95a0605976ae24862fb07b
67,Tiannn,46333,19c373c1919b965185052918f5eec595
68,Rigtheou000,46327,8062002a644cfdcd08cb0ba99d4a7358
69,leaderqueen,46310,4f8030bddcb7093afa4c3a806031f861
70,SakuraNoHana,46302,c027752b6eca93f6a59aca90b9c21be1
71,PuppyZen,46276,32a11983d1cd17917ee6976b1a6cbcb9
72,oOseealOo,46243,5dfccf5e9e042ed405f982d3e06e4c45
73,Neban,46239,b4a06cebe22978cc30e36ab888cba0d0
74,WhiteWoman,46217,d40d2c9a32cf08e3383977aa0d529c61
75,Koriko,46175,d2581772d7ffd85454d1a2c49bccb3c0
76,Cathybaby4,46138,a5337996f6537315709215edabd46b5a
77,Akarina,46131,32e38f9daaf5d5698f4c97448d5004ab
78,Pibaoer,46128,7b28a9389504b9402b51e09efe1e6591
79,FlowerTulipa,46064,d70621e9b14a111ca79b0581e3d0cb24
80,WhiteTigress,46055,f00e09cb5875735204b2b6e2910377f4
81,BIGqigong,45992,6114ed291f06c4b5516831c12cb4d57b
82,Vaalea,45939,73d44070961a984d84ef85992143ca1a
83,Hoopaaaaaa,45902,2cde21525a59a09e353a101cc94a6ec5
84,Mingturn,45861,be818e5a910ddf76f82cc502997aa4bb
85,Madeil,45794,c6cfa14897da024261d60fdc52ee1187
86,Lenata,45789,e150ee897e54efffa350f35aba5de07a
87,TWNO1wow,45787,3229ecf7a32a7d5040a9d97fefb9622c
88,Amendable,45776,c6570cbc6d937c4be506c72931a5c184
89,AoiSoul,45771,276fc5f9c1fe3d1c9fe350928b4d1428
90,Asuspluto,45760,c4a1eb274e13ee092014c54a3d1b3c81
91,CanNotChange,45739,6b223fde76d97c34850f687786a9c4d6
92,Rolls-Royce,45693,998d0c2918d22778a96f1827ddcd166d
93,HilfaPaPa,45690,92dcf3a71ea00a8a6db06e323e93ae99
94,FemaleNenOK,45674,1abd251ad3b4b7cb8b85d3d96f2badbb
95,Dps0015,45674,959da971e83dbf1e2760afd4eac651dc
96,CanOfPepsi,45654,756e5a50956ac34945fb2abc92d2e8c2
97,ysNen,45588,1b972ae49126da690857f24f495a778c
98,BrokenJennie,45588,e542106d95e9f127cfe41deb78499b2d
99,NeoCharacter,45561,2f4416f60bca92a6b1adf0aa22770cf6
100,GL.Ruiya,45549,f60c165a61990382cb9f749eea84ba7d
101,KinaseA,45530,5e809a5d5dc5a20d605ebda14e53cd34
102,LonelyFlower,45469,0c1107241ef2cd4c03fda7de8cd677b5
103,AizawaEma,45468,fa5fbda7953baa8cb24266f60fbd6023
