No,IGN,Fame,charId
1,YuuHimeno,49686,f3e4c9445c0a78aed1bdee7e87f97256
2,McSilly,49229,99df4a649fd7134c7939b158f1bb6d5c
3,BOluoJAY,49161,6128608107cd556e354c48dd2d7e0fb6
4,InitialK,49153,d10fbd945732ca19c9d8909f3aa240f0
5,ChickensDFO,49123,46ab0bb8e09542c311c5320d3f396b12
6,Blazephina,48787,317b1c8ef562ab1359b6d3b6d59226bc
7,HoyoHua,48724,f4c066f9f97b24cfcae62018c8e5f91a
8,luffymole,48428,af1f592232c7a729cc0be3f239445048
9,KindleOrchid,48399,a4ad28412d51942a949806901cb69c4b
10,PUBESOUL,48391,adbddfc6ccdb1151ca4e296401128b1e
11,Sonixi,48336,2ccbd4baae1eb77c7c91d91184f5052e
12,SADanceGod,48189,f71f6cdb546ce6f275d616a4ba513eb9
13,GuiltyDeftK,47731,43b6646f6129e5b87fb446099f07881b
14,WuShenK,47604,924080efd8743eac04f55030975194ec
15,QueenLolo,47547,c8a7d0aa690020cbe7bbf93dff4edbed
16,Xyio,47488,f09bce7a2f24173a83e892c1d7098fa7
17,HDkaiser,47370,ae94b3eab4aa1c0dc53f589249a22ac6
18,Shirora,47261,1c60e7dece537cb173fba9dd7a6b07f3
19,Cylviaaaaaaa,47147,8c36a30bfd238d26feb3c3b982edb361
20,MissA,47085,f628fb9ea1fba0f83a190d6a27a7afb2
21,KaiserBai,47059,a485facc23f0eb0b56fc05705f1131a9
22,LovelyJanet,46960,a5ac999f68167cdde5b8877fb2da1ddc
23,SuperAdira,46798,ca84016309c1ed3815368a5946346e6b
24,DurgaRage,46725,c9d9f701eba67d8ab9839643827876a9
25,Pistriker,46713,b0a0edc18c1a0b6369961b8937c724cc
26,kakamakaWS,46690,83de8b60a4b48e2f347d298ea5007c71
27,BrokenAJ,46639,0b8484c6d32f143a0ce9a0208f7352a5
28,Khaisar,46566,41404c1155cc3a786a22ea929bdc923f
29,leaderKaiser,46471,50de56696062886b795001d83231a946
30,EroWaifu,46443,9b1c45b624545e801af3934e9c14f235
31,wostr,46213,b1e761f5f1c1a91ca702623b0299834b
32,HoyoMiko,46198,eeadaf7e296a51b8ccba9b2a51c9e958
33,AimDaSpot,46140,35c153a58e8d97466b1172e857d22aeb
34,AnneKILL,46105,8032a9368f72ba56edb33b1b5be3cb6c
35,quest03,46036,5dd0356719c9e078ebb64e99f584d8f7
36,SongStrikz,46011,5161a206bdee745f0226aea2692ee200
37,HanaNoJoutei,45927,56fc90c7b748d05f719d288e54ae3436
38,xFist,45885,d2a66a8cb71f76867c4a94a0d93a93dc
