No,IGN,Fame,charId
1,mumuOvO,49572,14a9dd40bf53857098043b69775076e8
2,xNozdormux,49335,67858ed9eb2753d1434fe10b99c5349c
3,Supasaiya,49239,84b2a2eaf21456e9d99627649d6113d0
4,OhLaLaLa,49170,6a042814a205c313fb5729e06c7d5af7
5,Casian,48918,fed0f6b947007232155b202e42f6deec
6,ChickyChan,48636,10e9d2b18c6e196f32455ce999215b58
7,Kiryio,48565,d285c3ecf5216c8346616b5ac3d13f2b
8,Aquariiusss,48449,9887c1ba73d08f84597ddb5324a1e9d0
9,RadiantForte,48419,0e30dc90ed9c66c2f9d26d85469ef531
10,10010Nen,48398,23556b94b5178e79366d9ac6ed743c37
11,HelloNenm,48398,2b6b48c82798f630e0541e660f4e26ba
12,lSatoKazumal,48300,8d03c9c49c55b4a48956e3b82ca6d9b2
13,FIGHTERNEN,48144,f56f06793451b2b3fa90e458e0477cdd
14,jlee3,48036,93d8213e6ab27a34dde190bc40f726fd
15,halfcoconut,47792,8da2b56215f6a4ebfac4b09c2a944617
16,UriGalois,47378,9b290bc7b7f44f34a014bb24ba58a47c
17,BrokenM1nato,47349,912b949d1792f6b2dbba56f799a3f4bd
18,ShinyTempura,47328,3fe6b47529636564c8bcdabc165bf830
19,jinitaimeei,47304,7dd56655a3ef40a131907e345895e5bd
20,LastXuan,47299,88c21704eb129a4639c1bbaf60b34ff8
21,SappRadiant,47217,afedcdbd0e873e5b4cb744caed3e9d2d
22,Rnggggg,47037,046495a88b9fa1ad5d3c00b215401aff
23,Diopop,47028,9d5dcbf4000b83af47a0fdd7df7f1cd7
24,nencrosses,47001,62fe444165aa104a125809c8136cf0df
25,TattoMan,46998,47d8a06cc65ff3f2ca88d2626257bd0c
26,CallMeTeapot,46962,f720268349a49cf22c03465941aabd67
27,GasKing,46868,452fca931063e793d9b21d1ab720bb15
28,Sawamori,46867,9e632235daf9f7568789ffc0890fe27d
29,Linbeihou,46694,a82ca3eb985d101a1e2307ec421e63f5
30,Leozules,46641,1aebd00d7155fc5485ac3418e6474839
31,MadongdongKi,46628,e95511d227a50e595c32c54acc40c622
32,Ldns,46389,f7d3823d00cb675f852144ccf047004f
33,LitStarStar,46367,a0de0ee1c05cfac7180b38e2af016271
34,TWdaShrGe,46300,562afdded1551cf6e4df9f57e6d051e0
35,SundayNM,46267,a28722d6c4e975c8d97e79093d1257c1
36,MaShinJin,46137,f3437af945501801355a6f5c01773acf
37,EmperorKun,46072,47b50e09131ae1cf226370304810ba2f
38,HQNenMasterr,45969,1dea4dea262ea8f5bd849742361c1508
39,Elprinny,45964,1401cbfd85ef1274493a404a6d7072d9
40,Windstele,45705,4f6998922b9b581abcf6ddb5e39dffd2
41,Honretsu,45606,6b9d96803ef78fbfa54bfbfc7753eb1b
42,NenVoVDog,45586,2c744742b967084fc084c84742748732
43,BosatsuNen,45569,668e259a618f09b7b6fa0adead29079c
44,Zenoooo,45565,3efdb99cccd80e19b4799a0a6d0c5aeb
45,GluttonousOo,45549,7a023c48b580f76ab1d9246385faeba3
46,Akira0221,45479,9a977e910819c4c96bdf64749b8ff198
47,AMBurning,45467,dac6fd18947837e90247f575b512163f
48,SirAchilles,45456,2e1a956241063a0d5e30101f6bf97bb2
49,SmartCarry,45446,63a01535f8c799e28034a49b589714a1
50,Nenmain,45379,65829202a576be14c0105d4a7a0372b1
51,G0DofLight,45379,c22e56d412299f81fdc05cc924974bca
52,Generys,45301,37066da0373fd2eebdb70748033a74f7
53,SmallRaccon,45296,5c5af36bc482c666d9db9628d9be4db6
54,shadownenX,45275,472fe1c20a68a82d15339fd5658b67fb
55,NenRasengan,45218,d457a50fa9caf249ea7e05b1a616294c
56,EmperadorNen,45194,2079c46ea9b80dd56f40b67fa70c66a8
57,Lvmaolaotou,45014,ba404661c5905e623a35473fbff5996a
58,GoldenWingss,44943,1333be98695d07dea0eea33716757f1b
59,Cryuzzz,44732,d4ad877a8d63fdbe289c134364cea2c7
60,CatFlash,44657,3ccebcd0a81ccbb99b9ce19f7ca17f0a
61,DrakoRage,44649,e13bd70dcac2aef7c0605c59756a658b
62,Synem,44468,1bd924d1743d0871263acc0f93f053fb
63,Disastrous,44457,0ac98edb6be22df4b2b80d573afa175d
64,HHHnenmaster,44426,fef0c6021fcdfb882f3efb2803f3a2f9
65,36eNenEmper,44395,6075c0d17e6de310854f94c99739c3f9
66,ForestofAll,44394,7d60bc45a9053182253653a1c7f3ecf3
67,ImperialLord,44370,456c4868c9be29a38cd3194468adce5d
68,SmartPotato,44311,11cc14cfb098595e86d7d983b05d8c66
69,Squarecrow,44285,048aa5d8eac522b60e7b5f1c331b7f86
70,RThreeSmall,44239,e51357080e29c521746f29c7b7a3f5d8
71,iStrayerE,44060,d67ca774cd05b432ef54584b30c8e59d
72,vvGK,44047,e8beaba2a69aabd253a9f709464fc363
73,LP_Adan,44012,913ab14c1711cc0e093e2b14fcb32bcd
74,ShoreSlush,43980,2fa736ea283517aa39b22eade5b01c28
75,IkaNaiDee,43939,6baafd3305ea2023e338140cbe75612f
76,iSyphiinz,43907,68649d781555dc1af4a4d771a879b867
77,B1gDan,43829,1d45ed55d8f1711a2780478891c19b71
78,KJame,43818,2d1ef79e88e2be2125fdec0ceda1b4f2
79,TssNoFighter,43771,92ab690e2528ad1971c79934d3fe9c47
80,NarutOz,43727,f04e29c18d6b9d1d7bc561741d3ac893
81,DragnBallz,43701,b8f0f8fcdbb11e9aa748b5a757ae9012
82,OppaiPawa,43701,239cd2d5cd9fc3f74f1d330ee599945a
83,OrdeP,43624,f9bba79fbbfbe8417840b088925776f1
84,WinLike96,43590,db7c51417a70c795cb1851cffe579c99
