No,IGN,Fame,charId
1,SuperTyrant,49279,f674572a6ce413952a5d66d11c3a9c66
2,SYueWJ,49235,d4df55a588c4d028d8b3cd24802cc8f7
3,SaySoreZai,49194,a8e6fa8164921a498dfb7c4db13bfcfc
4,Sintael,48627,5a3875cf0b6731eb25ae11035185f692
5,MDFKPUNCH,48321,1380e0303748063fbc9973a3f83ca7f1
6,Jeffrey,48229,2dae2f47b3025e7c335f001c8378739a
7,HomoStriker,48001,f51fc0ab063e5b70617f4f20a0787953
8,HQStriker,47727,3efb2bf25bfa4bdfe2cd56db2228974d
9,IMaShinIJinI,47679,e2adad43e86d2dc422c2f89c516dd0b9
10,McLovely,47367,e9bff92081210f11ca7cdffffcef1f62
11,NotLikeDise,47126,ba70ede66448e4a55865a6b67a61b748
12,SaitamaHira,47012,43e10c34fe6e36f26cc14d315d56391a
13,Reguluss,46966,9c932a5a6ea8c4e5e46556ef7c2d3567
14,Shuunsuke,46768,48dab74218f25db446ee9b046d0a6e5f
15,MooCook,46562,846a3a9f4014bec7b7de533083daecb1
16,Zanretsuken,46478,d42750c215c6a19c04c8f9fa16cf5008
17,kakamakaWJ,46437,8be155f280f9fa441220a2bd53b0ab7c
18,DarkCoock,46404,babf73c4f6c46a365347113eefb51f98
19,oBlueStriker,46286,c1e7c728da2d39a6119753e5c89cccda
20,Gakura,46015,460ce2af9ee83714ca474aa4aca98b9f
21,FeixLongDPP,45915,fc9d865132cc1d2cf0fdb0ed82b85506
22,Langonziwow,45854,47f0de3da409a293b45ff67bd48924f4
23,GearlessxJoe,45689,132e926db587b68340f693f58b130b87
24,Glub,45671,bce54f0cca13e71353fa87be1b36f393
25,CometThrust,45662,9bf52086345d5af931e1c4640faa659a
26,CranberryST,45647,5513cba77b5e0843911395e3f287d88a
27,SacredFight,45354,7b7d8d690dcdab4d3e6d6d52dea7228d
28,STKhumgundam,45262,05733a753b47594db4483e83f7a3a865
29,Volkest,45193,3ff64f3094782fbffd2bcfe876923489
30,DMGE,45159,6790590132f054aca607ac29d5d6bdd6
31,HELLinBONE,45035,f72e2ee1e43a5fa17da8ae7e8cdfffa5
32,Rockington,44811,cb555840992593492b73a0ac337d7259
33,OneKickGuy,44680,4f6192d4be09862ca944131dad876cba
34,LazyKick,44677,a61cbd2afe968908a1540bdf37d1e89d
35,Pumkkun,44343,76b54c0f0cd4e6766a81060e8f939960
36,searedsalmon,44167,afffd2a29ac666a3ccc7dc876221e7e5
37,Yesbae,44093,1a9f95a43b444717c848eda9ff523b8e
38,SexyMateka,44047,cd47275eb509ca36c325a5db33dee63a
39,SasakiPeiShi,44005,a69553f21a7f3f367cf35d5ce0052da1
40,FooFury,43748,cbcf4a21dcf249f276325bccef410f27
41,TheCooming,43732,93e061f753824eda3d0a1236e62805b1
42,Jasure,43728,f7ce97b7a9f7a10672dd45a851192258
43,MBlaziken,43698,3a73d1fc442e732e015ea0c4c3e51e6b
44,KaiserEuropa,43521,bd1911aec0faa26eb5e7c2e96169f3af
45,GeNeKK,43479,6fb602efda1c85796545158eaf9e99b0
46,Exempted,43472,3ed168d2df1bfae2dabb514afc11075a
47,Rokineitor,43471,abbf2210a88e7063d8ef714d08afdf92
48,MyLitterFeet,43250,6f408f8131b800578691407aa50a650a
49,Antomic,43163,23131f1a3895f18a0c7d34cf94c916ca
50,ISYOUHUSBAND,43024,6f3e589e15f621b74c1bda164ced063a
51,RainFist,42949,5e4b5594588136bad7850e28e1ad77ac
52,SuperAsia,42690,16b5cbb9cab7557df7a0d45b6d26cced
53,ShinSoku,42377,f2aa93f5e2c8d2b2ff233ddb88ef23b0
54,JTSenpai,42319,102642d9a8809bacf0dc575e9df9474e
55,RalfJonez,42305,d0dd705193c6f863e879c57d96d04975
56,HandzRatedE,42289,8b7494668a08458b8ecd597e0e190f36
57,Zhinelll,42263,8b4097c7beeaa65cee2dd53109c42ddd
58,shuaijiuwan,42179,9325c38e6badb736c12aa962c6bfac60
59,iDragonKick,42023,c1d8711d1c516d101579247c705b052f
60,IP.Man,41954,6fda83d5e5dd764e60a2ed4b7eac0b76
61,BeakHyun,41873,ccf0bb06dc881079b15c28d61130043a
62,IjinYu,41828,1dac449c3de839cd0edfcb2b3efdb423
63,WooChick,41797,ba4a2e0addf0cf3f7178a3b9f77e23bf
64,ThermalMark,41713,ff5dbb7808ddad2ddb5ee633bdb86cdf
65,MoneyPowerUP,41514,a6633ccd158c07e12e5c7ee01dad4ea1
66,Zouthern,41503,c832cbc36221bcb63a79401d14635ee1
67,JungJamIII,41419,6f5a3f0fd7f6d538c7fcee0885dd48f9
68,Azerad,41319,2d501966e1314d268b51d229929a31cf
69,HotfootZero,41238,f511a18f402101b9d4663a568b6c42aa
70,Pupururu,41184,bd3a147d42b219a3855f508cf906f249
71,koize,41104,0e5a30aa33e062f12ce228f2a9996354
72,Lazion,41020,5c401d1b669346655a8904fb016f44d8
73,AspectRyu,40642,4bbfe1a9a3a6f79b539798aeec070a06
74,QIDER,40415,8b63ccc93c67f8a1839c17b9f265d9e1
75,D3miGOD,40264,2591fd7a9d5cecd8cb7cc5f160f2175d
76,TrippyToe,40222,1ea885c088ff617ac8a0c0bbc0ac576f
77,AAAAAAAAAAA!,40206,05f7b052f0456f3609354d1d60d86fbd
78,XyTyrant,40150,32be3c6ded6e6f89f45aa9594d970a83
79,Range666,40084,1ad4b41829943781b6f7293abeab4908
80,ShaolinKai,40084,e6b83d79e2f281a511b1bf33fd6d03a7
81,LilSubin,40070,6a423a9005e0b7e53ab50c4895deaa30
82,Sturayka,39917,2a510b7d6610c58bd0f7e40f80298843
83,Hanaro,39821,7ef1c717ea76642e6bef1a9c1ef27819
84,RedTape,39413,4e8f2fca8b2b508737a73be8c356e50a
85,Zanux,39298,2b438c6c5d07b97a1a0d0613b374cfd8
86,Kyokugen,39031,9854adb8cfdbd8ca404051556fe6b743
87,ShiryuStyle,38911,98127b3658f6dc5de32263a0154701f8
88,DragonFist5,38855,2b4b38495f7e31adefd839012e00b779
89,Walsstrike,38832,3b80d06740f7eccecec2eb1d5b37b645
90,FlameOnFeet,38815,aedb4f6ed6392adb98c8f98244337090
91,Rustasdf,38784,9cda9669a60031e5863fecce9182b8c5
92,StrikerIRL,38757,363e608edd8bfe8170d2d3fa8e16e46d
93,SirIzzy,38540,ca73da112b56e8d6ead8bcd9fc13dcee
94,Tabasc0Sauce,38521,a997e6e77a37a5c9e10008c9144fb328
95,AsapStrike,38503,e18c0fe794cd9d3bf0c805dba35c6b91
96,DMG3,38452,3a0a11d2a96e67a4120a0a0206015ac8
97,DearMaster,38426,4d1bfc512dff75a5ddb8781b80683598
98,OrzGamerJ5,38423,4b1aee1028cbb873c2c7c87292190384
99,Balrog,38311,63ad08316f432bfe20168a9402029a1d
100,Luentei,38144,e3bd17d0e5917b6720693be53ac83567
101,SaizoLaw,38102,edb93e59a2ab3d266b2d97248d1eecd3
102,SigmaziqqeR,38101,a6f51b000048a865bfcb019c23f691c3
103,Universus,38073,acd950fcad0667ea6afcf624301b5380
104,Dagswain,37965,941f35a85226659eb46627a20bb65241
105,Trynt,37848,a19e48bf23637c722e534c653c5a2380
106,2aRunRoad,37797,21d1ffe03037f39c7621a56f2cc4e1e4
107,TurianX,37616,48e942da8899353a81f682962665815f
108,Eikki,37590,b83eda6c3783ae8c8e399bcc44061931
109,NO0XV,37568,e3f87338bfc5b6d06aa5f325989ecc29
110,LamberSanji,37523,c08c81d72b328fb5e3b166da06321571
111,Kirimji,37499,25f0b75eb4bb1957cf82b3e694a962c6
112,onepounchen,37385,ff32f6ff8195156f58e5c9b9018c3465
113,slickKicks,37378,a9fefef61e541a6d98efc73185ed6e70
114,Tenkyouken,37297,be5314fd316d70894b49747930e36b1a
115,SFsky,37293,edbd36e9c026b136cbb434f4210a5f03
116,Calcitration,36862,5af14c223eca2d12b345bfaff320932b
117,Liukangburst,36850,20af726cdc14b16860cef6aa8bfa4557
118,FlamingR0Ar,36698,5f1b8034f9389c49060ddfe6e355dd1f
119,xxLuffyxx,36625,da2a5cb4792272a9e92d219cd84e598b
120,KingofKungfu,36520,6eb7c518edaf57e07f84a5741622da8b
121,Senutsu,36304,807a2b0c1d5db82f0dc539fd47c287ed
122,NoodleSoop,36303,29999d2a4e14315cf449757a81d9887a
123,EmptyS,36216,d21488c52fd350b29c7c9414085081fc
124,TimXia,36180,4285eddd8e5a6763d329cf4476b7b8d1
125,RONLI,36172,23ef75b05400090c757d716cba4cafc1
126,malon44,36165,e805e771237a068b568b6f68d88ee481
127,IntenseFlame,36148,f35c4a6a63f17adadf08463f12344386
128,SujuCorp,36116,95739e87bce366ed6185d7aa3064ad53
129,UPPERSMASH,36023,69d64c6adcb358aa3971f3c5dc98dbfd
130,shenlei,36008,7d19ee088e21534666cda45c2578027d
131,BroImOnFire,35953,23b9e84efff97c3af81c91302991fc0d
132,Toae,35908,64a12ee7a03e08b43c72b2d1cee60649
133,XiaoGeYoo,35858,d577ceb850073fdf17cb7e931b3f5487
134,LegslikeThis,35817,679e6bfa68eb9862f94ad5f9929b9449
135,Lyseen,35677,5bb1dca994788bf8b577fb0ca492a6ba
136,knockingg,35646,ffa8fa1adbff3e05dc0a041728c85e32
137,KickandSmash,35644,19e52d266f9218cf2c237198b116acb5
138,elbixarengo,35641,663a1cdf2e30f7aa7847004aed05cb37
139,SirCiel,35599,ae816e4f608a0f8e1051dd84640f248b
140,QinShiWulong,35592,55ac7b4d689da4a06aea51676561a225
141,underxiang,35460,c5b202ceaabf66c804f66062c7cd89a5
142,KitanoKen,35442,a40af9baeabc9ba19849b891bb0d28a8
143,ViolentLee,35359,9ae5b49da517a3cc3ef09686b3b68041
144,KuuAniki,35163,8e0394b03d37f1c81f040ac1b7042331
145,BurningFen,35133,a2c0cb7d44daa8c2d462004fc03349de
146,FireTitan,35131,5ae871a95183d31d5487284d81cb86d7
147,PhTyrant,35044,9faa939372ebf14c95e68af0778f3ae9
148,StrikeTheVoi,35007,75461adffdbbf9a897eba865beff2758
149,1Kung1Fury,34984,a8aedb528c67da6fc762489f4e425b41
150,Ninjuh,34969,ac65d83997e33cbdbff0e4f89a8603d2
151,ShivaKaizin,34946,83da1aac0bff29dc5584d1d8b9f36bfd
152,ZzDoraRAzZ,34866,34b4f7b448b9301b9755653ca34f3faa
153,UltraGogeta7,34834,bc85ca1d3d036c85a2297d2a3bb3bae3
154,xXKILLAXx,34765,87f85d63b4e6d107811c4f7eeec10e8c
155,TheNexTyrant,34749,4c001ab7a1879864c4e830928ecb26c1
156,Doden,34741,c2905da42c505deaf0a954e4aafd2bcd
157,KickMeFab,34684,335652619d68b097b70ea90fc3101de7
158,Narayama,34673,f798e92beae1d55b009c181b4f7ab43a
159,WolFigh,34603,89ebb1b0e1fca6420110101dffa39919
160,ShadowMeat,34602,bf2aad74049b378fc1d50852baa72bff
161,TiredStrike,34551,67d7c4a22c1b5fd6cc6cc0fef1c15958
162,XSenjuX,34494,5ece6b1e06b56a162a0fca4cf4ab5426
163,DameTsuuna,34481,f38890e3400a5d15abdc1ecd4aef9f35
164,Wongsawat,34447,682ab6f4b7c98e393b74b027eed49f79
165,SkyWalk3r,34395,766088360482d6991f679339130d4fb6
166,TheBoulder,34373,9d00043ca1bd3dcf332e7f19f8e24f90
167,HueyJaxson,34333,e36d55b5685fb75cb141449ac489d7ac
168,DragonRex,34256,9ad986b5d19e20f0320d18d61087d302
169,GimChiSyUpeo,34070,c5ce42c047d694182d543110566639e1
170,Chorizeador,34003,560d5f2ad5433f60c081a0bbed78fbce
171,NowayTyrant,33880,988515d0518bce99c242488c54347f08
172,Toega,33722,03a7fe1cece7c360e6aa9c8e13fe1552
173,ultramaleo,33629,4f6f162ef7da90d297502b133579626c
174,NylesX,33608,f6343112b1f909068a34a68fb8e2d3a8
175,Nostradongus,33595,22083f13026fc17098fb180e59409714
176,Tenacious,33357,21914660b9f9e9ad8eea1e65b8751dde
177,Kasel,33356,f3a639125cad42826e4a0e4fa3e044e6
178,hellinvite,33336,b7daabd8cb5b32d6bbf1dbf378773db2
179,ItsLee,33281,1e49b516937b98bda039805aae6ff700
180,Sips&Kicks,33252,9ab5bf039292bf1cf5be3ea206bbab4b
181,LilBibby,33209,b57fd66642538e51cea4f1beb9f7d567
182,IfritJambe,33112,ebe2ad0a172e0ef723edb836c252fda6
183,Koumoto,32936,21daee090586f21416b999093540e174
184,RiceBeater,32838,287cb1b58e9f0bb52f84ed1b7dceb8c3
185,Pumsul,32750,b876e532af4c2a266448283c6c7dca76
186,Sherl0kHomey,32739,cc2b556d794f633db3a1a7fb025535f1
187,IvanTyph,32683,2f3a51cf4919e3100bed8b11cd1a8045
188,Zharrito,32662,d33922ac5e9ea20d464318b2ec640c30
189,LuckySan,32659,f8adf2207f612dfe470d9582cdb040a6
190,IcQueencI,32646,f7b290bb4898fa05d8dc7ca24ebb360b
191,EragonBash,32573,a41f23afad83c3552395d2e27f79d997
192,VeldoraTem,32465,8b3beb438a9400c0bf48a3ffa3649fb9
193,GrillShot,32451,a5e81bde0f0b8703150de68375b40aca
194,qreek,32405,7e7480aca6b77fcdd1ea68c49292beaa
195,ManStriker,32399,0a691441aba0e9bb03cbd190a944b2fa
196,PancakeCop,32348,5bd20020b5bf2b9f05bc3b0ccb386857
197,Meegoreng,32335,6f7db27cd55b4721afdbe3ed0a0533d8
198,TNevens,32258,0e1563e0a84f5abdaf34215cc3a47f6d
199,FatalSypher,32214,5074553bf77eb9bf4724aa77344fc3c2
200,aWastedKick,32129,9bb496d5818e7b298f30d197d33e1754
201,999999999DMG,32128,86d4bcdee21df546ebc2f2503ab20baf
202,Azaaaa,32107,02fa403cab79721adcef5fc197f104f5
203,VenomWithin,32105,7e789bb1d10d3f61867e47e8a80f9b21
204,NiceFight,32060,43f226d68ff6d4b2a1a2401a7468ae1f
205,GloryTyrant,32003,c29c0b492357fd55a60b11523b353ab8
206,Kuad,31997,b603fdeee493018905536ff5a7f697ab
207,TwizzStrike,31934,5dbfd3907bb6ef7aa1e0e62ca9162670
208,InfernoKing,31884,9f5de12f199f8b426fd4addef0b463a7
209,FalconKickz,31874,ed4af7546b0670cb26c2c186c74e3db2
210,RichterSozen,31612,7ce3b1b81b4944b5c8ab771b7902e889
211,crewphantom,31611,0a3065f0afa138e2ef619b427da43229
212,StrikerShido,31469,2d314818523e41ab3f2e86cc4276cfa2
213,JaminXIII,31466,81c0852351f0c89dac6b77dd92ac995e
214,RazielTein,31411,a14949e70f0222ab9dc3102b2f340b81
215,FeelTheFlame,31335,82818fefbe2015bcb68899b83ade6036
216,GarbageSquad,31245,2323681e80f8b8c68040eab7c327cd7f
217,NO0VIIII,31230,e44a78632e431f6426e9c985f835c122
218,Cesso,31166,31d860b0df309c70b1a4b94cdb93484c
219,Chanalito,31135,8e6a1f2c291e11c08c3585a18055c7ef
220,FujiwaraSan,31100,b4094301ac5344ddb46705f80cecafc4
221,Naikanontom,31058,37e30886bd32bf54fdf1df50b4d82427
222,0023,31023,702ca1ad31843a6701a3154b448b7ef5
223,FrenchieTB,30981,0ec2f9ec2914348e51adbb0214e3a9a6
224,CinderHeels,30845,76addca902019a8bd831f4358fc03ac5
225,JLLK332211,30836,53667a85abdd95577d53c10bb99ad07d
226,Thermofire,30801,934dd2fe6d615ef53287a4f49fc0e68b
227,Strikeudown,30735,1b4ac5526a898b09edc19c0eb21b8cc3
228,MaxwellWolf,30696,58565dbac020e02aee2c43df937aa5e9
229,StrikerEngel,30691,f45f1c5c6984a41ccdffc50fbf324cb1
230,PogChamplol,30668,a5d83bfebfd2dabdd0ddba3d38dee605
231,Squidgitte,30635,3aa9f0632e392a98e58455ff0a5890ad
232,TsvetokSazha,30473,47c3dce88ab44216a33ad9c9729f81a0
233,TonyJaa,30441,a82d2e86b934affb8697141f82fea546
234,ElBoyShwelpz,30432,28c8b07422f7ed882acf9d7e74b457c6
235,Rampage,30404,8074a8a81ff564cdfe7bbdc861ad718d
236,Guayabita01,30362,4612a5100ed643389a6fe3a1f8162ff5
237,NeoBaki,30351,964bf4940ec0ed68d32db62af1a659f0
238,KenichiHama,30322,496bf0973b75524cb22aa0dccfc7cfa6
239,banjira,30311,4e2b12cfb08fb01da406b42d520910b5
240,skyhead,30289,2d14ead09245a07870656fc03f531cc9
241,Aonao,30283,c00ee7ec30acb97ddfe56a8946d94924
242,zazamuncher,30281,24e066e5f7037429f9a1f4f84d93bba8
243,Ryuugazaki,30275,fe281e50b57eed6e8a1fc878240b304e
244,Bael,30254,607800380209b61d6f0e5739122f9b51
245,Fixture,30187,81f26417b238c544f8db2df871fb4bfd
246,EmberQUIL,30153,51822d9ce7a7223ad1caebc664a48238
247,BlazeItUp,30128,a2f72e69c409d719fb2834ae2420cbc7
248,Willflame,30006,addc239f391f1cb44f17f19959734fc1
249,SoonStriker,29962,26e8df71d1a7a7bd67e236a96ed1e8ab
250,RepolloCLok,29831,98c4a96070ed451c7e41cb947079d0c5
251,rongyi,29744,0e1e77342a828752f83e702ba215081a
252,JamieBoxx,29678,a408b1100191c4e97f92cdf9dba32eab
253,xAceStrikerx,29576,cd5dab3c2884c99601e7f3d511df975a
254,Fighter2Enge,29557,1da1a151485692c70883fb1d852042ab
255,Azcapot,29554,cbfe15d2fb845c8c58f77d69df630dd7
256,KenMasters69,29552,e609979b20fa54f37acf723755adebc8
257,KangTheScar,29484,e3c50a54127229eb1813f8c7690366b2
258,ScarTyrant,29336,e956fa55cc943338c4a148fedbe9d32f
259,5lll74,29333,95ee2ff6ca8e3be3f2316f58859ecf82
260,Ezius,29270,d88f11d25fa2bd4d0befa24491f8ab6d
261,ArxDragon,29268,a1451974f296eb8af1f743bfc823f710
262,Rod64,29200,9c3b10431c937d9bfe3c6f9929b17f8f
