No,IGN,Fame,charId
1,WhooLaWhooLa,50002,2ce6e9209aa1672a7e6e53067e19b2e3
2,LysitheaRuby,49016,0054b0ac54c319073d440c7866d318fa
3,Rosmia,48978,91a04c76a0afc24a351811166fe1ef2f
4,Jennie!,48730,60ee58b5cec48c3b91767d4bf3cbc172
5,SelentiaEst,48309,e9d39caec2a45586d9d856700509d0cb
6,BiuBiuNTimes,48279,e2bef2ac95aff0de0f156e7a4e2e02f1
7,Royale,48259,c9db5f8f0b30510f5cab6a1fa9c6d166
8,Chelicere,48242,97fdeba22764470332a5e0d194d61f51
9,Yurisa,48195,a1f6c77c34b584740f27a04dc4d3b453
10,BabySoul,48128,9531148184a52549454b16f33b7d47b3
11,mom26y,48095,2f6532cac33c87b661140215d08166b0
12,WLWander,47971,f4d5a19359d281e4a45768f9af334ca7
13,jlee201,47949,90dd610fe63163635448279c4d01d4cb
14,Fogbound,47911,ed3ee2a0683b9d3755762cb92db3e783
15,Pallette,47747,49e7d6b2b79be38b54231bf2740c168e
16,Annihilaor,47632,6c47a3ec27c821e85b12fe56d1a08870
17,BitingWindRM,47583,596811aed9ca7116807b5c94132a9269
18,Micheru,47520,9d2db038cac78e6cd48abbef72f5ca8f
19,MadRose,47499,e7cb66c187af447b95bd02c88397906a
20,SYueMY,47442,bf38e86a89c02c71f3213634e8caebbb
21,CrimsonLore,47430,ae98841309993430a862d1fc89504a26
22,Rose.Shadow,47425,cdbb6b220a7855318f06107e0aa3b08a
23,GentRose,47133,27a5aed302c0d1752e961aacc75c88d0
24,Rose8,47036,2d03e82c02e4ef5c6db5e505cae57867
25,MetroB,46963,6e6dafd9f7626dbaff691249c15ae2ed
26,lSAOl,46952,12f67cd2761e3135de82fb73d4000e68
27,Amelior,46783,1484d7c337fb0119924413e961c83725
28,LoveLiver,46765,d98a012b29869545b1e0dbd7f6977ffc
29,NanaSteele,46602,1b389e1d1ce8277345b778f89981a8c7
30,serike,46532,ccced4f5654ae4911a31005f24d771a1
31,LaciaKing,46438,7331eb4aac679a34d742c2a2252ebfeb
32,RowletRose,46404,9bcbc5ab3d99746e90ff9544d81e68b8
33,Teana*,46369,a3a3945ecc94877b90de0a8da95f84a4
34,Ralmia,46359,eac7e7ae7de45fe5217054914726929f
35,AgentBiyan,46355,25ec687dcb56f7b8a6b5775fdf8fc818
36,7iann,46302,b4e612d2bee0190cb1e762ca415103fe
37,36DRanger,46256,2c97c3a957efe0975a2a665b6c20d8cc
38,HQRanger,46223,775bf4d3553f86782c041a6b073e0db3
39,Bastetia,46201,72232c3094969a3cee8416efadbe3684
40,NicoluluFa,46190,5b9e741d5d4ca1e2cca6c272f9a1c86b
41,alexxranger,46138,ea8949bfd38be92b4a650f7c31ab95a2
42,RoseKoishi,46105,c50a6b20eb89687bf7224d498654738e
43,5Bai,46088,426f72cc43850240542c32966e9a17e2
44,PenguDaLion,46078,908cbd097539ed1c2fd99bd56faa0397
45,SingPewpew,46065,f617e7336bb40bbd4ad952e5368103c0
46,TgInori,45885,d425a96296c92c14bf8d69ace5056d24
47,Actinism,45869,a6ece223b7fc957105d5bbc83d6b74f5
48,AnneRanger,45831,ed689bfa12565e6cb06f4cad7e72c80f
49,xXxLinaBell,45813,60645259f075afc3223d761a39e3eb69
50,OnlyRoses,45773,c4172781deeeba4169c67891cecc2b4a
51,Vanikaira,45662,41e1caf81d989a2b943b8fff91884402
