No,IGN,Fame,charId
1,TiaFreyre,49356,8272b1ba1fa9468ae4318a784e9d0c50
2,Physalice,49059,9362a0e2862e750fdfaec651373e5ec0
3,KRYSTALFG,48808,4a034e7aa5bfc9d37487b4c18deb566e
4,Sintina,48578,8a4be56498667c9c4ad4e6e948c3e5c6
5,KOISpitfire,48192,1870fe66ade3da2b25e3dde36f562ac9
6,FlyMomChick,48092,de3597fe491a5e0936a51dcdfec48da5
7,SayChowHigh,47838,5ba7df90ff14a1b20fcd172f2faacda3
8,AzureFreyja,47526,1bc4f1586f7eb41c8b7728b972814347
9,180pangzi,47369,fac7a78e97d098f0bd4b09b699be6fe6
10,Cygnuss,47312,3be72dc4c874247cae8274895ba4234d
11,HillW,47291,4befd6b00060e03d462052ab86efee8d
12,ShadowFreyja,47269,27f902ece0a0cd1cf0b6c40b885dfdd7
13,BBLY,47007,ab1906c4110ed3e0231bdf38da9a1b24
14,StephenLi,46964,7d99e4ceb64085bbfe3222252941330f
15,sk733,46878,ddeff46bfc7ab1d3946bbf222d49434d
16,SylentSky,46780,319b04196a48cb95795244e1348d9cd3
17,AMiLuLa,46683,94cf50f6044151827391b37e67df8c40
18,infGrenade,46627,b3a893e1abadff33cbd8ee931cf6a7ea
19,NadeTosser,46502,205787192947cea39166c6efc2bf4052
20,Meikoi,46387,bb7a158c6edb566b4649abe24a76e1f2
21,HomoLuLuYa,46336,f8ad308622add79ab613ecefdb6820ff
22,RedFoxCelli,46255,bf2dfe0d1fee6460d67505233ebf757f
23,Emit,46195,f4c36ae5ac1108dd96de460de3407b80
24,IOFreyjaOI,46067,4ddef7a26b25fc5d9e27c5ae90f37420
25,Shootboom9,45881,4abe8bdea760295b24aa409bff039200
26,ImLoccke,45863,8d3596436214d72d241f77cbbeebe9b3
27,SinisterSpit,45815,71da3e48c7f726954fc7cc394058a7c0
28,NO1mujiNA,45727,b64160f9b08d3c4e73361b71f234d3a5
29,Rustiy,45705,aba4e5b5fad6c19ee8bafdd8a490d60f
30,KuriKuri,45684,67517af8857a3ce4c41a2e7de5d46a4a
31,northeast001,45669,346c655a9ed0e625cf3b8cc1920887a4
32,oohWhale,45650,cc617a16dc80cf609ef3a311b138eac2
33,HardThrowing,45529,6e6cbb0aca8e0132df2f610ba1141b24
34,DarkAsmodeus,45352,839cfff92358f3f5b06494866b444ad9
35,Eonian,45253,5de830aa82a036d4c9d82e0a2bb9280c
36,neroll,45109,a2931c755d83c4f1c7f928e17e2dd475
37,PineberryST,45095,d823097d9f6423414fbc2ae7bf0fa455
38,RapidCircles,44982,b411abaabd906033247c51574710688f
39,PurpleSoft,44914,173eaa55ad9db16021d3d2e9d9d3a375
40,BlackPowder,44912,4dde20cdccd913167503e976e15d0824
41,CornDipps,44662,c38f718e62603eec62b4322a16a6b581
42,Dedfatotaku,44639,a4b58facc411e4da7c2e7ec29eed9a01
43,WurkerBee,44599,595f5f889bb0b8d4b7988fa2f64d2aad
44,LOVEMYSELF90,44494,190e361d5ca1288c39d282a6008730b2
45,Ochette,44468,5557231775d19ff4900be2e0ef6c1065
46,Frozngugu,44423,6a86d6b10b44ec819c28d95e9660de72
47,Ellaroux,44413,86f96b5fa146d97c9fe2d678d0060194
48,SASpitFire,44320,941883f91205cb83953bb74b470795f2
49,CodeWhyte,44228,fa1407bf436e0e63ddf2352dbf1c32ca
50,DyunFreyja,44035,c562536ce2815c2f8bbfd85eae3e5fb6
51,Poised,44014,47bb7edc63dc067156dfc92d816c90fb
52,Dr.Doughnut,44013,08bbe164130d360137cab147c7e48d34
53,Zeartic,43990,899c23aa02770e673eb30b412a1b465c
54,comCassie,43981,13d33dabd7ba77c15a81694df750d3b6
55,Allixe,43760,c715f8a35126320369892ede69e9c7f3
56,FlyingBotan,43710,babde223ee81e1de9bb925258040eb0a
57,K1oe,43628,a851da5165e18e258298219e518e324f
58,SerenaLapis,43626,a1076dadda57e72996153805319a3597
59,doak,43614,8d127eed7f751ab3cdf98b272d86855b
60,Nine,43481,a169c18f7634323c7c600b894082a955
61,Rainfall,43464,734f81446daad9aa2392d0cc0289921d
62,MsFreyaMs,43440,51411b3778e7000b752650b9487bd152
63,B52str,43412,8a77dcd525f28b54c196ef86906b956c
64,Drifloom,43361,bff4a93297683722bd19b2ec851f023f
65,Goo1wa,43344,70f1f8e10093f5271a6a5729071ff7b0
66,Revue,43316,15990cccffab5954b4dd818bca7c9e6e
67,AoiMegane,43147,4455fc5cc7b57afe07b43478de941ea3
68,Valkyr1,42969,17c4250ee8c45d7379c79c0f42388d26
69,FreyjaSaki,42922,a077f9806d6dc229ce5f567da9d65328
70,CocoJuice,42890,9584df4a1ff7a75e90fffe0dfd14cfc7
71,leaderblast,42858,1e06d8c19f748bfecf5bfb26a09d255a
72,PoopingBombs,42853,6fb4baea8b6e350a29b7de68c2346954
73,AscendUwU,42837,6c2e7baa59d6b7945ef210ec155e6d43
74,whytrollme,42755,fbbb352b4fbe65a7ba54fb510a4e4be1
75,Tortalia,42658,c6b4b0392f7f353d915f41f51b3e20d8
76,Sovereignyte,42639,3486a79119eb3540097020a048a8586a
77,PeonyGum,42521,5033d3b9f7ff60241b6df4639a2d6e15
78,Miythna,42444,cb25ba9cb3980fa971f84faadb99bff9
79,sfprime,42433,8621c3bc745bf41f57f28aa7bf9198a6
80,`Freyja,42393,bb63b9bc6bdeee48eca54c937d7df085
81,HiHand,42376,50cc1cb10543b923efb22146ed018d3a
82,MaxGray,42353,e2794046ad51e287316407a32abd9e6b
83,Crona0302,42345,101feb06095f4a9ffcb6ac2283dfc284
84,Time_Spirals,42204,1ed34766d270c155f71afde6de2760de
