No,IGN,Fame,charId
1,Saulten,49054,3a521b162a2989304c8efaf96a0820c7
2,IamIronMan.,48468,cc93bacf849e19cbaa2d3646f632ace2
3,CyBorgP,48063,52254feabfdbc5eae96e2317947dc58b
4,jlee03,47935,be897b7e76b45bc687646642af0c5826
5,Gucc7,47561,f32314a81bd2814589734a671ae4cf41
6,dameem,47280,78898cca84cf4181755aa026c0c13785
7,BZcuber,47217,acf77644dd77f6d1019d0ab1d82e0009
8,ShigMk.II,46928,e1a0153d3539337608ec37f63fbedc59
9,Uchikoma,46797,758720a2b9025fcdeb4156cafffaa00b
10,oOseeeealOo,46715,a45afa9fb46cac6beef8a2512e22bb49
11,IronBlitzCH,46575,1df763d1a96fc937b31fe729f1dc9854
12,SundayBlitz,46533,1394f13686793ecddf7f8e3f0137980b
13,EsiaLoWJ,46507,2fcefa3cfce6f095bfc7a8cc65ba47b1
14,TTshizhanan,46494,18b099bbf76b7ec350bd9f65660b4f28
15,akfl,46320,e5eb9fc4730eea274775d502d07d7472
16,Omegun,46301,2dfac56940f866966ed984236c346770
17,Kuincy,46271,d2ece1cdfcbf151f5b74a19a37b70c00
18,RealPrime,46219,7ac80ca6c25744e011a395db64a256a4
19,Ultraman_1,46179,aca7a3e329cf8721889019cce6b444e6
20,AnneBlitz,46159,64732de44342f348cfd6a867b2d74745
21,Pneumatics,46093,0819d6052bff0ca3996f446a4689c374
22,Neptuneee,46056,f99cbf0c4b69795615ffcda7ad9c4b10
23,Blitz5566,45998,fe179839c3c279e53b6db053401f6311
24,BlitzSaki,45973,cf5b379b29b09190e8d1f1310d40c7f9
25,MoGG_TW,45903,96389bd9e9de97f6169490790eb6240a
26,senseiBLIZ,45892,d47d91f6c76da2b12e941e78ef81f675
27,ASTV,45842,18034d4d2ca2678c55fd06168827b53d
28,BilberryST,45594,f471be8cfac82372522585c5946b0226
29,WalrusKick,45260,9944bb0ee9aca0bc1631e2cd8fd3faab
30,Alesyanych,45256,2a553678d9d15c0a2f49cc777cf33cd5
31,MyDocuments,45229,de58e7fecc9860045e49c64c743ac2ef
32,BarrageBlaze,45226,4f8cf8189f589b836afef10508bc4360
33,BeCrazyForMe,45222,307645c08a8e38006c21b3a65843124b
34,Tankcrank,45125,677e234d5ddb5dc70532bf94eaf40da6
35,TanWanZaKu,45022,9e3fab97c8427a2ea6d5ea7b357422fc
36,BlitzCircles,44990,8822eee3efa6fabff589f70542485136
37,Miroza,44980,6edfc70bb90d66496d5803fc4162b2f4
38,nnbaby,44958,4d89a787c24f0fbf5ee0dc6a4801d340
39,pofat=_=,44957,4cad3cda9d61ccd813327433fb56066d
40,KICKURASS,44806,077e70fbf89b56410de7c25ad9880540
41,Lightboom9,44801,4e3fa90a231d242791a47b348ee5e9ec
42,Big_Brother,44675,0ad15db6b175101f5cce68bd725f9831
43,TYPE00AE41,44533,8eb5a336747188e5067c4e19224e4e7e
44,Leithania,44515,186353a8a456e49dba6c56207ea25a7e
45,FriedBorg,44404,01d13fcf3c4922225045c144e979caa1
46,Autooooo,44240,11140a5083dba37610979552b266603f
47,bigFatJJ,44196,6e88ef3c1cba764731bfb101300632e5
48,Leon-Scott,44180,998f0f66113f966e9441884df8deb664
49,AssPopping,44040,2f2bd6159b30d59c4d461f08dabb5fa4
50,CJblitzChaos,43872,52d78a56fbe963b804423fdc7ebc7ed4
51,DanjiMan,43826,27a84fe78566d8ce25e7d5c2885f056e
52,86_Neal,43789,b5e581e7fc5b8740539d91d0c0e7f68a
53,Metal.Slug,43783,c09a25c7b3b465548845a63635871b64
54,AsusBlitz,43629,6bede5b0d2acf5fff2f6a746a0d60f0a
55,LetsBlitz,43617,1fdaa83db2e7a11db5e1ff9bf57d9e1c
56,Gluttonous*,43545,9290c926f9a340cd46550570eb1e6618
57,McFi,43453,2dba5ff89728fc898986240035ad81bf
58,its_Apex!!,43362,18f8cb8b65bd3518e07eb6bf8ded4293
59,RustStorm,43320,dcc9d63069210ebee16f70e09ed8ccc8
60,EldenLord,43317,50a3854af52475aae5d7165e76e4d422
61,Onslaught,43272,49ed2d3acf3279c355afe44d495986d8
62,SchwarzJager,43262,648131038a125be68f07bd4309db91b0
63,WiNtErYuBz,43209,dbb228712f12ae3272037729cc2ceb2a
64,.1msReaction,43155,5cb8ac7175ceff9f904fac127a03dcbc
65,Drencher,43085,0ecd819869f23a7ab2d16d82ba1937fc
66,AoiBlitz,43077,07952872cc4d7e2440ae3d463ed6d527
67,LeoPan,43055,4363f24b0e791f789a8a491674f945a3
68,Optic,42996,1a304ac170db31df72951b1056788b2c
69,Quantization,42958,116360bf1419c4247f95639f2aa11d5d
70,Attico,42810,cf519f2b3d08adab72e7f075bc1ab2ce
71,AeonEye,42758,4648722bca5e90809087dc480982ff2a
72,Onslaught-,42738,893310e4257b902e7ab0c08fa37be4f1
73,MetalJJ,42676,fc016f901dfe8f4c12581324dd6e2aaa
74,Pelican123,42664,1d16c3db4892714b37b3bf20a3918631
75,DarkyBlitz,42644,5bee260118902738fa7b37f6df836a07
76,Luggefer,42626,c55abcfcd5e94cd227827bad3cfb9f4e
77,SuperSoldier,42550,bf2cb7465e405d39b52950d4d78d2b63
78,Genosxxoo,42500,4d14e8ecd7eb623d006354a29bde1fd5
79,Wall-E,42467,facfffb010b64c3ecab69734242784e1
80,notblitz,42443,a13eebc33bab2ccdb508fb3ced54f9b0
