No,IGN,Fame,charId
1,IllustriousQ,48764,63a3b62ed95cd12684986e7b648e7bcd
2,ChickenLunch,47891,f99673aa38b42b3fdb75400548651f9a
3,MeteorImpact,47757,d54edc112f8edd3d3f4757f42d036a89
4,NukeSen,47621,294347d031e17de72a92b802be128e1a
5,BiuBiuLaunch,47569,330e7c6a07d4e6aaeaac192b9af940dc
6,BigDShooter,47026,53c91b176d439b17170d082939086170
7,Produce,46889,b5eb291b03120c4f8a92ce76346316a8
8,Quirinus0,46802,c16138db99d49bde3294552a427537ab
9,Resacp,46787,65e56baca589de1953c9f2cb870c9ed5
10,senseilaunch,46652,8c65bcb4713670386cc27bfa86e6878c
11,yassuoXX,46620,783130b91b2e49d0d2d07dbcff9f9a5d
12,DiabloSpear,46608,da1eb73badde9d244d9ef0ab77294a08
13,HoyoEden,46470,47d0b93bf7b8be5950c8f9175af84400
14,Azurio,46417,5ca8f4fa542862b80c21c2f17488b86b
15,TheWolfcreed,46089,af83b0037954b52b362be58d56bd0082
16,mom22y,46063,eccfe6ab1ba83f8249ac7e03c0db5fac
17,TgAries,46017,f60fc2739c782ae0d65149bd97954dde
18,IknowCOMBO,45898,ffeb5f3ee74cb518ea86640a16b237f0
19,Destoryer1,45891,fec618aac416b12a0180200f4642df38
20,LauncherEvil,45806,9dcd3b1d06cc2cf6b638512f353a2299
21,Cuyber,45594,1d75c0d44538fa43b461696bb27d64e6
22,Origo,45467,62cf7b9ad14b1633b19d4bb3ad47a6b3
23,Synchronist,45385,eaeef8209ef3c5766764dcb9917c8e08
24,MrBoomin,45349,fd9f55f1d571bbb8248066bc001b582c
25,BigBossMos,45261,f11dd47b0e60357712d9f66884daeacc
26,0Langonzi0,45244,d08aba292528e2b8de0614656f9ac6d7
27,Haboboba,45161,a081292d4429f91f68b86c0077b510cd
28,Soapboom9,45160,4f6f45c4e756089437981fca598392d9
29,Stylish,45148,0b9ef851f56b909b912bb59eb384ebb8
30,SnapDoomsday,44881,cf44e232c5e5ce130aead701c21b948f
31,3banzhuan,44873,93a371cebaa7589a72bd132c9ad51a08
32,launchersw,44801,79f70129b4db713030cd52fe1273664e
33,BigGunBoba,44783,b57509bd6e5ee1bedf29520a051a65ef
34,YachtMaster,44753,eaa60509dce3a9cce9191ac7536cfe7b
35,L1YunLong,44638,30675afdd1ce71b9a9edfbafa358835d
36,GuggOn,44613,28404ec95fafb3af560add8f15c06a87
37,CaasToR,44602,75d87192a7427f5304fb8f5b3b7ac127
38,SDUTiger,44600,e9db893f7c6b7e15bf74a40b36f18d86
39,BigBuckBuns,44509,9855ceeaa38b79cece684fa1aeef33c1
40,EmoDog,44480,d0f96280d497301643ce361ddeb9343b
41,Qutou,44110,145ea36614a8fb7d1acbb52032fdccf0
42,MDGunnerL,44042,2e4646a99c89873a50f7d8399f3a803c
43,Sagitariusss,43960,a1ad3dda8f5d3b73f48ff1af65574d3d
44,BinChiling,43810,fca7eee1738cfdae2019097531bc3d2f
45,Stink1es,43588,ba8fe3fb2b66ece7313637057b378bdb
46,cfls,43487,42f2831fc0a2432694e4afd1e45ad872
47,8RouteAmry,43428,34060a68280137df03963dd9838d4e63
48,Konuzi,43263,dbb5cc6acc5ff6cd867d622cba2162e1
49,tails360,43233,7347b16fd9888f33b02f078a0bdfef75
50,AKdestroyer,43123,ac6a0ab936c42e0db81e5d125b389771
51,[Shen_Yin],43100,fdfbf22f3872dc3d7331664af7c29eea
52,JasperStrong,43080,1d316e535ce227be6c0f71ef5125afb1
53,BigBeam,42893,b9c7b088b660270428c43630eaa86c46
54,Braiger,42756,2b1b208b5daefaf2e47e727f4cf3d337
55,oOlAstrolOo,42741,5d81a6238eee8c3845ccf9d68f190bd8
56,IhasBigGun,42451,54dcf748cd077a01fb17c2f3b2a4a080
57,WickyNEMEZIZ,42374,203b55d9521f1e601bfdc4773a0deb8f
58,Cogga,42296,82b1d7a210a61ab2326e1dbd50ea8efd
59,MasterChiefX,42264,3a2a453487f0e1990cfade6f01585958
60,RATATATATAAA,42241,c260799b105f5dd8bfc0f3205cbf00d9
61,Kleinegan,42222,eae646983c15dbc3bd6f3f765b53cfbc
62,XXxBigGunxXX,42123,7cc4f077ab53b0ea3ca6bb9e8986568c
63,Chefma,42064,bd973d2e2a852607f77c072cbf70397e
64,xPaintrainx,42053,d52b8187e08617a0abec491f1b4ae292
65,0Augus0,42043,caed19c36690448d452928fecc9493c5
66,LOKonDynames,42040,eb754aee1a99940a6bcb6d2a96a41c6b
67,Lowa,41914,4ffe312056c472389937209089ff2119
68,xTAOxG,41893,1e7cd1537e98e0271d3a0ef0536ae8ff
69,ITEZERO,41887,7529e96e27bb9328dd37ba0f42308528
70,OgamiKoga,41830,4a5839a69c6da660ead19762b4b7d70c
71,LackofEm,41756,ca76c14b5eecdcfa55e536df841e2881
72,MEGALA85,41605,4ddc9b7c8c82016e50d4ba3a34c7d96d
73,EmpDestoryer,41573,9502ac8286d4ff8c317fafc88e5415a2
74,vIDv,41561,974fccab471b0b43b0cd85ee8354cb1d
75,HeavyWepsGuy,41415,c346290d2739be8327acc8989c664e8b
76,JJShooter,41359,52a4087d86ca71a5456eda5062af2861
77,HelpsClubLV,41348,7da61aeb3cc500fc2f4f71146e113ab2
78,OneManLegion,41272,bcc9e516d5a41dc03421bbf5632dada8
79,GunCannons,41213,be359189def8c4ebc2b28d22d283f3c6
80,KailDemon,41177,40a75e7e965f5dd66d4b99ac5c0d1988
81,RowletBeam,41124,350fd11e70603e979c8ebeceeb09f221
82,PwerJ,41100,d8905995697d1ccbf9e5765eb8f852af
83,yyydds,41030,2471705834823a108cfd22e0ef5538ed
84,hualihusha0,41000,84183d44f2543996d78fb4547f149589
85,Zibin,40887,846067fb55eff97a4cb2e7efc5dd98f6
86,MarksLCH,40789,a492500bdc69fb0a0fc36dfa6d2a2129
