No,IGN,Fame,charId
1,MeTheKyle,49970,c30e4d3bd7e0d5766fb8e8ec8d2bb02a
2,Rnazyooo,49401,f557ad718824333cb0b495ced0e58a83
3,SYueJJ,49314,7a18e3603b61eb9cfd653a6e81fb9bc1
4,RenoJacksonX,48766,39c53300461abfa1296f1d761238a24e
5,BigGun110,48168,54242debd464c7b805c84be0cdb88001
6,KawsCow,47875,68059d54b36c533077a96e3015e0240d
7,Sahro,47686,f93f81f9930b476042c93d7dbfdb79b0
8,Dawnpityluv,47682,8b645523911f0aa5cd43a8b0c62e80cc
9,JohnChapter,47517,90590f7cb8b49f2d6ba8d8143ca57905
10,xinwhale,47431,b3503d15ce6c7e2352090fb7d6c41c88
11,KOFMarshal,47348,658db8d7e9587329c4f6ed3da3651e2e
12,Stewjump,46954,0712c90bfeff0800aead065700e089b6
13,Jaune,46945,85ea81280692c424fb2ef08537fc4b26
14,BanWang7,46596,d4314fb63b9d75d6e3ba480ec8f33624
15,BestCircles,46554,1935cc22b30cceb46016ab63e2f5ec8b
16,HeiligPfeil,46313,48e6a913410d5ebcbed3dc7ba953dc35
17,TgSniperKami,46171,d54a8f8097add35528f30e6cf7f7ca38
18,leopoon,46132,b0ab47cb0e6df269ac53e12f056260b3
19,wosh1nibaba4,46048,96a460119cffb981300f655d99245700
20,A1zenSousuke,46040,5582c2f7c04ed9576db6e34a13999b25
21,crossoverOO,45937,e77905b243575af9d339f03063e4ab28
22,Aqaurids,45773,844392dd265f6b5c4d1e0bf6805b769f
23,Hirai,45530,cb48527379ad2e65ae6cb66c991bc7f8
24,Voila,45219,bff7bf6a22d39a52ee55a76032f4d25e
25,Drakonson,45156,1b69bd977855d7e1db5018c4dc3b1455
26,GalaxyStorm,45099,5f5e9bb287822ae660e5447f3316d6bb
27,TanWanMoShou,45067,38be34443a5ed58b48ce14961991ad5f
28,WOBUWANLE,44931,b5034972a864122ac0aba715207b365f
29,SirSmith,44818,1d20256f24e6c2f6d1030a5e6bf4d39a
30,FabledLitan,44802,d85e3c38dddf9b9b7ea509c6be6f06b2
31,ChosenLight,44579,6c2e954e0c78146d95d4d32fbaf79c24
32,RebornTyrant,44542,7646b251d0b34bdc9d9975c96c440739
33,GeneralTofu,44527,15f0ca8bf33287bdbda0f53944d55ecc
34,Searchman,44436,849b9ebc970a894114346afb517a43af
35,kumiko123,44384,957136a228ae7a7b5ea3d9b7b600902d
36,Partitio,44379,2c5a97222fa57c9364585e43d9959f93
37,FuhrerHusky,44364,dd33f883d57a67431531650b5648a3ee
38,Style,44340,d736eabdeb0c3b020df2798a17430acb
39,Blinxte,44201,adafa8b6db4de59dc1e1fc88e15af9c2
40,Kugir,44177,b2987957ce17a74cc77e93c069a92b57
41,Lavaflows,44163,14cf4438fa4a9c3d8a5faa5c311e482b
42,SpitGee,44090,d5ad26cf9b448f06261cdc2ae88de547
43,spitbedo,44025,e8ed103b7c3c12aa3d4c0b9c584ae522
44,Bixlow,44002,8c48024b3fbcd8caab77d48df513ab6b
45,BigPilot,43887,95479e05e51d1a92f56156840f9b3031
46,DanYaoGuoZzz,43810,e6b0884239638ef77c2fbffb41ea41f7
47,SpinB,43808,419013bf5438b68cf51b8ab821300ae5
48,Foodie,43797,810b79f7199f757314af234ce3b45c2a
49,Reagle,43701,1f64c6c8c5d1834f1dca9c0322e81192
50,qunqunshen,43650,5a8c414866abae704cf7f3da98a43074
51,Gunzfromhell,43623,3b8ae599d9e3db21064276d2234c5702
52,BochiTheRock,43604,4fa60779e74d0f7e62f3698ef3d024ce
53,SundayNP,43372,5653863a343b6d46e1f6cdce3f9ab959
54,IdleSen,43365,1f26bd17bfea338a7fc031f48132b4ef
55,FkinSpitfire,43156,a42c16912e1b7b4fa8cc1abaae427cc2
56,4BlackRoses,43061,f55188ad1f6ec625e839c4a0cfb3a45f
57,spit8,43025,34418b0657b76df542d71c5ed00fd2b3
