No,IGN,Fame,charId
1,lLynnl,49067,43e8379aada689e2ea351b2aff07ae07
2,BiggusTittus,48121,5ab842eae9b6d19774975562d341ac09
3,Ieris,47656,41025872ca11a3f126d5a30dfe06abf4
4,PenguinGuide,47542,e9f076c33168732d277f9f0a689f7ed3
5,DiceDouble,47472,b5a05ddba1fb56cf7bf8dc24184df276
6,DnaJoa,47151,bfaef04e641148a7c9cb431db14be276
7,DKcuber,47112,3d1046ed0ced71eda0cf763e6dd09e50
8,Rape6DFQ,47101,7f9cf8e3b13ead36fcc0cd6de399f0e0
9,Miledy,47057,144b40128c3db8719a4d49dbc6855599
10,KaguyaHira,47051,c1e7a6f04a7d2aee141c6b5946301321
11,Siasa,47005,aa6a346725716d48c5e1f594fb933986
12,lPrincesita,46891,02e0d28a47be6955426f1400bb8da309
13,DragonSlime,46745,dc35a9443e463f8797a66ae15f3626fe
14,Saryuuko,46658,c36740e68603609117e36451e17d9fe0
15,ser1no,46564,b3a2c10457a41e235d53a312669987fd
16,Denpa,46557,e21dfae1387c7e61467d23e5678e7a0c
17,Sonata4U,46542,5f1f51fad031bb46e4295268d913a1f8
18,Distributed,46488,7cac2efb88e415eded0245fe77944f72
19,RowletDrake,46272,c017f3cbe4209d29156f265015671b3d
20,leaderDK,46216,b68db26fd75e5e86957c49816860ab97
21,440MillSaved,46202,510a28c4d68764bb1989b255875ee75f
22,NovaTheDraco,45963,8c5772ca3ff22576fb6579c4972390c7
23,Endoroth,45955,6143446e0ff2718b28c843efb7c55929
24,GentleArmpit,45936,ef6fb4f63c2e4ba25f6739393ef719af
25,ImpaleSpine,45879,8f179386497c86154e0cd52cdc7441f3
26,Facedown5,45785,7d1385bc6cc4bcc3521980dda0a9f2da
27,DawnBlazing,45739,813cd3e299692cf9b6d017ff74c71639
28,KawaiiMumi,45678,eca5c2203377ecc9b1a0c59f4ed9e75a
29,DracoEques,45675,70e17f31aaf59bd9dd50ffbce7c0c308
30,Lesdra,45632,19408d1e53732103d04ff513a469493f
31,Yamieluo,45556,72fbec51a7483cbf0696efe7dee0b4a7
32,Arrok,45464,b9515bb9935af5140db0d95749964f95
33,QQSEVENAASS,45439,33ce3d799635bc5e983fd0e9d45db110
34,AiaYukanaryu,45391,d7e0ac6ec9cc6b925eadf36d964d8377
35,Zekasa,45357,a5e1741187b6d3c50a0baa9e18095603
36,XanDragon,45350,2c60adbda44aee2929201bdc46eccede
37,DragonFlier,45332,db65141f63ffe9134b0905b8148945f9
38,DyunDra,45258,496e3e118e3294841460c68681fb617c
39,3OoO3,45125,499b75cd25f46aad593c81707e7732d8
40,HatsuneSol,45084,0c75897515295570e61c03e46502b809
41,Approvable,45077,71ffafbcfc9053a048ccbee8d7fc7882
42,Dps00006,45073,b941821389870c77f110c553416f3dc5
43,BreastAngel,44948,cd712af4403b88714d8177a0ed51b24b
44,SADragonGod,44929,2f080d41ea81af747f34d2a784c0d621
45,Dragonala,44913,468d6076ebcc3bdc62378c2e840fb14c
46,Tastana,44842,9aaaf3ae1230f883dc3d032d0ef16c57
47,Itelithe,44824,93d2e9650508c8d9a2aaead44fecf4c9
48,DragonGodo,44775,40726d9d23fda18fb9dcd0fb26334f72
49,Kanissa,44709,02cf85f2df2c222d3419533c9031d3ee
50,cCuteDylan,44467,f7d834532b40db0ba31ce984e35e5b7e
51,Selendira,44466,9f29a4dd3ed95ba5327a7da2796f7c75
52,Tragoncita,44451,912f9f852eca8914a13d98d8f0b3539a
53,xTania,44443,71dbb585064c7f82f96d2c94808013ca
54,00DD00,44253,f6ca156b9f7d1a6fe0a76540f9095465
55,SinBy,44102,acc1bc67d5a84425162601df952adf64
56,LongZhuTV,43973,3cb72267bcb1a9bb3b2fa77868cc94ac
57,Duorara,43952,6f9e92a82762200bbce47209af195db3
58,TuXXXXXX,43941,2d8488df30acc30cb94ccfec8273fd32
59,Vayaviya,43861,3e7b21a79b0ed5d774e0178fb184a02b
60,Aya-Chan,43836,842ee2f00b596eded4832053e32dce98
61,DORAGONNN,43814,a0ec1ebf25dc807053909d006f653fa1
62,MoonYou,43798,28e51e765f81ec577eb811db4b5dcf9f
63,Aculeatus,43793,a1b06c8183013d3954806ba94f93046a
64,BloodTyranti,43723,ec6072dd0aed51c01f0319b54d8d836f
65,Riaerie,43701,bedcac471418205fa0d836b2b66e19b4
66,Lanseaxx,43652,391785205527cbbce8602239683d474c
67,JYDracunis,43610,f75a7292ba48b43cf3f6f41151e50ff8
68,Leviathong,43536,6d66a5ff0f96e0f51fbd13f13f4d6645
69,LuneGoodGirl,43438,d17bfa9b4aada97324fb51831b331ef6
70,JinnoNagi,43300,de40918ac7c95033d53ce844eba2f7f8
71,Wrathilia,43288,86991f379cd878dccfa51222157b3993
72,AsDragonKing,43194,4ef67f9137a6a34d9fb167b005a2dbbd
73,AstharosheV,43146,377fddf7a119127f677d2447d0330e0c
74,yokeyy,43015,eb53c497b4743543913b09499813bc7b
75,TiamatMKII,42955,81073d0f9d2659b6b5553811703ca03f
76,TiamatFleur,42938,a51094e06f6c2ef27b345fa7943f4dd8
77,SheTooBig,42913,6f1b96956bd6d8429cf07e1d39ba2bb4
78,Heffallump,42812,71431f61cd3a5f70f841efea7e15b6b4
