No,IGN,Fame,charId
1,MeluAilu,48606,c8bd55be44eb55a3c8da6995126ac445
2,SYueJL,48575,82301601aaed5b5cda0e4d271296a4c8
3,LolitaGaia,48337,a9309577e97ca932c62df8f8d1314e5e
4,Dudulux,48192,b85d1a451dde7c3f0242eaf21b6053b0
5,Eynzqt,47643,a9aab653621a896522778d3a6d385adc
6,MoeFeelings,47639,934afa7ecf296bb4002e899490c8c57b
7,NekoraNyaru,47622,e16e52da40055f9f8695a5bbfced9028
8,Piggies,47307,4f02382d427a90ebe689f98cc4f44803
9,lucency,47153,f226fdedaca378979fbf39b9c123df69
10,YukirisDonut,47137,8f26516aed93812e9c13dd8d9d8def81
11,NaturalFlow,47062,bd0b5a14bf3265dfa6344e0db1e63028
12,KazaneHiyori,46844,cf576d3144f06fde9f16cf8b83c96354
13,ser1yo,46687,54ad8f92710e04e77baa6225ee607ab7
14,LadyMalrin,46644,6fec961666008fd9e248788f444afc86
15,Lorisdes,46531,661573d9d5aff155086c0900a0529a15
16,Cairngorm,46518,6c39c963e60f6beb2e428a10f4dbc1b2
17,GenesisWings,46482,c1a3acc733d170aa799240cba661a24e
18,giouji,46387,5d9b9f4aa9592af519efb079276e3574
19,Gwenllian,46370,b9b2c111aca6f7dfd9fe1ea5b6965fd0
20,Losthalia,46259,17bad74ccb4fbf8c2b13f1df69da913f
21,Hikuma,46091,7657e732b0aa6ea4db1b83ce61acd2a9
22,Dr.Donut,45974,1ba82aa0780e123796322e82e97fc1ff
23,TitanGaia,45635,fdd3eee428fe62b271d0ec56c17e4e09
24,Psyduckling,45515,c3c9c6866f9cf96d179114df12c658b1
25,LadyAegis,45429,867460289aa379a9afab506bf1a2d1dd
26,MAKAINONEKO,45416,415a15b667c0985406ddee06e8f1ec73
27,Ref1Rains,45411,3041b9269c3ce73dd16ca5d1649637a9
28,Senura,45401,80cea7150006cc97b5dd8015a4ab8145
29,xSinceJunex,45266,f633277d068301ff70d9e3166c47808e
30,etherealor,45179,97c832b753e89b534b834c920dbe665a
31,SeraphElven,45029,23055bfabdfb8697e145311bd1d6bc8d
32,Unchain,44988,ec8761ab5d97d7323495559989205780
33,Uisukii,44891,b33fe81c8c6ca92ed8fd94a302f9b10c
34,Chidoki,44740,a1282a0ae1718de0d63c563f1e6a831d
35,Fuwapoi,44606,0cb5dd7879c2e2ed238185bfcbd4e747
36,SAIL0RSATURN,44508,4c9a50df1e95d3e4ddf0f5a944a3b7a6
37,FlabbyPatty,44438,0117351217ded6f78fec06f89d85560d
38,shikielf,44381,c98c30cb3d635a1de41495daf588a289
39,Dreamfouyou,44367,dd2aa7436a54454ac82c52b15acc308d
40,Lilea,44355,b78da7172db0de7dd334f665caa23922
41,Poltergeiste,44307,0612dac210cacabda6dc6b59a687050d
42,xoxoLADYGAGA,44040,239f69006141f7466764153f32cb3387
43,MahoSaren,43997,46da326704f3967b72f45e508ecc198f
44,Tsundereneko,43980,941c9aba2af51abebaf20825193ab0cc
45,HoyoLiliya,43904,ac7e7ca72b481cfb26edfc25e128ece1
46,Hellaclyn,43845,a2f5bb24eb5db71d574cef9783e9c575
47,HaramuraSaki,43764,a25db7d7d9e343608dcd6e5bf6439580
48,HelloElven,43708,953f9e383ea7c1008174453e398a8a61
49,Yumiriko,43482,2e822c9e50712deb2433780919a7178e
50,Jitchi,43405,5a68e2603bdb4e0bcd9ef819583cb44d
51,ARandomGaia,43359,97150ef2c36a8db050a5d929310efacf
52,LuluNya,43296,d52cacd2d8d8ec7f4ed3d86a6e8c5d7b
53,ImLockee,43134,ad5c6319be6df1e8695ee30112206ada
54,Browse,43101,791ce065586e9cc6b22ca7b2dd1cc0be
55,dudului,43058,105d30419db1eb4e37dc60ef6554d007
56,ElbungJoa,42933,f5147f2e9f5bdb83d6086aea63c9bdb3
57,RainUnicorn,42853,3973d46765c988c9e069a2a12fded0d5
58,touchingrass,42816,018defec1d85f46f75f8bceb367ddc39
59,FallenIRL,42596,8cd1a311461e3471a6ca7d357892dca4
60,XwKnight,42530,22bb2eabf4fd853e08f1e2f074625a20
61,Shironeow,42528,e31d8d7bea28fbb3bbe573116c8041d4
62,Irlinia,42484,fcb6e7711e73fe031bd4b56bb04e7996
63,hi~imRiesz,42446,b1cf8c7e7787dd4c8d018bca683a44a2
64,Valindel,42421,63e7bbb3562abf42f4866e50d079d305
65,AegisLumia,42382,68319e5031766ae3bf8f7a45cd6e944c
66,mauzel,42332,aa1f4878dc29e0dce9dedb8dd7340670
67,ElvenofGreen,42313,82b9c157935319c96dca5c5ac32e14ed
68,GaiaJ,42229,5b939b51f17ff12e9815847b22358221
69,ColorElven,42202,7df29e1fc2ca6d37ba1ece13315bff86
70,UmaMusume,42087,b111829413f691676ae59ac35dae81f3
71,TraumTom,42026,585a07c5c4e89e306fb0c847e9af7281
72,ChitoseFoG,42001,3682b4581886ee84d97a79dec521ef9b
73,NaTerr,41885,d0502fc4e9cce630da3506307e6c4555
74,ImaAsu,41733,c394ffdad0e7aef6858c8854c91079f8
75,NhocPump,41659,b3ba6089447fe4694d2684ce35e9f762
76,aaao,41614,f41a370f02c7437b8ace236c242066cb
77,MilkyHonkers,41529,9f024092c171664c596b40eb0bcd5440
78,Siqin,41420,edfe5b156df5cac66f4bd457ce8d2ae9
79,Nr70,41284,15ba8c7739e32458e1d851017d5a53f0
80,MemoryofPast,41215,c4aff4256806c714789a7a6afff5466a
81,Sashizen,41190,f591b5050083606625d37acd961a4d5a
82,AuraMarielle,40791,3ec4b0c4abc15251e41451a2bff73a80
83,PushOn,40664,b2db333272ebf37fcb010ade575a09ac
84,11eave,40610,6525e8255f7f9ef0354a5581bf94dfbb
85,Velladora,40536,8faef7f145b04381b943c9fbe14c11a4
86,Kaio,40516,41ad60de6bb23aef1d7d935c36697ebb
87,Agraliel,40446,eec7b091ebc5085e4c5c7b0a6a62db97
88,Riarieruwa,40418,de27550e12a13e9d955df0c36c765e4e
89,Amalea,40383,1e6fc997e8de2e992f6a92dbc44843dd
90,WaitingForuu,40281,3efdfb4d6aea06a266aaba3c61970ab4
91,WinterFlower,40192,e83b77fd16b3cad467b8d31014ce5b62
92,Heizie,40176,ff0fd6c6d55847ba6d10c3484c1051af
93,XxIlliyaxX,40060,1b94375372df0eac84e336936dd0fae8
94,FamLily,40030,9e85b70c5311ff36c9077af631535720
95,Riearie,39816,f47fa8a21feb02d65905c3d89fdce979
96,HoneyewLatte,39636,c0e6a2a6e438d00de0b05e085eed1b63
97,bootygoblin2,39627,b9d901d8582993d58491cbcc7f7c033c
98,Rushy-Anne,39612,afca4ee257259d7eb816ab1e5bfbb8df
99,AmamiHaruka,39593,90a5477892cf44a82c79a0ce8b906073
100,Neguu,39479,1637d7f34112a7fb9f1e69edc0110093
101,Ky,39302,74bf12bc521f84a1a9dbb357f795256d
102,Erinye,39278,adb51e8be755adc284346934f7d81c11
103,wakyz1,39184,bb7fe0b936074223c0fdb97dc15b51c7
104,xXSiraXx,39154,efaeace5a04e805dcccf088231f52bea
105,Eud1a,39147,cb38130eb311cff4092720016ed38fc8
106,7Utaha,39022,b3cfc8a36cb23fc9950bdfef1e8c26fa
107,Jyunna,38960,281ac4c99cf3b0abb8ab045abfa6df49
108,Bambinata,38819,e116bc646cd6a1f3e5cc8672b44a7433
109,Chiyaki,38643,b3f037650ed9304b0012fa32fd17f0cf
110,9gatesmaster,38586,25c3e2e8590f9fd71c77b7f4d46da403
111,Auvriel,38559,2e3abad189938d60cfb2452ec7cc18e1
112,TheElfGaia,38523,4ca40d9bd2800c83c4020b1277d45fc4
113,Calisandra,38517,6f5aa407185f71d60f3bad1efa70184d
114,ThighEnjoyer,38335,8e1111e57d3b6a1123b6ea5c88d8b1f7
115,Emillia,38286,56082a90c20f5be29e504b6e48e79fa5
116,ElvenBoob,38185,5d2a767f60375f5924ac84be81047130
117,Lesa,38127,f321028c8d56cb2baf9a607b3a742671
118,KnightNuK,38031,3eeaa42dfbed2a75b3721313ce770338
119,HamChaos,38002,a9fe27acb6f68529e6ca7fab1cc2e56f
120,AthenaHalla,37737,827644074e58eb0708d72cfb01f95285
121,MuchGreenWow,37713,a4b9388ba1f931383fd417a970642e39
122,ApplePussy,37512,b11ddbd5ff4a2094f416008ee3ac9659
123,DaNaaiZi,37321,eb67b7e64cc227b9e05f657f93fb468f
124,ReafuChan,37295,3492def7305bd130b6eb0d8dcefdad55
125,BustWaifu,37001,28c244c4068330f60e4148ce4b5d0764
126,DeerDSP,36945,771b31e5524d41df587a956be52545db
127,WetOkole,36713,b1fb37cf801d1e6d9d8296a787d421c8
128,Artorialance,36676,64aff9f6124276e6848b5b11fba0cae3
129,IkkyPonyCat,36633,8dc628e511a93571fa2ba9104d8b09de
130,FehlerMacher,36600,e3d1d1e57615680f60aeb37db90a8af6
131,HyunAe,36580,8c3594f88faa6d59250dab7be46664d2
132,AliasD,36537,dbb18e21034b936d95ada3b6fdd67f68
133,RhythmSpace,36473,588f791db0775869e388596ed891d3a3
134,ryomaXx,36466,4c8402ad031330feb915cee52bbf80c8
135,Alvaerele,36418,7c6b3c3ea05be4da426a3c3fcd1b8c2c
136,Rozarita,36408,3840d1c78f3ec6c3c21a16740b80753c
137,Yalanilue,36296,ca1a973733743fab159f94bfa50dce22
138,DieFemboys,36257,c5456331fa84ec1f8a3bae76b5b7b6fa
139,freecomSC,36193,f36e60c8ac1e27614fa8ee764935c8e1
140,ForestDeity,36167,c88b9657f9403327f83c7e0cb5a3ed54
141,Ilucina,36075,38482789658f28214ea58e9adb878fab
142,elfoojyo,36072,94b0530dc3f0fe72ec7dbc20675f9750
143,Hallywood,35930,d6fe259f7dc14c8d59b69a6f00734308
144,MASHEDTOMATO,35794,205a2721cd8252b05854c6e8d55eb21c
145,ElvenBanana,35779,e75cb901ccf9b514381f1ffc990d973a
146,MisakaHime,35727,ea231c6979d7c3e864812098bb5bc097
147,Palantira,35632,713041d658bf0c5ec2d358bee519cd0e
148,Tappe,35621,e7b1f4a007a01882a39234cfbec2cab9
149,Melosol,35488,0af1f1bc048ba9b88f09e123c6406dca
150,Delika,35486,6e90f8f07a46816afe0f0bc905b0e87e
151,LuckyChainx3,35390,b052df5922db876aad94e742856bdd6d
152,vakaka,35378,ced2607b359dbd8cd304a8eb4cfb2d58
153,CoconutSlush,35307,c3458330f271bf2c62ea4a3677cd4fd1
154,FlashCeles,35166,e88431717169339ca7266c5ebe52cb00
155,MayamiuTia,35148,c46693d77688ed26cede76638898c09b
156,594068,35098,1884b6fd32ad152d4864d6b6ec1cb000
157,RiceBath,35095,7d4dcf6874b9617b6d8bd2a043ffa051
158,AluloriAika,34967,b5f026c5e2bdd0ed2bc40b026fc8f96b
159,Loooololori,34823,1214154b7a64e41220702b26522ee3d9
160,Desplace,34813,193e35c65c6450fd8d76a7472fa26070
161,ElfKnight0,34810,ef7031932c8bc7ccb22a676230bf2ced
162,PilihpSyuu,34806,4769a5ddf190b62f772a55418656cdee
163,NewElfMaid,34780,95493edff4c1529a1f9a6fd22cbe77a7
