No,IGN,Fame,charId
1,Miniz,48735,3d3249a3f0db82cd161ed62d09408519
2,ChickenPapa,47817,2a879b7924c11fef0e1e36cf75894fda
3,TemplarK,47782,b36232f66c986fcd5077ea9bd3e061af
4,jlee8,47665,ce2672aa9c510001e74018e741d338d9
5,Morikubo,47274,fa9bb321b93690cb9fe444e4d849ae1c
6,SupporterSan,46910,e2f93ffd3ca85a4e4e7e88a2d13d451f
7,AuroraSol,46880,1efae44644fe43ce83baec9ac0e7c005
8,DKblingbling,46725,1bdfcde281de096b6b95cb0a34a68319
9,Noraly,46685,a6fb97f404b1739a511bd2f657bc64e5
10,LuminousElf,46593,90c0f980db8a68582868f2748bc73a9a
11,Kokomi,46578,54ca39da8dae0c62b268c5c37d5076b7
12,HDsavior,46501,a380471518d934474eb58f96b0e914bf
13,NaCeel,46376,a817630121afd093488a7b5bf4185b98
14,Sakie,46318,4f6e66e47d72909cbd50ee896e99e756
15,SeraphLB,46264,5db1bdce4f9102a9f77eb49e10e04d8a
16,PaDaPaLa,46217,9f9dbea60c393dc885d6829ef69254d4
17,Kwun07,46196,7f6f14ae08c142060bc06ac5e7bd0cf7
18,Lewe,46059,f22ab6fca45eeca2faa9c5367dca5246
19,Zenobia`,45998,53a9579966569caaa0b7c45162b2e0e6
20,SaviorAlice,45917,7692aca5d47a424ded88668bdb2d1271
21,CanNotReply,45852,cc0134624501fd8db52462770e2ab149
22,Euphymea,45728,a35f91f6d83844155134796ea26b66ae
23,halfpitaya,45538,699e95abfde724ad658208739c38cf88
24,Kathrena,45437,fbf362dfb92c60dde457136efee3cba1
25,BLNCG,45435,a661081f091d27ad784fd1242c95bd8b
26,Chirouroua,45406,cf4ce4449621b4004a6d6876a2e98f07
27,Bonked.,45315,22b637dc50dbffe7b3568ca8f9e77edd
28,Aegis,45238,7780112dbe899e6a3143a6e206574177
29,BeaverDuck,45182,7fd3517fb9a335ec1a56d0681f7633dc
30,PuppyShield,45158,7207e104451a6e948e3406776ca1641f
31,MiaKyuseishu,45129,aab6a2c708678d1628dc76d90ae29b8b
32,LandraiderIX,45035,068051747bd38ee6731c74e753c1af6a
33,75000000gold,45023,eb0e14693ec07d3c154581d9fcd774b8
34,GuardSquares,44980,be927dc91b49979a79dbde869b2441dd
35,HydraHina,44927,e228e5f02cca7a844048486509aba60a
36,Jerona,44864,4e41ea13d2d45a2e58642c7296f889a4
37,Tsumikii,44858,6a49efa9cfac5c81b2d79ff02d1a16ad
38,LH_Light,44812,7fb9c581096e38ac8dd8a308e43227e2
39,AoiHiroin,44658,632cd2343e777e520520a22c4508acf8
40,Kinslin,44585,f8f4cdbd29e30e089eed08a7bcf28554
41,ArcGuarder,44545,c12cf9b984500c87a6c91d0123b585f6
42,Breastplate,44541,0497c22ec4a6bd8e9cba331de7614a18
43,Olethea,44539,f0c0733f84dfa24275edc6692d14e63f
44,TgCoffee,44364,11680e259231a7e663da0813b3facff5
45,LifeKnight,44300,95e26ab348c9c24c13ac842b8878e863
