No,IGN,Fame,charId
1,DRBatt1eMage,49369,b74fc2f360c90f0535018388e881f66f
2,Gaiety,49184,55db56052c83e1e2f6cec78bd7cc2f57
3,Lenababa6666,49173,c32965fce68f522c17cbe4c39e17fca8
4,BattleKylin,48948,06d47beaf3f76925827786c5d5c54733
5,SnowyMoon,48914,9511fb470287301b29e641a280f9a8cb
6,xAyax,48668,27a07284b00c7fcd740abf31bdc3e332
7,Melee,48403,a9cf224cebedea4cbcb63b334c09e64f
8,Meeru,48227,f69b410fdf7f2c57edb98c91c6cbc2bc
9,MitsuhaEst,48157,96c016553cda3ac1f147c3161a990022
10,KouSaki,48154,7d6716e32bd689a5013b7cabbfa20e4f
11,MizukiKyoko,48036,8f1f983e70330cdeb2854acb2a19034a
12,Lirika,47900,cb17097c84cd764177b27986c53a3264
13,SnowBB,47882,eb47b3fdc18e7a347b45ba9f7345a827
14,QueStar,47834,b05b986ef61b18753b1a47f673b643b9
15,LunaLily,47741,1cd7b94b607ad1ff491a5b1a13daac8c
16,Souceboom9,47645,ad95a3bed0b9e7336d997664b4164bcb
17,Frozenberber,47642,1140e5415d3fdc2552ca9e1b200bc719
18,ser1ya,47568,b886fcca9114fbde91eb075d0dc66b81
19,LonginusPoki,47507,fad2af6527f7e068d6c24e1335d5463a
20,Viason,47362,842d8a96d6b34c9659a516a07ad37841
21,HoyoKiana,47337,fb277156e1feb418f1ed7cfec734fbd2
22,infAstarte,47308,4ee93c873a24da7f276db1eabe08e1f3
23,battledog,47246,ee4232c8fc1d79f33ca42dc1d9ce4f0b
24,Corealis,47222,d11c19d00478c01ac8c3efda4257dc00
25,IcarusBattle,47046,c78983ffebd75a38d0989b5d685ec90e
26,Morsatra,46811,796ddadd1b80963cecd817fcbf4dcb1b
27,Eimie,46738,fd2efd063e9d1c28ceeb91d11d77f061
28,Indignate,46707,490dad980bfb2260446b0c1c9c7558fb
29,RowletSpear,46555,949e1fe010ee09d99a7b7cf54d71679a
30,Sarkaz,46503,cb41b055df92ed6111840d6ff818c3c5
31,ArthurAlax,46429,7d9faecdd33fe7e5ac4b1757678a8029
32,RLolicon,46359,32d50521a25d350690b989fb6731955e
33,HDastarte,46321,15aaf6501b24d637b706af9dfeca03cb
34,SakuraNozomi,46219,215fa67f9eae6598726cdc3bc150bdc9
35,NiNimo,46191,7cdfee1f1b1441f72e7d92a4663b6125
