No,IGN,Fame,charId
1,q0v0p,50185,7be70356fc6e0d13d1d2c6eeca5cbf74
2,Mapuuuu,49211,e2cec5eb9afd03bac5ab6388a5c27626
3,Airisu,48792,af8b8c4519cd2b5e224664de42d91570
4,Nanoha*,48700,69220ea1c1d38e1b9141cd34da5bc7a8
5,KagayaKylin,48674,d8759635a3d6f5320e52a2cd30ad55b3
6,ysEle,48672,86a580554962d624fa145eaabf202388
7,FunnyBonny,48656,6ecdf9c6fff8eafc327d1a276cfc31b8
8,XuTTTTTT,48531,bab6d30ca552f81d6beed6fdfea8d847
9,Pachiritsu,48244,87f6ca8cb8bbdd4ef8aa4723743257df
10,KOIElemental,48139,7ce728b49ca940d28be4a661bc83fa96
11,ArthurK,47813,a064505ed6c993e3aa6ba1593eea34e2
12,frozenroro,47774,e17c07bf80e0189e56f10185cd1c362f
13,dongdong15,47672,a3e10e3f70ac0bbcac9a477872e27628
14,Shiiba,47655,a6266cc2edbd7f373600f9a61283f923
15,SYueYS,47555,f8cccb689fc2e06b4d8d0906d39c18dd
16,Mary,47323,e839d3e183740e595bce16a9f2b27bc8
17,QueenPhoebe,47253,cce2f22369449edd21405f262d5e133b
18,Soraine,47139,005faf42dec150f7dedbd609a0f9a627
19,Dps0004,47006,ed3bf416032b34a07dd6721533006d87
20,Idoun,46859,afcfca32ca6e89a5d7ccbd169b94003c
21,SoraUmi,46856,147f559a09c82126daded56ea6a9a6ab
22,Meeruno,46846,c2af6ff3a9f144fae8c7b20379150837
23,PeachIceTea,46695,5b7153ec0db68bab5b5b7debbb012221
24,TellesEla,46688,2fb2fe2e0b0a98bc81b5e17c310b9258
25,oO0O0o,46661,ec3c97f84e58affc488b923c7516031b
26,infOvermind,46657,b755f17b06417ba5a3d620ee9d977817
27,Shimamu,46595,3ff6424b9cf45ba751128acb6e070dcd
28,fesRed,46587,4e03bf886ef46d940f12659f7c32cd31
29,HDovermind,46561,634aba297fd88110b933d98bd2d62469
30,Zerea,46421,aa9c27172627cd762a2ff74e31edea95
31,LolisMelody,46414,0febf8fd5665e6e9f907871c721b5b0e
32,BikeEle,46355,d274a6d601b98e64c1eb92e238ce4cd1
33,Laneve,46224,7098834ae04963862deb72cb7e29317c
34,innas,46149,eaa35fdc1903f1526c874ff38f50fb5c
35,Miku,46070,490833a83f7259a7a2d860506c07419f
36,AyumiSarah,46069,2d12f01e00fb9c487d3a2a8aaa284902
37,Elementshark,45992,f1524978073d72c0459db40d7b2f7983
38,KamiMomo,45930,25a4c7509581e614353b62857000eee9
39,AngelStar,45872,137f489f9bbb1b2371e0201462451e19
40,Elemania,45865,6f32710d02bc235fc9c68eb160848a43
41,Darny,45835,973e1160377d4da21b728f383a90ed90
42,Blightning,45792,d9e1614c3a097f0fa0475f2d0534a0ee
43,Scarboro,45742,a03ea868ac3bffcc6d80bca79309ab00
44,AngelaLoli,45727,f770529d84dbae2cbd83b59d5b33aa60
45,Yuhikari,45660,6d5662e85010c6c479f593a9ecc691b2
46,MiniBunny,45649,137f4394f76dae7c6d1a578e4a4ec8e2
47,SionHatsune,45578,706aebbbbfde98f11c3ccaa0d5c50fc6
48,Racky,45544,aab50f5c49d3e6cbe6390c043a07a0b1
49,Maoco,45540,f5c089d2c58f88d615f06d9a1e5c11ea
50,ElementDe,45534,6efa7f19176fb18c9aca0edfc6d99020
51,Allea,45501,25ca0f70f1c7560a5ccb41ce0b09f499
52,Rowlit,45354,e684d46c559975fb4fdf508fd7e8a698
53,Newcurrose,45330,8f0e8f3220d0b35664233b3603bda1e5
54,Notoriety,45264,b8ab6b33fded8bb5def5e6d694b1b026
55,Bextah,45256,05bcdf06067b177d7f89a59af9a9824c
56,ReMentalist,45196,0b23156af65c5180aa04f4fb0075d8a8
57,SisEle,45166,d53568a279cdcfdcd5b812356dee50fd
58,DearSanta,45165,9ada7a5c0d79ff299f632c35ac23fcf5
59,Ivris,45094,97b517386e592ea16c6020788837a28a
60,MeguminXY,45092,0d0e8d4da1f47c807f87cb00c41757a1
61,AoiAqua,44862,c077ae29a2394ac5a07a277fb2c7f4ea
62,xSentia,44767,3df185ee408fca35183c43dac04ab483
63,Hikaruchu,44671,2d2ad3f1533bf2c3e67b6a5e9607da53
64,Unwell,44626,6f137b9dcd8bbac64a6fcf0544ba7ee6
65,SnowAA,44475,f5e5afada567ca26675c2d029ded52a9
66,JVLarianthi,44471,78bac0924066de50ab91ca6f30e6105c
67,Personifier,44402,16a135fadc1c58487a3a0aa061409923
68,Squishmallos,44354,f946f8fee2f86d17c604640ffe6cea33
69,KiryuIRyS,44339,f901272915118f99c3ef199ddf275b03
70,LoyeH,44322,9042a55226b847b6584a9b9e37bc578b
71,TgYoshino,44292,a7718e002bca986adaeae62d862fff8d
72,TheresiaEst,44276,43eb7e484bc163109f58f5abca0328d4
73,BurningPump,44261,b429bec75d38c8403ff36c59e71247aa
74,Ebellia,44082,d11f7ef2945a166c65c85dbc02eed86f
75,Mappu,44068,e9fa0f95c3bfe9e8c97b0d9d60639e2b
76,BoomShaCaLaC,44061,f16c8670c0417db31e151c4ea00bb7a1
77,Kewra,44040,3b1156d687cdbad6a5639cef24807f98
78,xXseealXx,43971,ca5b534c4810cb7773fa4f514b7e5a72
79,BestLoli,43927,e74f88d07dfa563f5bdc1d601bbd306e
80,XiBaoZiMei,43817,063873b34dea19131de84a6724a5586a
81,MiraFenrir,43791,8156e7bc61b5e8279f3cd718e0e43265
82,Twilight,43774,59fc3eab04222abdb0f17efd9d92adf5
83,KanzakiKaori,43718,a1f85c8debd581116dc2c87478a790e7
84,Qeun,43621,2f2662164c198458f3c10b40b7cfc088
85,Chiiara,43615,68a2fa3497b10a5c5d578237eac5710d
86,Philomen,43519,3ac638eff77468bda3f2e1a5c334eee6
87,XiaoXiongTAT,43474,70421fce2bd8656cb01e4af48155a4f3
88,AlcinaLaby,43444,38ab6c3b3ee96e9bbf5da5d66d66493e
89,ShiroCoco,43329,4a37b0d0e4ae1e80747fa5c6117f2f9b
90,DicePudding,43282,0bad192370d6ed0edc0bc00f18e0cb2b
91,SmalRacconn,43205,968e05117e5ad9be7a8e54e41c350418
92,XXXELEXXX,43109,e8524ded10a6af2a977b2bfe292b5aca
93,SpamMoves,43093,921848c0555d89f11940cbd6ee7fdab2
94,Erinasen,43064,1b62e77f09e53f92af2b066da1f9044f
95,MakoMaya,43029,1f71ac18444a8ad19e92416506818a99
96,Enamorus,43010,da44de105d3aa2371c8418ebaf1632f3
97,leaderBaby,42903,2c4df12eaea37770c133310b646412ae
98,ArthurKi,42828,4f1aa800e895c655e329dfd47243a9de
99,RainbowBeast,42813,838c7a1c32e418d34fafa879b4b1d5a0
100,Nanzan,42793,9bdf361931f2986f03b8195c692527aa
101,MsElementMs,42792,d8b379af17fdcf1f2986d2d7c2dc0bfe
102,KoromoAmae,42757,567074e4482f1ad36d179fa7ff4a1578
103,UchihaObitoV,42740,70ab8eecf467fe8120d11f1acb9a09a2
104,ElementalDar,42666,aa6be0ab477f0c90b527716b9c05e48f
105,Desperdido,42587,2d7ed31f7710c2e0cd4e85901fa9e12b
106,HollowEarth,42432,91fbd33ef33d530821e2ac5d2f1e86c4
107,HellowooSS,42369,64d99fa319708a4bcf47ff1d7bb1bb46
108,HatsuneAM,42323,83c1c6f10e8049296c229cfe5cce2b1b
109,iamnotbeach,42293,ef90b4d3480ea377de8f3656a03ac63b
110,EpMinerva,42263,2649b97d00f3a9cbd3a2079ea0c9af3c
111,IanLink,42217,3eea338a7f85c08e82c4e1c5bf03c388
112,DrgonElement,42199,f222b9bdca902754948de0083b96dcbc
