No,IGN,Fame,charId
1,HoyoNahida,49623,66d6af7435faa9966451a874ea0f4e33
2,CaramelPudin,49406,837b4fd556835684091b78ed23b31f53
3,Dejavvuu,49379,f26695bb564f050a9741235ec0373bcb
4,GloryMage,49202,019e5e5c1e30629ad0b4fb21207731d1
5,frozeNrobert,49060,4bb6250d52835a73494be3234fbb747d
6,BoioB,49057,5fdeb308ff4d1eeb42f97bcd30404740
7,Kuklaillse,49032,14153b71c20e2f505d8ed6615ad504c1
8,seikiya,48898,4200de5fa65dddd91182ccc0e468bc33
9,ChickenBufff,48865,54d4551636e2657a09b6ddb1ef0d000a
10,TgMinamiya,48729,886cdfc17f6b4bea6dcc4b22bd7b023d
11,Hawaiibuffer,48621,09020a742177e8f499cd8882167d7deb
12,SYueNL,48513,3ca8d05249d1f3b8ffd355b324e3ebe5
13,HaruKylin,48386,fa82ae4399ecf175dc942e3eaf87c929
14,NoctuOrfei,48243,93b2d48067ccfd3f18cb65b7cd9dee93
15,Echomos,48113,19219c68ca72788751451a395b42c350
16,benzoic,48050,0f45a5a113c08a4be8a03bcaed71bdc5
17,LetsYana,47906,3e90627577bd239963d397e06994bda4
18,infHekate,47898,2533353ac844f322420ff5ee7f952f36
19,jlee22,47777,14abe290047eb08c67da323f5debbebd
20,Kwun38,47777,99e7ce7f55d6eb4a0b2eb3054884407e
21,jlee67,47697,100b98955da169bf4730126c2f32df7c
22,Seprendre,47662,92d9219c63d99525a4ed057146ca8093
23,HDhekate,47616,b341ef0407e606f1b9e9b351ab6864f3
24,Lting,47615,797f9a8ffd9a0bb302b1c5c63d8b1041
25,Hollis1999,47574,d39a4acf7e29e16a7646e8d1eb3cd9ba
26,ONahidaO,47533,6d01b7c9b5458bb5def27fb9c030726a
27,KofHekate,47500,b9e5fbda0e5cef674ea6861be9391468
28,XinXue,47393,f18e5f5c20026a3eada0b2664113d9ba
29,JomzL,47362,b648074cb030087f27a34699cf823551
30,TheHornyLoli,47235,0afb4e4b02bbddfe6268eef8da12b9ef
31,BuchiTuTu,47216,d05e066eeecba6dfecc0961fdcb03522
32,xLinon,47194,e1bec70cd29de9b1cd341bddf21d574d
33,Limoniumdoll,47160,4041040c4842b13827b6bcb263b0575a
34,TwoMoonRed33,47126,c8c43aea1b38bcb7aaa14db64e086190
35,leadercute,47121,fe5b0ee7d51dd993b89a83b799f26477
36,Sofami,47089,c49534fe225a96d9685406461a111a07
37,BroomSquares,47052,61925ba60e055daf8e3ad17ab936fb2c
38,Blazake,47004,7454ab4e04af6607de1bfbb39fadd8c0
39,DaMuDemeter,46997,b9f3a5404c7a0a9eb49ea468f0900cf3
40,MomoiAiri,46994,8c2679b5b2c6e377fe2e6cef4e066e0b
41,Sintre,46991,9728f566d1d14bf3a2e7f5ac95859e7d
42,DarKAngeLxz,46912,5789811327f85d6effc88e2d5c87d0b2
43,EnchantersD,46896,66424529331e652da2b2f9eb9f0b17a0
44,Myakan,46882,6f4e71db26d84e60a2663b86a859b356
45,FairyLiar,46863,01d323c25565f5eabc3758e86d6fc773
46,Elleynn,46833,c3e9eecaf219f4ec5ea7658e9a29b66f
47,TinyfatSheep,46811,d58294e9ca84bd98441130273c245f37
48,Iphigenie,46771,effbc9ede31e9538618d903b79352f48
49,MilkSoulBB,46759,80274cd3ebfa40d4a59e1ec4e693290f
50,wowWhale,46757,fe717d20bbe5d682976b18ea997c9c66
51,babydong24,46741,b9ff5cbc5bf854ce5c1e02fcf4115be9
52,ThRoneAs,46666,12800a6f7f464abfba903f816c211149
53,HDhekateII,46653,e79b69c5fdc3e5af32038721e7fdd485
54,InServatrois,46622,5b67de67218e24d667aef1a9fae73a5b
55,SisLoliDoll,46543,84309d7ae2caf5f2d7784e78676a415c
56,EnchantFuta,46534,f0c87072f3774dac1bd39b78a3c0992c
57,Enshante,46533,5b0fb86e23d2ac977accee85070e86d3
58,AnyaHira,46520,cb12504846c64e476cba656e350c0499
59,Konyappi,46504,5e6ae6897b2f0a745a2b8a68700fb0d0
60,SpookySlime,46485,879e0e793cfee2c8de9af53e14e63a3c
61,AramaEnchan,46478,fce0e026114fed52bc253d2103ec9ed9
62,MissAmane,46463,3e8c5e507e7c49664b8924de117f8061
63,SleepyPuma,46438,a141e1ea60c54be1a06e5f5d8e771dd8
64,BALENCIA9A,46419,53f3cb1c35f6fb4a71d48bef2d30b82f
65,EnchantreKK,46419,d01e2a8b7dcb2a90163f14b72ff1638a
66,LoliQon,46402,cd3459c1e129922e67b6ed65c70656c6
67,NinGyuouChan,46401,d1d6094d9d67964921afb174b8a9155e
68,DiooP,46387,c6ad0896b75211796e675f50cf16cc56
69,FutaEnchant,46332,29203915a9574adec69e49123bb5a6e7
70,Chinfinity,46328,4cc73a96a9eaead678b2ffd409347bb6
71,EmoBuffer,46320,8010a288eefdc3b187e6e4dcb8647624
72,oXScholarXo,46304,948010b691658f5979479076da93155c
73,GGwellplay,46303,8da11320c510ee8ff77079f0f9ffbe23
74,HamBenChau,46238,f0a9c16694ccc65f819d8e3e9cb13115
75,AcupBeauty,46237,00341f7038ef90026cd30bf9259f23ad
76,Papichan,46233,079302c0fa7f303fe2a662a4877d0bbd
77,Happppppy,46195,1b89b27320e83e33d8d915dc2cccc3eb
78,LoliPrPrr,46185,9d17cf0d3177c36d9e5789e71d179635
79,YuuYui,46113,a82f8dc51bbfa6d32903ffbad3cbfb93
80,AnneLoliDoll,46075,6451cefa25d3b0c5cfb460c2ade029db
81,FubukiYuki,46067,f2187c4728a1b5aba3d6f658c2aa8cb0
82,HatsuneShion,46057,e7f5fec71bcda5feda961956e61bfddf
83,Rainboooow,46046,ba3ee8ad6e4bb6487a73c42e05933505
84,ScaredyBear,46035,b0f54f4dc17d7d93c02df76a9eb3fcb3
85,Sakurinha,46031,ef273af05412cf7ca458a7e3b92292a7
86,HakuBuffer,46018,bda8345c902e0a1f3e9099f73e5617aa
87,UmiNoKoi,45995,ad88f3edc34920cf899ba9fb3c555ec9
88,PhoPhiPhap,45982,dfba8e8563dc148c19b196b20eb4f4b4
89,MissHebe,45978,6ba7cf69a8d5973ea8a43174902a2be2
90,ScarletBloom,45972,2b3dd0ce760687d8d0c1f245bd8f3316
91,3a6sec2long,45960,78f9c7f840fdbb0c4bade65db8b38c26
92,LoveYou3000,45944,7dcc718e7ffd6f0d2ffb7943f21448f0
93,Glaucophane,45943,a627c098996ec31cd9f724264da58489
94,ArtLoliNai,45940,11ef56353bc470e3946539aac4857782
95,DiceOnly4You,45940,a01b3d2064724faa3ec8d9cd138bc542
96,SasaSaki,45929,ad26a4ce86d07a9c9575cc7d113593e0
97,DommeLoli,45926,f4b156884e02d7385961b64ed730b16d
98,TeamKillerM,45918,255b53c674a849fac32fd930bf203a3f
99,XEnchanterX,45912,84184aeca05966800715de9a7e964329
100,36DHekate,45900,006763793122bf96c06d8c18517f8217
101,QueenSutela,45894,7645efef15a1b47fa1c9b8b9a15da216
102,Komazyo,45888,4ac2a0ab74150f3731c0bddd224768ed
103,Anotherdoll,45860,58e6526c7a6aa6d85b4ba7ec33304732
104,WYTibbers,45860,d7ca56b4ff87db806c0734fa6fb121f5
105,LH_Enchant,45856,d50867e0d516bb75a12ef98c788e6f70
106,SSSHaoSSS,45850,7a12807bab6fd370c8e631599130f9ca
107,LsFRC,45814,c9938a043d8dfe25ae42379ce9c8e6cb
108,MAPUMA,45795,f1e0b2ecdce4fbacbd0a3d9e4a9a0ba8
109,Interfaced,45772,d17e5d99e286a69233f9290dbf9186e5
110,Amphoria,45757,942584016ce3632b3f0dc3c9fbd4ab72
111,Eglorin,45757,fc97ba9016743345e088eeb7f29a594a
112,OuOa,45752,6792f966c6fdf7e08e0783c9fd50b2ce
113,LIKE694,45739,8816baf3ce6d54face60f8f81f51e7cb
114,ArthurQueen,45736,772534579198582cbe96af2688ce3bec
115,Peachboom9,45713,cedf37c2671b604e0b0a4b769cd33b21
116,Nadiye,45713,43a13a8679bc8f9acc0546e0d67bd5dc
117,Haizakura,45711,a22e56ece908ac1698f8912c70a245cb
118,LiloPelekai,45702,4f7291c622cf03e6ec1cf8e6e0bafab6
119,Darkmilkyy,45696,faa238fa08d01fb97259ab2a48034907
120,uuki,45681,c3fc939c259c7f121484eee3e745173e
121,pofat,45650,79edf63c8db06c72e9e3a343fe82f8cc
122,LoliFuta,45636,d58df41886d6ec60c53a37c95ce6783f
123,Blackenie,45631,ef86d6779c737100c34cc3364bd276aa
124,CasterMagica,45607,26aaae76f0aabe542c9adc53bb9583b3
125,Hecaffie,45602,7fd17eae5001871b2d0e89f7715f967b
126,70000000gold,45589,222172906802f6e8293fe0e23a8b8050
127,HapppyAnnie,45570,cd55084018d69009d01b69025f2be3f7
128,Kitzie,45566,a8953339149399db2dbc59a124b9735e
129,Xsuber,45551,ff27e1a0304411ebd4881dca0fd6a9fc
130,Astrocyte,45544,98e4df0080a1cce53822218287fa021c
131,Neeshika,45514,0cdc3f45125c9b907203d0e372da8252
132,HydraRita,45509,144ee60b179ff629c9f4205697d7995e
133,Bigmilksup,45491,1b0ed8028ea75eb3cb6fe5d6f53153e1
134,AliceMagtrod,45485,7521aee2da81f73848adaaea18f9d33b
135,SheWeGo,45484,45c5fe56f2a645e5e59aa69750a7852b
136,ilist,45478,98b761cb0fc98ec9d568bcf640232abd
137,Lalakoya,45468,fbafc39c72a80d3c39233f086d0277df
138,BBuo,45463,74e1e797619aa04035c30d7d896e95f9
139,xAnnabella,45458,667534a519d1396c7a3a7c7fcd5034d5
140,nO0On,45445,34d01393f048fd85b3227403e74aefc8
141,Puppeteeeeer,45434,fc4008496e432b163fa42899fded5fbb
142,[XuXin],45433,eaf8dd3f202dc2e402bd6ee2d371f50d
143,Bwaaka,45429,389031ca9c9b9bcb0a2e0d3135781a0e
144,Fiona,45429,a89d8230cd4fa225097a1a9f8ba7d1d8
145,HappyAnnie2,45422,c2816fe166b6b07c644f01c97dee00f3
146,Meeruni,45416,410807f42724921c24a6333725872290
147,00P00,45386,999f643d9be89eccdcad34a02fdb010d
148,FCpofat,45385,375bbe5d0e89f6f65ce4af209bada1a7
149,MomoMilkLoli,45381,a84771a6c64b53afdcd110ca50b8e557
150,XiaoLeTian,45370,8a4703779cd1fe97c2457dea54ceeee1
151,PhoHopPhap,45369,9cd01fbd2e77b706636a76543bdbf923
152,nailuo12,45340,30724167d3ca6c7919da122d5a0f594c
153,Hekablaze,45338,cce57231d4142b426d79d9b930c3bba4
154,ylyyk,45316,dcd66805ba0f511d0ac8b0e1fc06f2a3
155,Mesari,45315,48e08a74201b19f67529053220e63bb7
156,MDhekate,45301,34fbde9693289d081d76e4b18fe9655b
157,GatLoli,45295,361431c14710c45702d8338909611624
158,Morrigaan,45294,568d54e66b4c6009ab90ee6c9e1118f9
159,lalalaqqq,45284,0937e19d7e4790fbea5f3a179a06e6a2
160,Heliabel,45250,caa561834662132e4df184f64d2a0d9d
161,YaHekate,45245,518c2b5cb19a9e9e2189b710650989c7
162,Darkstarysky,45245,257c76c4cd080c112e3bd306c1a86680
163,KyaroRushi,45232,280d45ac71424df9bdaad0b7776a59ac
164,Mofus,45230,280ead3602d3f9a642582d2c781a5007
165,Muzuzu,45226,2a79f7c4f0724cd663f7edf6573786ad
166,mlist,45218,c339fcbdc835a394ec4125e37e2b2ae6
167,GodOfMine13,45192,84af36be94505e1aca1c845ccde6e898
168,Bababobo9,45189,50a2fda67a0eb086afad5f95269e24fb
169,NovaTheLucia,45183,33e7f64c1ae945b25de46d49df9d62ea
170,PeachBloom,45172,6543809557b1d2cd59d191838684f9af
171,iPickGoons,45170,3de509f871b442159a947775d15324fb
172,RubyCircles,45168,f229f481d0b2db2bf147a867b761b5dc
173,DRSader2,45168,8b2b197f08c2b6a0e9770058c4c6fd64
174,GothMesugaki,45161,262b91030592a39af67c7c1435750909
175,Caroy,45161,51a5e97d2e5aa82afc807ad087965084
176,JustForMilk,45131,3a5851034427be5f0e60f23251c93843
177,HysteriaAnne,45118,2acc052fd09c282f171eb3ed42cd6edf
178,XXXINXXX,45116,4fff9179f11cede8c76854c93e2d217d
179,Didodo,45110,01351adc3d0fda17315d09b8cd51ef64
180,Elakate,45094,8b5777d23d23698eeb582aa1fcc093ce
181,FavouriteP,45086,dd1befe36c6d6f730f7f88799aeda4bc
182,ImSuji,45080,320cbbaf7904144c6394f93af9f153f3
183,CanNotShoot,45061,db8249488adfeedce4faa1017688f54e
184,EsternDump,45056,ee365930b292ff170faf2c8a10840597
185,luoliKing,45043,fb9bff60bc31d9ed3121cd0b0223f011
186,JinMeiMei,45041,e1026e7ecd4d0800c30c4fb8c813520d
187,PuppyMage,45036,ada4446ddbcedb2cab76e59cd800bbdf
188,Coffret,45035,9c2c79af058dc6e73a72c9a2e8f7814f
189,CKannaKamui,45027,28e951148d0d969e973c84addd129e0e
190,FarstyMo,45023,be7ad16336e86341cdb41f904d3db026
191,EventPowered,45019,523757e0807954a51c1d01e60d3d48b8
192,Shukate,45013,176e5c49aad02f212f800b0c53801233
193,jjajangbokki,45012,cb7bc2943198a06e9452d2d7033cd9e7
194,DemonDoll,45008,8c0f7b091c3ebba4853be8aa7cf5968e
195,FantasyBear,45008,c7372db91c2b609030ee6929494f4e96
196,LeiLoli,45006,9424786f9c3cafbe68290a7785c86316
197,TressaRuby,45004,bd53aab3a8f361afe7361c2c87b19baa
198,Buuuuuuu,44982,bb1847682975a21fd3eaf11b7fc59a23
199,LaAthena,44973,dbd03d08552a9e10b0fd8e27222c1266
200,CasterBai,44968,06b742cf0742c47ef66da97d7b59b498
