No,IGN,Fame,charId
1,Summoner6666,49495,204ca5c9e09d241dddeccc4b48b47329
2,EliseRuby,49272,10c780c35f6bcf858bc0030ffe8fa7fa
3,MasterKylin,49151,4eb642577af93d9d5683592ce403c4af
4,Asemer,48592,688202b1a63380afef0253bc2037aed1
5,HaruOvO,48437,c56e9b2534309636e062f27a9685aa12
6,FrozRobert,48240,3e833d9737e57a49d80b6a0c05a147d1
7,leadersweet,47796,2a86cc7dcd8a72ae81421bfb24bcfbc4
8,Kabechan227,47609,a65159ba18b101d966fb236328b52e64
9,xenal,47527,d7a983db6ff9800e298fb1363c4f7760
10,GpuDestroyer,47133,8f4103def48aa8dd6a0f74be21069c9f
11,DarKAngeLEP,47091,1465a53e410d44e4bfb77392b690c91a
12,Patoo,47073,d850e90daab546935a5a54ddfed1e3c2
13,OyamaMahiro,46939,dba1df5747dbe55c745a8da615197a87
14,Meeruo,46858,56c346b90293cab3351aff87bf852192
15,iownu142,46832,22324aa04d7f249e5d1797a23221a40c
16,SummuS,46773,d632d5258fd3ad548f3787cc2df5ecb2
17,LilirucaArde,46681,0e24f36a9570578997144daea9ca3f88
18,MewKiller,46598,f757e6800f4be7a60996547aac497a88
19,SSummoner66,46471,8f83f0f9081b77d9929e2a9d13147633
20,fesBlue,46432,663127afa106b3b0d9c0295719e41378
21,LateEve,46386,f3e67ffb6586cb2008479c33c30798c2
22,No1EclipseNA,46264,61bae8bc586955121e750c5224b06f35
23,Rosara,46237,9afd6fc8f804f8b65f36df3c0c10aec7
24,AzumaSeren,46228,f42813c83af15162e3c1d31a3272311b
25,ClUbQuEen,46194,6cae77e579611e75ca94f4b874d2bc79
26,Meng,46170,275229f44bb9dfd597f25e189ac7aebe
27,Diopqrstuv,46169,46a77dfee56f41f44d1bff25c4223510
28,L1ghtWalker,46093,2812fd1bdfccc6ebe4e003f9ef06275a
29,kkkkkkkkkkke,46054,76c8731a665e5248916e5139b579d5fa
30,Zarnox,46021,7789222a4094b4fc481c840c1990e08e
31,TanWanLuKe,46009,cdc3b5fc5e43acb78a582bbd0fffedb9
32,HatsuneSaki,45987,2b157ba4ae2094c09c29e2bd9d22612b
33,OOON,45883,7da87e0861ed4dc2293ad15f7215c87e
34,GothicWaltz,45835,fba0e2063158bcfddac0136988a85e07
35,diduan,45765,8de6d8aedb5ccf14cc75c822b419f21e
36,AoiSummoner,45687,46eccef28d2a9ab244a1d79793ad80ed
37,HimeLunar,45669,2f683f52f7b7617fd414e984e846dc0c
38,anjed,45530,9379d460f1b38413b453f558ae735d17
39,VanillaCream,45467,474517d11912de7590cde699d101a92b
40,RowletQueen,45460,f9a007cef83ca881a3580832296fa6ca
41,OnAllFours,45456,92e5abcd6a71c12cc80b52b7d41370a7
42,Maushold,45345,da3ea743638f00671f0bb8c4843a83a9
43,Sothis,45299,23cdc4a872307f616c8b86ac0b0d4e10
44,MapuQQ,45260,14a9d9fefcc838bcbf33441115bef44f
45,popopofat,45209,1977c06b8fb4fcacab2ce5503f5c79e4
46,lMoooonl,45156,490e49822a0a179d6360dd652d8486c9
47,Cues,45147,5bf99637bad4f39c0d57d122fc305524
48,WhiteSquares,45057,2b09d03a15145e2fd3230235fbee9d0d
49,MOMOKOD,45032,a3ccf589a2786804754f9feb8a76b051
50,Aooov,45013,9bcc15098afb2786879304288e69f65b
51,Veylin,44958,fa6b98ae2a3ab0ac6781f01dd9e4062e
52,HatsuneSakii,44934,d159fea6ae4e1f4a6725733f0967f176
53,XiaoXinGan,44863,726dab661dee27985e966750c157b394
54,Annehitra,44853,c4215ded976401b99f2b0319d44130cf
55,OoLunaroO,44814,6b4ec3631523673c21207bff7f8bb9ec
56,Yorunojoo,44753,3708243aa5835f6c6bb4969418eaf4ab
57,BlueBerryZH,44733,935dd5ab35684384a2a43fe1d8026912
58,CodeBishi,44704,81820d00e027c19ef414986bec47deaf
59,BurningSpiri,44625,93d72ef8fe11df69b3fb1c50865b5c32
60,NamiSwan64,44571,3c1a11311b32d1caf7482874c5a5aa93
61,Clanned,44553,9053b488062ffa41a59b1b9663c09bda
62,SalaryCuck,44509,0e627195d22e5c08b400260fca4e1f1b
63,Evannora,44421,a36fb471d6721b8abc426111da7567d8
64,TalkToYou,44396,cc469a44b98bf248d2d67a4d49fbcd55
65,SuperCookW12,44387,bcb42f67ea144021becb89b98502c014
66,Henteikan,44346,ac10f6a809b40fad38f723f668af9a3f
67,Evenigen,44300,bd0dd44b2295a72e613a5979100ee769
68,Bikesummoner,44297,ed329dee5875bda653755ea9e590e9c6
69,160pangzi,44211,a1079c02bcf778ecb759ce6f7c0b13eb
70,infEclipse,44198,6dad5b27cbc6ea31e9bbded54e862f49
71,RainSpirit,44169,d85a4f9584cc374f7ccd1d38b73bbc30
72,SweaTCute,44118,4f814e35098e6280e8f392bbdd52947c
73,Alcal,44096,60a9253bad83a5f1e1a42fb7ce19a990
74,MyCPUburning,44045,a673555b25f96c9aef274875e28c53e3
75,LucifinilEC,44039,4f61acf8b99a19ffa280e16ea80af67b
76,N1coniconi,44008,6d6f8625138d350a03c7eaa284c4f73b
77,ImStill5972,43915,ad65552ae077c8ebb4d4b880b0f105c7
78,LoliHenBang,43903,a7ecd012378c8313700b79a5861666b8
79,ChiXiBaoZi,43888,c15003ed8b4712bd588679a424283368
80,LunarBug,43865,5579f3585c92edf6f4b12777a7c15247
81,SyutenDoji,43764,6b58b7417a53d7f84d8d79bdd448b114
82,YaEclipse,43715,578934baeaf4ec6e2454696ed8ed04eb
83,InvaderBecky,43628,d3342ed9b11135abe7b8be02cb7bb2e4
84,Aloneee,43625,7cc1ef95868f25f79f6a51f05b4bc745
85,Bohong,43613,7a39ec6decf062bc709fe6947a8a4b78
86,SHIDE6,43601,2449a6512ed43a91654d407139cb0ef0
87,AFKALLDAY,43597,0a1dc053a9f9e91e8604430f2f0e4072
88,MoonHua2,43579,2d0dd77713b8752a83a9e93594cdf8be
89,Astarina,43578,07a7d8f654fb7bb28b6e37149fad1fb6
90,FrameDropper,43576,fbc1e561a8ab1823b19fb032cf7e25a3
91,Neyumi,43482,d0390f569c84a201ab38953d72684eb7
92,SummonLambo,43427,5d3e71d24da171486eaf77b75b17f503
93,LoliFemdom,43414,e924c1d1632e4717d55409c890dd89c8
94,maybeblob,43396,9bcea53a65dff9bfe88adb04b2eb3708
95,FreedomLabor,43391,3d772ff73513b5ad15a14c8843264571
96,Re1ko,43361,8ecbf672298d3a0fb8e649dc73e1d202
97,Murker,43347,855c7cf2190742531f1d0cd9eae61e7c
98,Smellis,43327,22dcdfe800eba4095453c080dafb169e
99,InvokerPipi,43310,5890a4effbffb46403481aa320b8f7b3
100,Circe`,43283,e0b41ee7bc1612882a14b67a53f541bf
101,Kurisu4ever,43280,2a8d56c7148889c707d455cf725734b7
102,Caryolis,43172,f808fe323fc67a446a7135367f8befe4
103,D1ctator,43153,bd68616f101f022066b4be70c536433f
104,baowoaini,43143,60b44522b83174880ac8588b789e033a
105,Yumasa,43089,10e4b376254551e8363b32d7e86ff2a3
106,Samby,43075,706a69becbe752064748f28e89e3f014
107,GodDamnEvil,42968,2fd0ff552cdee0e95bfa55ce1b73d583
108,Hababoba,42919,54df0a582e34fd2aefb6e8e538700bb7
109,MoonSum,42908,88279d733a80802452e32e44ea510c45
110,Gouleibaby,42826,b83094ecadadc4fad7930378789a9cb7
111,EHAiushtha,42792,a4115a0267e9b53be406631ecd5e5547
112,OpheliaGrand,42781,d8daaf83fa073187a01412230b195c31
113,STiPPT,42736,d010467806a366685487305e8bc8e91d
114,LLhunter,42703,270539c1f6c5b3ed36319ca9242f8c89
115,RulerHyoya,42678,5dcd0602d4cb13138a6ed5bcde4e5836
116,Personifire,42641,bbcf15c8047fe6e1c19ebd9cd9060e21
117,FellatiYoumu,42622,f7e3fd016f5f58f45f4016051cf1a5de
118,SunarSun,42616,af66fba2ba43c4f9814e53b95d03f9aa
119,TheSummoning,42505,084d9f3bd068037e88277c731cb7e73c
120,HiredGoons,42492,17006409cbc3ad522c591e46984c630b
121,Ginkoo,42404,f5d2b9c42d5638a083077814b8512d21
122,GuangPata,42398,2e8cb3739ab74a6c89230d9f7e4068e7
123,LoliconKyo,42395,1c976ad0ae52c08c21316911b21a9a55
124,maybedog,42361,08895ffce92724a6d3a3ddb250109195
125,Nemophyla,42358,db763e37d7de8da657ba74814433a525
126,LunarPengu,42329,b053d6d8c8ed17e2e1689de7f0ea149b
127,SummonSexy,42321,90c6bdb6a768b0c67ce8bb637d5098ea
128,Eclypses,42312,2a32472b7d68d77ef3f3c45715afb328
129,Cornfioro,42281,e404bbbb91ffdfa265632fe10cd2463a
130,MisawaMaho,42267,069592486e3634f7dd5db722f6e1a17d
131,SummerBar,42265,45cb75904105f1b506ed093b18f1c0a5
132,LazyModeFarm,42264,aec98d978f9ab4392f0db7bf2ec1a501
133,MoonCherry95,42248,719c7521d68dd5f08d9a0dd345360577
134,cuteygrill,42241,620306fb089d4773048d8b1b0b9563d0
135,ZhuaLongGen,42220,09e51dc9e9c40806acc7e87ff8b4e057
136,BYSNDM,42177,5e74d568f8298175c7b61e10a4f1794a
137,QsummonerQ,42101,1625760ee36b2b634b102f45ceeff079
138,DogePUIPUI,42096,0d856e2569097b6a804c36718527fdb4
139,MissWitch,42041,be69910f9032351b73c0d59b7b43488c
140,AinzJosee,41957,29775a66afd7cfe6830a6aa46c68a20b
141,FabledPG,41938,2328efd9d537e52871f891ba0caddf60
142,Gold-Miner,41923,0caa3dfb1a3e6ae6cad7d24c81d82536
143,LunaSV,41888,615f54a466c8e5961af907599ebb440c
144,Sun5KongZH,41875,ad141c039e8477442980785ad7eb679d
145,Aphrod1teA,41868,08aa85a7ebc34593f1415a2c25656c89
146,SummonerLise,41862,015b8b54e6901154ef3a55c01d7ebb7a
147,AsoulAva,41857,f7df35810b2219d78fba6c91639dd277
148,snafuPop,41819,edce87e9fb672958aa21e4d48f2332b1
149,ClumsyFergie,41802,f4e89cb2e5404997cd5b9a929e1d34e1
150,RagingPepper,41765,1bb0725e1f0cd584d101c70d6a952bb8
151,Zuihoe,41765,f70ca8a58988cd5f2af6a84df57a906c
152,Miss.Mulan,41754,665b9844786a4ec5971b6bcaeedad4bf
153,Yorha6B,41748,d6d51fd9043214afdada659bef001469
154,GGgirl11,41631,86771803f80d2273c098355bc2ede184
155,Justeco,41606,d8955351fba43fc5b73172c284765536
156,Susunie,41602,1fb784ad2ff0bb60bd20abbbfd1fa3b9
157,1RAVEN1,41563,d49285fad541185f580a320b53577f1c
158,Hanafia,41560,e2853c1c1e31d5ce5a9e43f6aa619df0
159,Hereticc,41558,f517bd4b7ebd31f398cea461dcc35c6d
160,Hanabie,41550,79b7ff9ae2e33545737a7e475da0d6d3
161,LagGen420,41549,8100a415c3ff3941e844733fb81244d2
162,AramaSumm,41514,28ad05a5e1da59a770ed95b43dcdbd46
163,WashMeowFace,41486,dfbd1474918cae4508660a91b6ebc299
164,SumiWitchie,41476,ce98f2c483b1e1b4e73b9703080b78c1
165,Eclipse0v0,41471,b6710054ec4db3054ce5bad02f949ad6
166,Epilogue,41439,1da9448c177af03b6e56bef03cd4bdbf
167,PickingStar,41397,fcdeee1da0da31f2e77ac419b324be90
168,OrganicLube,41385,d75dc8ffcfa137416de5271da4cbf304
169,SummyAnne,41369,e3aa84611a248aacf5541df34fe02c6e
170,-K3V-Noita,41270,1f559df0502d83ce4a5ce9fd829cea92
171,Setai,41248,60ffd700e93f4aac2f1b7131679c5fa4
172,t2spam142,41248,5b5e40e20cb80af85d682589634dafff
173,ArthurEclips,41235,991b21f8c29600c10e7490bbc68057cd
174,LOLbearMEW,41218,167b191db170576dd53b4762b3e6514f
175,Jiskirra,41188,c10d39dfe222122a9e377a8abc62f0c2
176,BearSummon,41186,0ace7c47eb9419400e15177689f9d0e2
177,lajiyouxio,41148,775291d7bf17d6e1475b8dd842adab6e
178,kakamakaES,41143,cb0bbac1ed39ec01f3b1ef0b98fea2f0
179,Amassed,41134,c4f33a35f565dae57bc0864a5dc977e7
180,CorteLunar,41108,2fc64d43593a39ece9c1ed0c48da203d
181,KyokaSuigets,41092,dee44637186b4cfcb45a0d71848bbdde
182,NIUZIBIGGIE,41069,b133be1f2892ba28c002e9463b8b65b2
183,Sum_,41057,0565ab8f8870c8d3ec95066bddce7f3b
184,HomelessNEET,41022,8425cc93d538958533279ad062300a5b
185,Patalion,41002,59ff6681587b48658d465cfd1b72fecd
186,WheeImASummy,40985,db404485a7a8f7ff3f86efa979c2835b
187,halfackee,40967,77ff2a53ebaf1a44e13a26ae4f92aaed
188,PyrosAkane,40922,040f38233317f512ee24cce437640386
189,Ldhn,40918,b390f3264a61fcbd604db549543d1eca
190,DontNeedFig,40886,12e3cc7008ff1162f712f7fa1c0c201a
191,Pillip,40883,9c0afb5ead954af263a5f5e38eecc138
192,notsumVmoner,40871,497ce7be6582a1167770b98f7e65e425
193,gugukaka,40864,f357bff5035f96cf303449afe7e67ca1
194,sGraydees,40863,f26f5dce0a4ccdca2c5a2934328b3ff5
195,Rinakemi,40857,a6ee1479ce8babb4ec59b6c2a5b3be38
196,KuroGemini,40838,92ad2ce5f52de26eff46a14745fe3a15
197,Havelstone,40698,b587e159fbe6e6e04db40a8aaaa38f60
198,AdamSmasher,40637,12e28aec113739a507fd998aa774edf3
