No,IGN,Fame,charId
1,RenoWitch,49547,b35da24d8f7e1cb7b67cfe6596bbe817
2,LittleKylin,49439,34af2d7d2d4f29442dda8dee8e4fe133
3,GenniewiZz,49096,3276ad4a576b9d8d64dc2fe2b4e8a05f
4,AnyaForgerr,48909,77454e9c59bd04e566f9d00604a83e55
5,Marple,48859,a2f9c7446d78c302d8df824bd7f8edac
6,frozNrobert,48588,ea8ff6e4adf2334c579f2db16764c1e2
7,Tr1ckOrTreat,48535,7da716f8cb897f0d2bab6fedfcf35bdb
8,Sikrena,48401,9da6def252b114f78b3b794427c93080
9,Naome,48061,b5b11c973b903e231ba177b9dada1ac3
10,MrBentley,47921,249150a72b91a6c88a34ea368b29abe2
11,Eltunm,47752,7de42817c186ef72ec45c6ebeebffe48
12,snoworange,47686,df21995fa0455c36ec6ad303374e353e
13,KatouMegumi,47640,9ebdd335df032eaa93db21691c4f3ca3
14,Fizzleebang,47539,2772a312b1633c330f027620f0c61121
15,MinakoAino,47448,ca53cb1613a0768b1efe598ce29f60ef
16,JuJubaia,47384,7096c46eab47ffd638bae52f3d397df6
17,BloomingBust,47157,a6cdf0a6c2ad46ba5ecdc966ee8408b5
18,YukiFubuki,47087,a2edd686b5baca8ac0c8a1e3b522808d
19,Play9me,47045,1ffeeb53d266b294ab6515202b9ac1ae
20,LickmyFrog,47035,ae0e9906acf8ac77cb70e69cbce55b9d
21,ChickenWitch,47022,a4ae53502f794c8a0b98336497e4b531
22,Amami-Haruka,46975,2dca05ab1be2d2e6bee1e455a48ce007
23,WitchMos,46943,ee8e1e91de49c6f9e632eb4867d4bd3d
24,PowerTower,46866,698e980566de6045df064cf81b58e703
25,SoleilPetite,46853,ba7cfd906eafcd9cd1e20b48491c30c1
26,Youmu,46787,3140dea920cf82c4aca55b12f02544da
27,TheWorldTree,46738,eee0fe724556ca977e0236ff3493627a
28,Csyday,46704,01437e37701dacd49dbea5ac0bad28c1
29,RowletWitch,46681,4e57770ad0f0d63bb936b82dd7eb7116
30,HoyoKlee,46668,2a8401152aa7f1be46bad46bdf6700b5
31,WheeImAWitch,46657,d5200c656f3d99bfc3917b4a071b6643
32,Millionmirai,46651,915c7ee7c690761b98aa20dd6024cd45
33,ExtraFlavor,46573,e7689a171e2f34b2ae571a280f9b80fb
34,AoiLolita,46508,26198d30a84d5146a7c070f054a6d84b
35,Bucky,46469,74941d8761aed5f95c74d6b3773ff43a
36,Rulinro,46437,cb03c060dd12642b587a788958b08f31
37,Meeruichi,46426,1ce21e61af3928dd2227d89f1fe30c86
38,jinggaizi,46413,8348bcbc56f1470832c214f4e585e657
39,SKaLaTe,46354,9d332d72007757396e4a2c51b6963a86
40,WAprilW,46347,423f0643c658f9b449652c8a0481f67b
41,JVLadalynn,46340,f6b0471f0d25475c4ccb27f7ea1b6b17
42,infGeniewiz,46270,3d48672f122174b7f8e5c0dfae1a659c
43,Melphie,46237,2b143be3636cf7e05656176a01f5d9f1
44,BrightDark,46176,38cd165274d41d6bef579d49150b8319
45,Initia,46127,014e6f5f1e0e84c8e87c5f62e6198fd7
46,lMeguminl,46105,c53695dec87bf9c56021e16d9c0578a9
47,MalfestBroom,46100,6c09da0181cf477828df572ed6a2ba41
48,MamixTomoe,46071,9aea8e4e9cc40f26601151526088748a
49,Jane,46059,4f932333730d181f2fed3d0475edc53b
50,atio,46030,25e88a0763400d2292a989d2ee156713
51,FalzGemini,46023,1d58cc4f153103422388bdb671ecc561
52,zMetallia,45980,821b204414c7157835199601f65f8d6a
53,Affable,45962,60eb8fe393589fedbc5ff589b47f0b92
54,kinokooo,45960,2958cfd1090ee50f27eb746c9dafc971
55,NiMaNeNe,45952,0a8ac32fd9fa6c7e6f0479ed61997b51
56,NanashiMumei,45917,5b2984d46d60f143e28dddffa66ddbdd
57,HatsuneNeru,45833,0bf1d6214e2540d5fcbd307e4ad0040b
58,MoonHua1,45825,862e54ba0dce3094158058038addab44
59,SisGenie,45770,3d86de517d1533ab4fb35f3462351902
60,Allexie,45733,8f03f7b1758d6deb334df255c246c7ff
61,Himawaricyan,45647,08b329f53d26d4239618482f0332ef2c
62,Princess,45559,3d9af6df04f26716375a121e07ad29d2
63,Neo:Witch,45520,1b8e4f4ad7a6744cff7eb90b13027b4f
64,Xiaonangua,45504,4cbb2102a3908c391d0049b0084317d4
65,DaBang,45479,b9d0daed9626d17ecfa3cf4e748fd261
66,Tr0ngSang,45472,75d99dde513913642e772bf741587b0a
67,Death&coco,45404,eec2627934691c0a47adacc4f22d75b4
68,Shackleton,45391,a30b80cdce117a2e8aceaffc755b5388
69,ShanNuo,45342,d826e216693b41023c4294f61b8986f9
70,ArthurBlade,45318,812eef84985379fc5758885c78a65778
71,AceMagical,45208,598ab2ae4b66c01a36647dd73ecd4d0b
72,Duang5,45205,e0798f00eee9ab338d8574679678deb5
73,Posmallfat,45166,d01a9be3884c58829258c1030d21e7cb
74,SayuRingo,45156,bd128496334166e2d24a6124172b0728
75,Fake0IU0fan,45151,8104bcb35347c4a34d23a5862402ba5f
76,Theresaa,45139,133fb288b44a902f7413485329de1225
77,Serifa,45121,743e3d9332016a16c9ccbb96c5fb41e5
78,Dps0021,45120,4434441b7a8e8c80bdd3b6087ac446af
79,Broomerr,45035,d4b119a483d7fd718c91095f62ef13f5
80,ScarletEcho,44996,c7ef029d280d6e1b8d642a728df837c6
81,RFFWitch,44970,a4497d6bd2ec1359c7a0f1251bd57ceb
82,Geniewwiz,44969,8c63fffb5731df0f440b0fd322f38378
83,LuckyTrick,44966,1f8bc48e34f79935ac3651de09e1f2b2
84,LFwishW,44912,5df20c4ce6c03067985c9f03438a5f76
85,UchidaAya,44848,44f430d9705478790ee1b2cb8a074e79
86,CaramelStar,44843,3cf0b67e83d89fdeff8f8b9d1dd6360a
87,Kawe,44837,ea73b8912ec096e4bf04e35ab7e075d7
88,Omens,44829,67f357af1d371ab1170a71e65b2a0a70
89,FEva,44811,4caa205d02a7dc9f4a2dd203fecf559b
90,NovaTheWitch,44770,7b6c45d7e61d40191066682f9ddff548
91,Majo2Gud,44732,77aa2f65a0577bd9083c28cbc5190cf8
92,Solamidori,44706,28df713e3d3aae3c614a5d25ba0a9029
93,MariaMayer,44699,c058126aa67f02a97634efe88f901919
94,Brightwing,44692,6ae3bb76d2a5b0c17238d158d10ee2cd
95,QKunSis,44686,89883bb9e95d89ef3abca3f29c8c37ae
96,LoliSaster,44628,e4dde0c16decc86da917e243ed230f75
97,ElfOfEra,44624,924da8d8f7a0f6da6596c4df08459d0a
98,Witmilk,44606,9d102aa9a5c85310a7bcc8d90badcfeb
99,Azur1ane,44560,10a25fd5eaf22487bf967db8b3bc90c8
100,NeoCourtesan,44552,abaa38c8fec88f919334b010c5783b16
101,Distinct,44550,bfcbb8e3b6bd228daa45feceed4669c5
102,Rifu,44506,3adc553be7a55ae36d33e8fac3d35a85
103,MeoisOK,44469,e7fdbbd180c1c55835e0c5f01b87e436
104,SnowMeww,44446,4c4500782314e8c9704f85c522913d1c
105,Yinn,44437,df090347627cf1c1ad8407ee35ce052c
106,Thaikulaaa,44429,13e344ec45f4490875413c69d6ca0c2b
107,CoverCover,44400,2460fd0d66a5359efa3c58b3e576b661
108,TgYoshinoo,44384,cc43bf7664f9df63c393c831d378137c
109,Polygramy,44372,92c234efd9bf9d4d2751484bdbea72a1
110,Pepsin,44240,57686c259453c25551f554661eb248d4
111,Access,44227,2eda44b795486795c7353ab8a51dd752
112,BikeWItch,44220,e1227fd4144a4d7e10df8b4b842e00d0
113,TanWanHeiYa,44210,a833b6f4c19c4633040e071d992b0eb7
114,Majileine,44183,f2abeb16dddba8ad33c1a7bf94d7bb56
115,Loli,44126,42561d7104419724c9e414ad0ca62cb7
116,WackyDucky,44094,8e5527aa6a8ec689f48e1a68e65e27f7
117,neigui,44032,ba7f19e112220a9036b0c7ae6d8681e4
118,RoliconShiro,44005,7e97e8bb1aca42df4b9e89c847e9d00e
119,Cecilia,43989,c03c827bb923e1d4cbf12330af5945ff
120,MuMuSmile,43964,67ad8485074cd9dcc7d3e318f4cabe42
121,Pyriz,43952,165d4f7f92526683136dbcf691f967b3
122,WoWcutEle,43773,8c9efe027f0ba75d4e2d8d1ef8ebe51e
123,Mallory,43745,5590be30791fcfa1e846cf61a5a73b89
124,SAIL0RVENUS,43736,ec6166c9c1caac6f65e01cc2d8159141
125,Trixika,43648,21d9df8ac78ddba15b7c3029b5cf25fa
126,HaruhiSuzu,43635,7f2984d47ddc1f9ceacfff4f41b8fefe
127,KiryuShion,43581,a439e6b49e6626fec9b91b6332c411da
128,SliceOfLoli,43529,070d8bae3fb7b306bd0d2c91d4e2bee2
129,Nafaru,43494,06d40f4b6c0447f1cd4e8c96927f04fb
130,Kerrie,43417,7b064f26ebccb66c93444b4310a776c3
131,Geniewiz913,43416,0b3bceed69b33da48111108289f5e3fd
132,SandyFox,43412,a810ca58effa6537ef9ed8d0b22e61a2
133,madologist,43388,eb740321350bc71f87f5b9916a229545
134,Triona,43368,6963238c548a2b3a19a4b5d41c4cc24e
135,BepHbiN,43365,b63ed96801086eb9dd11eb5c3d83c787
136,MagicaSonata,43301,c63e1f65239990156b62582fc350fd02
137,DarkAgatha,43262,405e369d8a6f97855ea65b07606f04ad
