No,IGN,Fame,charId
1,Hemotropic,47811,2e49c95ad387fe53ad1eb906de5b08ae
2,KuroIchor,47354,e1864729b3c39b6050e38795955140e5
3,xDahakax,47069,ea12f34f5b2039239bb1e3f218fc46b6
4,VampyIch,46881,18ba157980dd9c189cd403cbd03652f3
5,Kasseus,46743,0f6d24f03e641355a64ae192e18c257f
6,Hemophylic,46611,39bc29f39c3b162745d5c1f05f941159
7,WindSkyC,46513,b1cd432c8397eaa44e7d1fa77c176412
8,StarVampires,46421,8b4cb987be0474ad3c0fe4dcc5f51b4c
9,Sardineking,46322,2342ba8431f68cae4db8b717e22e9ed0
10,VampireNeal,45344,847ba1d8e526346b4b4ae3a543cd977f
11,BloodySeraph,45250,8471281d888e9ca44228e62556014873
12,Revitalise,45104,4bdf17098134cd199f7e9d6cd864661e
13,SanKy0x,44807,ddfe9d2d09cd17b69155a461ddf46723
14,SauceJack,44798,1efa8e723264ad92c6f5fb8bf0f63490
15,KLEITOS,44767,55972d73c73d241fadf9f0fe047c306f
16,Medrathis,44434,3ec356e62333ccfce01789645dc8f1e6
17,LordSucc,44424,9fcecbe9c91bee271a3d226243c516b0
18,GeraVampireM,44404,a8342837320ddca994bd283b6ba824a9
19,DraculeaTepe,44335,ce875f82b56dcc39ce604ff881d6af6e
20,VampireRose,44110,b41f0170e0a21c3adc82d0d7eb96cc35
21,RooibosT,43996,621b57bc954fbddf06acc2a61b59f4b7
22,60YearsLord,43814,c17f137a4b0f70b6cb6e5529f0c850be
23,hopang,43787,d07ce9b7d61c43be797e86289d11a5fa
24,Morsatro,43648,fd1f3c93d3f3ce77e7e6f35ec4719ab6
25,BloodyAxis,43613,e901ad05e96ba11edfa9aaf1f8be58e7
26,TheFallenTM,43607,b664a69be0f7c02273e788c5631230ca
27,Akanoo,43573,63e5cdb8381d0fb27774857cb1c185c7
28,Radulac,43537,82ba3b964c17ea993b9341d712a02e79
29,xehemios,43263,fc17403c89e11f956a54eb4c4e171360
30,Sangreilo,43187,659d01839ff57b24e42718e723cea118
31,Hemoria,43148,9294b7fd367995349d2e4120154f69b1
32,Donnuven,43070,f4c97e45079041c47271a180b2f4c203
33,ZMBloodMage,42922,337f599d646f1d293b635f2453c89ed9
34,TokyoGhoulxx,42921,6fbafaf69af9090768779714291d4cf7
35,HemoFen,42814,1a6d24077e7b4dd271530b95c0471cff
36,Drakenash,42765,674a6935ccfb065e15259da17af8fc77
37,Zyoru,42688,66c7c00d3c23f9d5161d1222bbedea26
38,SOYplayVamp,42629,23aaab15e4d44d6aa5bbb1f79ad72538
39,BigJjYe,42598,c1fc4cd2a6f9fc648d7cad0587c54468
40,BomaniBloodM,42501,70b7240316fd677e78b6a7d33c52f7fe
41,IzanagiAsume,42449,87fdce625d8b2f1c4a3ef6112a64387a
42,GeminiMoon,42257,9b3ed35ea57f4795bbedf99a5aa5d1a7
43,Mamapu,42199,0b09752f038203bb3f57d2dfe63b1563
44,xSync,42159,b45791f5c8214898e5b0a324be23a44a
45,CrimsonV3,42103,94b3aa21fb3129d0b0e5f31cd39ff266
46,bloodgo,42022,74a5c37bf059fdfb1287544ca119c896
47,Layil,41827,af9899b0ebe780dff7021556ff3cdfe1
48,MahouKensei,41761,02b87315c45ad1e40e038adf94a9b17c
49,DrAlucard,41750,250d31c000f6a44c745bac1815a62f63
50,Taka2pro,41486,2733197ae4e2c31cd7b2a773b573a9ea
51,Dired,41460,0b358b8902f3bc01a8d2347f03082e22
52,CountFabula,41455,8e42cd98efdaffcc17cc3507b2eccdf1
53,HardStop,41349,0d0df24c13796dc0076c54d1283833f7
54,Fehlahn,41345,c16a2e7e6bc9bef196f5ba5da6fe161a
55,Opsonin,41276,fd41b8557d9f942501e8756ec4c3c40a
56,Sanguivorous,41151,1d385945b0aef911e90e553fa10a4acd
57,BloodDemon33,41052,2d4e0c0f00c2dab173970b599072e95c
58,CountRaizel,40959,3f295edec8b835a508e065aa4cb2645e
59,Alunoob,40926,6c2f8baad31d73644803983ac94846fd
60,Velmont,40900,bcb83b9af5fd65df7d42aeb5531fac23
61,Skyson,40883,defbbc16075af5dcdadd94f686c85d1f
62,VitalSigns,40770,86930a1261d5f26f6fd5690c2a49143d
63,LivingLiquid,40699,e12f7b50e3e029f980f4e4e798664400
64,DeRaies,40587,5c1dfea1250328fda1c3091f2aa18b52
65,BelaTepes,40581,83b68216484db3b0355557f2ad4a395d
66,XyBloodBoi,40539,69ac1ead7c34f3adac2a6024fb078fa1
67,Tarrlok,40500,7d9db313643e5eea5da6fe41dd784bef
68,LiangGu2,40372,d613544d94c5eddbbf4a3a9f0a5a7f29
69,PyrosShiki,40314,d50144d0923e5f0c5de6abc6f4658425
70,SanguisNex,40313,e128f7eba818b18e00280b56bf5a5d5c
71,Zawarudo250,40163,32bc35d158b2f312fc5638637c3fa95a
72,HyakuyaYuki,40141,79aa5625520850c0fc18c36822882b93
73,SugarBae,40036,5a263b6c07cae0a0cbf8487d76e16b24
74,OneBloodyBoi,39581,4d6b268aa95d9d6b1a98be27b5c82a11
75,GoldBuyerS,39568,5099e0baa18dc7743ca6175bbbf30f01
76,DublinGrey,39537,5fe36e2c65b8ff517fbc92d5f4ad4b77
77,Etie,39328,082839998f857f13bac54279f79d9431
78,LamboBelmont,39191,2f3ebb4f5c49735247acf225813e542f
