No,IGN,Fame,charId
1,kapns,47588,31ca9992d9fcff4567dbf8b38437e9f5
2,BaChe2,47174,b732b517f5a7c8b257cfb48922433ced
3,Blinkish,47075,5095eac141046ef1f63704711893f477
4,Periit,46957,b7bfec43da066d240dfc17a2e1acf297
5,NyaRuby,46946,1f0f54c0092e66e404d330236a16170c
6,Chardo,46496,7b18b17beaf792304257c898752009c8
7,happyfanfan,46319,f17d1705151d111daa9499d6ea730e09
8,Mapu,46227,4e735129f99bb28d5e7828f4bb947c89
9,GothBF,45917,b429e5a36d6d6ffd6360575cf418aeba
10,zCataclysm,45904,5f4d0cbb55b3e1abc5139ec00fb941a5
11,Azathothq,45875,4670ecbc876679e1c1348c749d0d276e
12,SpaceSlime,45788,b8e0fc80fdbdd1c0524d606a136c3c78
13,PyrosMajin,45772,bd71af7b229325aafc635999e8e11d3b
14,NyarlyPrPr,44857,8f2208cdcb5a7b77babeecc91228e848
15,RiftWalking,44704,b8045e3be59076a145ded8360f6cecd4
16,Basdon,44606,1ed71424acc6c9fbb9128d327a0a95e2
17,ReprobateZze,44435,b4114df2d855fd460fe6175e036208aa
18,Astergem,44368,009318796451c9f2c40a585cac1d04e8
19,ZMAscendant,44333,1bdeb0caab22e14423017446a87d0f12
20,DimensionMos,43958,fe82cf07f99f0888e619aba0d05263da
21,Malthous,43777,ca8a6dfae6b47f0e9f71cfc8cd5f806c
22,Vinasha,43612,5ed85963fee79e119555d3c07a9c1e6f
23,emobread,43589,141000b94c456a654891cfd083603a66
24,EternalEmo,43479,27c17b2a16881f810063bf3dd25a87d1
25,MoeInvader,43424,ee52b17c2fc3c7ffc8971b199217666d
26,Soell,43248,617b0e687b58be074a5507519d89b571
27,DreadLighttt,43198,1885c1361becca3be42ca4ff7f57624e
28,TgYuri,43029,6b343954fc418f417f0546049ba13ab5
29,LonelyFlow,42705,8eb376a7c22711371b39a235f88534e6
30,YaaJakab,42643,1b32d44d81fee09354666bbe032750ba
31,whyhatemage,42278,94c5016444d66881c35d146e0e3e81c7
32,HentaiFab,42254,5dd5b0494fee5d8aac2480eab05b04fd
33,JTeatime,42000,6df3eda20944b7ca5b0f640638b11355
34,Hiramato,41972,0e8bc2ac53bb6e4b2b88d1270b540f5e
35,SoranLaby,41939,9a32dce7aac8a995d4438daa695ec953
36,RuRuCorn,41885,dfd16dcbbda0caf3782958e4036d80f8
37,ImoutoGa,41860,823735908746bc64a159a2436f1f2aff
38,nayokkke,41747,1aa86527386c2ba4ed1aaa50ef6126ee
39,Lotus,41743,09a0a21e7a57defdd53a4f2598c6ddcb
40,FateAverrun,41571,48efaafac89ae1151a8eec7aa8a256e7
41,Akumapon,41507,2b08a680f5fa830346c9397ddbea2c09
42,xehamios,41307,39ea59fd590522328bb026924b1c9354
43,RainWalker,41012,eee57f012186ff7263047087c84b0e39
44,ICANFIXHIM,40815,ab8dbb3d60a48cb36e742958e7540714
45,DRDiWa1ker,40709,22acd2b86362483f4c1a0fdb1e91ce30
46,Reis0lZero,40628,83d229e8919d4dd5873dfc0194775981
47,Randulph,40588,1bc83858d9838033f754f4d690976097
48,Kryzal,40527,a5bcdd0fe7d59236b685e2f90aedffc5
49,EdgyEmo,40489,de838a7c28d40216751fc292c44cffad
50,Rustikarl,40448,c12206fd104a7ab7c3122f51cdcf2bf8
51,Felspar,40437,500f9badd86e61b4a3536b789dc263c9
52,Ascende,40286,8aabee22b1ba283d3e28e08b3ebbbfa7
53,Obalisk,40243,2a1ef80f080180fc5aa3ada1da88dd83
54,savage5605,40213,92a0b94178b57ef956d4adb4c5ff4f87
55,Hotokekusai,40045,8dd40c658c27def9001c3d91845e865c
56,BlooSpace,40015,ff7ef959f678dc2011837741e921547b
57,PartofD,39941,55234edf73876ee33c74f3cdfb0b2e21
58,demart,39754,c61204a6c70689c6c31fca00ac5fc833
59,Photius,39659,7173ee2033c4bd6a0d44de33f3bbc625
60,GloryNyarly,39345,68fe1e624c0d1d29b236e275eed9c9ba
