No,IGN,Fame,charId
1,Yookee,49466,e2c20d4af7e57342c644b1addc91afb3
2,xVladimirx,49357,58042675b81a2956b52011c35131a408
3,iRimuruu,49010,d1a8ee632f3094f7ba106e2a6f10837e
4,Azdios,48502,465b4df96e3b1c6544e51d70e7bcbb28
5,NanaLand,48487,f9efec88b41e6197e3c43a9f81bf5697
6,SYueMH,48086,90eb52a76e950eceeaae8739a675a519
7,Yoydna,47488,0f683c6e901c02414a5c4a493a1ba612
8,Taka,47124,42a1141a016970dc1d9893d3d0e3c746
9,SeraphMage,47120,e6a507703d35c0fbba32ac6c9cda21bb
10,Hemimorphite,46684,e44f1de1415d68099442250bb972de60
11,Refutation,46586,acc0da3d3eb17f7df2f3262cd8cb138a
12,Doublecast,46420,892f068a66c4607a338bf9ff5bc5090f
13,HakuZenitsu,46410,5c59fcf636967f91ec67e1f1997c5d34
14,Zaraon,46233,e0413011e272730fa373936ddf452e70
15,Makenzieee,46174,580bb170ee0a7dc6a6dba95ddffe25cc
16,TraptaStick,46020,495dd6f8a9d4b4260fcac960716ddadb
17,Diooooop,45910,46bbface37121381caffc326849b2322
18,ErioMondiaru,45731,5d4ac37d50b37a514598d53081932d58
19,MultiSquares,45713,9b9f837e215505cb886fe01c7dda1856
20,SenseiBomber,45635,d7768d7d6fb37183230eee8933db945c
21,Unlimiited,45375,324b7d44ca2a6615c8ef76034185d15b
22,AbyssBomber,45372,6a64d835a04977a08d289c8f2b7e2231
23,Larrysss,45318,7e3106af50e20410757fffffe4faaf01
24,LookLookB,45101,adfb13272b11b1826787014b47b6b113
25,BombBallGum,44818,49c2e8cd16f56935a786269420768165
26,Suveil,44692,3d6b3e357ff34c5c00661c976c6f0b65
27,MillionSewer,44442,e24ba8a0888a05695aa88e5dd2dd1543
28,Kotoyoshi,44415,b6a50c47616c8478ade9832339a42c12
29,xMagicBlast,44396,808b524f75c1353d1f5adb20845e406e
30,Ouroboros`,44355,a214a89ad86e13341628f89041bd88d3
31,BomberIch,44328,513971be096fa0caf18d03109b66c7fd
32,Leizi0503,44273,b78f49d16f618eeaf69e548b5188bbb2
33,Marmalaine,44245,3dfeee5b3604600654883c5f99822ed2
34,Fintaal,44236,1579938c6ba5e70efdbc723a26803d69
35,BabySarpoza,44198,d50188804639624328d0d018f52196fd
36,MrPawN,44119,964e667164f76a65f65589001498f9da
37,KingCresty,44094,d5ec9ac16eefbe91a87b98875ee80d14
38,HappyWiz,44013,f4f869eeb6ab8d576afc5ccc4d4a6baa
39,SemeTrap,43825,d7e320d851ed6b7b97fd62f3a1d85f47
40,lonelymadman,43799,a2f8a87510c2bef9033411a08e3275a4
41,Grenth,43474,d860094c572ea5f9d099f9fcd95ce522
42,yourpico,43433,6f84ab6e6ff247d00853c2e34e8e1659
43,Crimvael,43403,daadde025b47ca76c2456c3e29650f59
44,RNSJLZzz,43392,75bb9ee300f18f4c2662805dff16eb90
45,ShadowKT,43371,f6ffa2f520048bd656b1a2226b664989
46,Crystoleum,43272,8365a3d6872bd2f4ccb38893e565f8c7
47,EaLean,43218,91c70575d3fee6e8aeb75a72ef7cda84
48,Aeoneyes,43162,49ff96aad24f6652d2eff5dec34876ed
49,Shazb0t,43076,7893eb73ae51dd109666481be09dda00
50,Chiovyn,43072,69e14e65e83f752dfcbb6f10ee25915b
51,MagicLordJay,43013,55823ffa75d9523cd218ca6a2687b0e2
52,Rocksen,43011,670961f28ff74f1fcff6010ac5c612e3
53,vMoHuang,42894,3f3d7639172e482192686e14666c6cc2
54,Astrologist,42839,f97470fbc50267e24f8e846ca5127ca7
55,scrambleegg,42756,5ad4b9bf8cba459d80a364e2350495dd
56,Anyemi,42720,b036d4dee8509e27cc87f8e5fcbfa8d9
57,Bomberdar,42681,6c11e5809475c770068cefd088afffb4
58,BomaniEleBom,42648,1366ebe8542990c5352d722f10bf41bf
59,UltimaBomber,42516,05145d0bc0d3e16f1935a6e3a73bc315
60,Sarposa,42496,1967578872f46aa2d67c0b31c03565db
61,RainbowRocks,42431,cc830ee323865076682ea39c75f3e8eb
62,MageRosen,42406,1b910d8a36e6eb82540c27f165b267dd
63,Tiqunia,42215,92276e77427032896af2a87644a84006
64,Aerodynamics,42210,06dfe046f4e0aed90a181fc903337a35
65,NanoBombs,42203,849cb45763f1638997759689c0278c6a
66,EndlessShine,42127,a8a96bdc90b5ffcd50ac2882c09b5f0b
67,Mellis,42097,71e66949bec86fa2f3b58d31fd6c4190
68,None1234,42021,1822b9d51e1fed044767e97b36f66040
69,NotHowl,41972,6a05bfc873207b2381bdfb652ef35f69
70,Alai,41758,0f72c9c3ad7c57a75c1c077ed5619800
71,yeo9,41750,2e733ec8fd33e3e9fec230d7f555e7ca
72,Morokt,41723,40290882c0cddea5293ee2cc9636e5d5
73,ElemMaster,41679,17b347ff0cab0473618ebe8faeecdc46
74,Hiramaku,41677,425b2cc292c80a8aae59533ba8fc6d63
75,AirABender,41651,49e588043b49eaa96a037160fcd54b58
76,hape,41519,9df3186dedda01fdb9007aa4f86b6fd6
77,Chibaku,41442,6bea47ecde1c796e417e06e05da8128f
