No,IGN,Fame,charId
1,KaleWei,49024,37d0c47806506a7a8218e53b5fdf91eb
2,FrozenBB,48878,bf8d39694f8805a69ecbbc5a30a78f3a
3,GloryGlacial,48582,97f9588204e9362fad9ed4fe476cc3d4
4,ICYOO,48144,955d7f4d801aae0149fa5f2bbff6aa2c
5,HakuFrost,47953,b31f4ef794e6ca74d45310dfdb1f499b
6,Bello64,47482,64894399232fb1c2bb0ad811762d247c
7,BaiRac,47347,2aacbd89c744d08ec2a128ccbc1c316d
8,Robert,47139,63fbcacca5c6dbccdf8c06545043de13
9,xiExtraIce,46779,f60a5d9a7eb842080eaf270df9db2374
10,LLtrainer,46765,9a1233c05703cbe6801c16ea927c262d
11,Yukiy,46756,248f239c20052a87ead0ca9e08cb8d70
12,Icarus,46685,1ae9825eae10390b8e84962fbaae166c
13,GlacialQiQi,46649,cd3c794b47fa4470cd20424b1f1d571c
14,KFrost,46624,58c3343d5a845703e0a8f80ade15170a
15,Donsm,46524,20680a63fbecab37866476096205dd34
16,Frankey,46500,b012c58d112073c03c4273b861399704
17,JuciyGlacier,46483,eb6d8061f107d254b5ba5d439b964198
18,RowletIce,46352,6567d8d2c23f9744532b8f379d730ab9
19,Korine,46307,01e4496d6e6a37d31d88e295f2ad5844
20,IceDM,46003,6d4337942e8c3aebf1113f43545f1654
21,Yukishark,45993,2c7231dd2b8fd75bc819e3fc52d4e4bb
22,Shattering,45949,98fe03431e114bcee2af68ed9b9ab8bb
23,Kooriaisu,45918,962990c01f2ab02dfa1eb0395be1dde4
24,CloudberryST,45758,8950505c309f9b26ac7ebace83f19a16
25,Rank,45677,f7e6a611d7fec7f2f1d60649b91a1394
26,Imaginary`,45607,379b8e6e494868282a623aa9c9552a07
27,Frozenstep,45541,f7a239a39ba0c92ff309d26159a6a372
28,Aesev,45464,9947cab2698a2646cf7ce6d99b0c8df3
29,TgEterna1,45355,29fa3d94fe82b8e9247c087f088ad927
30,ArcaneMaster,44982,8130f0301d01530b19eef29a621a2a5c
31,HQEternal,44869,af45aa90619a6f92b4f897a527e79b63
32,AbsentNight,44768,0a07f2c7894b334730d4f15e97051e45
33,maximums,44756,392999cf725c5f19256dd40cac81812a
34,Dragonspine,44637,bb64b1607d1d9f34dc4694eb29ec2070
35,xSol,44555,7b0b2ca7f69db6ac5ac2a79e2c7bc2ec
36,AzureLune,44546,863a8b4e8de686a48795d9126d0a9a9d
37,UsuiArashi,44528,fbdf35fb0cfaec9215f168f97f7c348d
38,BlueSardine,44521,790f10b8df1f089a8ecd86a82859a40b
39,Ko0ri,44488,8cfa5403f8a002fe57a32fed1bd84682
40,IceWraith,44470,9d1ceb00b8821720e1f80cabb8e449c8
41,DeathGla,44460,cd36d00d652d31d59868fe26e221682b
42,AbsoluteO0O,44397,f09ff58382db76a73c274572819a64ec
43,icyAkunda,44322,93470f14c5c140b2dc4d651b1a27c083
44,Hakyru,44106,71a5d2606e51c4f477c6b50b6f8f8ac1
45,MomoeNagisa,44073,343ec8045b7c5e1d18aa140232a4cfbb
46,sow511,44031,a4281061f6c40632e78e8fb0c90ecfe2
47,DKfrozen,43987,7641c0cd49973ce6935e305ec1281906
48,Vamplix,43600,590f85734965ac1f4f29e98be911f93b
49,Realistic,43558,1a089489c8ae1f5748875a435c670101
50,Slushie,43557,e462f46012cabf06feea2a5c617e4812
51,BeachBoys,43496,61498212faa7558127f56b2a77fe5e01
52,Vatar,43459,432fd772adf5926ca388d8473698a4d1
53,DarKxEtrenal,43386,8b5a833d3d4ec9ac64b9b64c43bbdbc2
54,SetsuEternal,43257,86a9a18d3361d4e21584b5a05f63bcbe
55,IcyFab,43232,ba28f55e4049a8f4d54e83d0ce532192
56,OldFrosty,43120,1c6f7990200441cf799449f408edb795
57,RexKelvin,43004,7de9dde629962d2e666d6cd11a92fc39
58,PicoFeta,42955,f7d20bd6b2eb2a9bd62ca1bb9d604c31
59,Bolted,42947,670ca740ccb722337a2c323dcaf88a21
60,Karalle,42681,3c2c9fa6d79d5f020138420cf3cd904d
61,MapuQwQ,42676,fc2bfae1cd9cdd065f2823fc5de5bbb9
62,SiyuanBaBa,42621,adc924a0f9dcd7f35a0a1180f846cead
63,greenwall,42605,3c374f6b9eaaf4dacf3cf30e7945f599
64,Cahilam,42468,1ee4bf0169babdc5da95fa62eccca4de
65,MiaoBao,42428,232cbc7899ab484290afb39487d10e9d
66,YIN6,42347,5a5368eb7880a9a96fe23b7d7de86dd2
67,Frosterino,42269,dc68c0f57ee7094a7df165de8b6f3d33
68,IcyHawkA,42261,18a65ea206e5ae059973fdb794de6afc
69,GlacialByul,42237,b4a75c19b254320af2d3f28db4126a12
70,MidnightSeal,42079,9dcada4a2f7348985b3226802ce030c1
71,FeelinFrosty,42070,2655250da8d6091bf4064df72bb7bed1
72,EternityIce,42028,c8439e88bbf6645046096ef013147c09
73,xBaten,41900,bcc63a3ede72f046a0f0771db858974f
74,WaterCharmer,41597,aa78ba4af008bd6445678e7f50054042
75,IceBourne,41503,053629e90168a6609e2b2d40c3403078
76,Cucknapster,41498,aad0be3162589e4a04f750e7fda2fc77
77,ColdBlue,41472,2f56d8224eaeed1b27482d8ab1b12d32
78,yoicke,41045,021b6c6062468f82dee6745ef65da923
79,Tsutmetai,41036,b9f3ccaddfdb728a0226a48c0edc2bbf
80,Ice2MeetYou,40910,12f311c7ce795fbb67a726f3eebaa235
81,EternalChill,40773,ee0931920b1bb6f18b64739c00884a1b
82,Cackleton,40767,6f1cd4e0d02dcea396b4733d7e21afc4
83,Arthursss,40762,1445c37382f6d6558c8d21a0bcca0f29
84,WiNtErYup,40692,db394647ac72a1fdd3a35c301b728a93
85,ihaveacold,40650,5f5c238c98ae86aebf394aea80619072
86,Anzu01,40559,4a6f33948b8b6ac5321e08255a1561cb
87,Svargrond,40472,90cc187d15d51dc773c983849f468086
88,hailice,40430,8b1df4208cd213e6c2863fb34dbeb1aa
89,IceBlade,40396,c2f3b3ba2a6a570823b65c117e5eddc8
90,ClintBarton,40394,775f2f99bf0cb4ba8c0ed8aff06ab775
91,Arkarnus,40296,8fe05a3d80d7525d2dc2b03f90f4aa37
92,Gogosica,40295,0837531b624fb65cb3fe3b872ab28ff4
