No,IGN,Fame,charId
1,Aculeo,49429,4b1906e3e673b88287b40330e69aa6ef
2,ChainsPoppy,49354,c88c410507fcb5a5ae0c77d5044e7728
3,SYueFF,49244,7a7bbb3249cf1beb08b645aaca01d4c4
4,Swift_Wolf,48584,319ec1e6988c0fa82837da64d58a83a3
5,KOISwift,48444,e9a3eec381f87a8d05ab562c0705ede1
6,GeNeWind,48393,311bf99f1950d1940ecf5e97751f0de9
7,FoolsMistak,47644,71c384759af304ade44297765ab6843d
8,SinisterWind,47510,d227a50bb485c13a292b0bc16d48b37b
9,Principie,47102,e658354f765daf5204630a11750833de
10,WindGodTaka,46962,4004c37e36033fe986cbc1acd8624167
11,ZMSwift,46695,75c01c00aab8f76023c15d96e491ad43
12,EternalGrind,46630,f2766a0a64b1d8cd6b4d7c350684a304
13,Mapuuuuu,46606,cb62e9a905557b3ef516896fc754ab90
14,yuykn,46577,1cd60a786fc0547eca1da147f5dc09f7
15,leaderAiolos,46458,e30c7fdfc8ef17315a8f6ec418b2ac02
16,NorosWilder,46370,8c13d7075dd827245d1eb51896b8cfb8
17,DyunAiolos,46278,e189c284df7d4dfb79822ab358f55cc6
18,Avestifur,46224,a4d4a258466bb675ef8a675cccedf76e
19,Kwun21,46122,1224521004c9b846534da8c2c1b4ef31
20,WildBreath,45968,de0f45601fadef89e11ee510746a9915
21,BlueberryST,45909,a8fe23927ea20424b788d36bf257eaab
22,Currents,45891,c74a7cc761df68a5a9b1e6f458bc1ee5
23,ShiroMyrsky,45821,cea291125386029bf8b2cf25e902b705
24,jeckheroo,45541,2aff0b788babc29857db01c5074c4ee3
25,Uber2myhouse,45416,1250928e484521a7a3e2ed35f3558191
26,Kazakusan,45323,1fb5314ed11de153736231ddb0d2a83c
27,QueerCow,45174,40af800df512d9bcc88ff6ccda5b464e
28,Selodin,45156,77d4cb816583cfd2bedbabcf86b17273
29,Iamtoofast,45101,566470c84f1cb0b2122bea470b5ba67e
30,SwiftySlave,45003,278dbac58b6d796444284d62d1ef9b48
31,WindyFab,44753,997cdb397afe2489a5f26562935a409d
32,Hiramaki,44696,8af9eb9440e943bbfa7a98e7fd15cb2d
33,Whimsicot,44495,c17f336a7719224741aea3b091190ead
34,XySwift,44458,4372bf7fd88bfc9d014982a79ab6a9e8
35,SaveTheFrame,44443,b3b7e5bf7b946e8e804638c63f985673
36,WindSSpirit,44356,1a56eb19be9c96971c908ae227927c43
37,moderBigJJ,44135,e9a24158694d010bf8d9876a541a46b5
38,PeeInTheWind,44063,529cf654dc018ccc32036e6491842e92
39,AnneSwift,43902,4ca19eae100b76f84ab59c6f33288d81
40,Hakkone,43819,b1bef244fce37f78a4b081452c9e4eb3
41,KarsSama,43781,bbc1d7f8c9eac6c2a160dde219005973
42,DKtornado,43707,743a888d86b7d96a9d5dbc6c0d6a7174
43,HurricaneGum,43688,04b2b4e0dd9a62904ee01169becccaae
44,AdKaze,43585,7cd8133c3f2b7f27390fc9f846e4a8d8
45,WindGodo,43580,282c54699f09b0d873faf8a20da3e8d0
46,littlechange,43538,b752d0069c91ba2859a48b94de744ffb
47,HolaPerinola,43512,828387a8fba07e81a0350fb13f1379b7
48,TheQuickster,43305,7e6f592c4eb611eb9a08040a7bea2677
49,3sec,43182,aafdbc356fdfc1afce6154d869d0383b
50,Eliotto,42909,88abaeff56802a71499070de12ad49b6
51,NieFeng,42880,c1284a25b222182318334579cec406cf
52,AoiSwift,42880,01991888f2953aadc6240cf68f857726
53,Tetisk,42825,f4cafc2132aee924abbb45b9f4323954
54,FockingU,42775,c33e42616310849f9759ddff8545dc34
55,DeadLikaWIND,42598,cb8d1594549d5cc8ff153e33b22c6ac6
56,Issun250,42543,f7346eebdabd3cdd3fe91866814798a1
57,Rexcaliburn,42421,ce124b17b487acef5aed48d38c570a15
58,Vericollis,42416,60fa0fc7481b0cca22538b5338ceedef
59,SwiftMos,42325,b43e35ff3e6ab543e9dbe80ab7470110
60,eldve,42051,78d949643dbcbee66f93d83dc9f9e52a
61,Dasmiel,41958,e98b565a3dca78d248b289e5abc71d4e
62,KomeWinds,41912,bc8f5624006b4be7bff6648a07e311af
63,AirCanada,41755,481b7fa6c25204bde608088e6033f2e7
64,Coned,41728,7e658e320e09d4d26ed17572436cbdbe
65,AzginAnil,41723,df1e3e15f998cb68ef63b2dbc40e9620
66,Beiduijifeng,41712,98fca4d387848ff11374878ae41d4686
67,Windos,41687,2b2c8a7ebc21178fb0512bf47a339bf6
68,Stormburst,41642,c064d071506a06eba52167ec48489aa2
69,Tempestira,41458,5ee4137c2e5fd5d1734a19e6125f958b
70,SuparnaIsBAE,41430,e60d2e7ab6de82653a0c18064d69b1e1
71,SeraphSMage,41395,7d08e7a0ed6ffa6a8b0c13a7bed561ef
72,Kuranoi,41377,37aeac50b74645765f826ec7c0997dab
73,lXerahl,41360,7c04a7ab35a5f2f8f67537d2c8a9e332
74,QQtaiwanTT,41288,cb37149a057372bcf0290c30afe9ca0e
75,CryoSlash,41237,ee0d828c3eb4208256a14f59aade93d1
76,GaleRegalia,41090,c3bc53f1e8d34c12c6990b1289509583
77,ChuiYaChui,41006,2fb03e0fd6091140b133ba3e1d7dec8d
78,kbone,40993,07bcb45c9f8800389661558faba8d5c6
79,Fwooooosh,40942,2085d450bf8b059afcc1fe883863cbae
80,Windnesday,40934,1f2210ebed1df2d5fe2c6acf85684ed3
81,TheBreath,40827,68e6af4bb29b547304ed9de9ba333939
82,MukyuShunko,40763,8c6574c9de5b7032bacd5f5821c6b7d3
83,Hashakiii,40710,8ef62b159df95d88af8a2be4380db453
84,BreezyBalls,40710,ade8987ad08c2833603b22b9e7bac8ea
85,GabyDante,40673,f6a52bed348ac943cef4428f93cffcb7
86,Esstaroza,40609,ca9fa1d17eeceafeb1c99a0616a818bf
87,Malren,40605,a1586181bdee74b5173cb970896c4c7d
88,WalesIndigo,40501,cf5d09c4f8beefb57dfc736a5b61e889
89,GELANDII,40459,15c9e8f3c458fdf65ccbcfbe6b97ed90
90,InfinitSpeed,40451,d08f47d18a665816d46fcc9e2d172882
91,maeuntang,40449,51e5fd6451885b19689623be0eba7ec1
92,FactoryWind,40391,c8934bb8456153804eef293b09db4b38
93,Spookaruda,40279,326fc26e1aae5e316d9ebff80a5ed87f
94,LoveIsWhite,40247,ffdd2202077ee2e765bd31c06b8af2d6
95,Mayk0,40220,0c5c9505230f0776904c7d70bb6a24aa
