No,IGN,Fame,charId
1,BraveNiuNiu,49532,8784cca3c37044e1a3368e29474e7e25
2,Shamaru,49353,48dc97d8557e2b6264817a9ded91709e
3,xValoriax,49287,770f4fbc233eb75d56f9aac0003fa166
4,Crusader`Arc,49000,e05e3b7592266a5068ec25f8886c25a5
5,IIkun,48971,0d750a8415b89c4faf10a75464888127
6,lovelycjf,48739,b5ce5b1e98a126ef1889eba7ca971f14
7,KaW2N,48622,dbabd997ee4f9cceeb67bf5f82fabb00
8,Arjozana,48621,a6f90bb38637985c3b03b7e068244537
9,Frroznrobert,48533,3b0c7151873c602a806c2f78c6a44abb
10,HoyoElysia,48494,2c60810ecd22a3317460ab5f3a721b92
11,Kwun06,48433,52269993f8426bab548d0bf539685af6
12,lGEMl,48269,d8ccc7d0015acfd6232297b7755bbb8e
13,lTsukamotol,48265,fcfbf97fcf3ace87e8b296f64fd3cb30
14,oOsealOo,48227,337092b1fab5ca8735c66d698b7a6341
15,HolyMatter,48071,cf602405771c149bed83b3264bf3dc9f
16,KOIFCrusader,48024,bca953e5cdb8798a456074b129e728a6
17,ClaudiaLazok,48000,9fbe96c45fd6638b37608f715dfcb686
18,jlee18,47941,d6e3b378b5b5c13762646d56d4f4ea78
19,Pryicness,47885,27b50986da1567f576f8be43ef52c2b4
20,SisCyn,47874,cbca4c87f2a072d6d7636aec9a7baace
21,HeavenlyGay,47826,cc80c570078565afa34a4a344364b3c2
22,MsCruSader,47813,2bedf079329f6ff47ee9316243617be9
23,gianas,47765,3de908a9babbc5a9bd9f35427e668e42
24,jlee11,47739,eb743aed0c999074f82c47bc1aa9f0db
25,CerealMilker,47688,f5e15ae4f699d4d280d2ae99a16b4534
26,HDseraph,47673,1ecb0de49ccb70d24ebffa069987c394
27,GlorySDR,47669,7d527cded0e806ed735049e3d294e235
28,LaPapesse,47657,fd5866291aeaea0d6589010dd9cc8fcf
29,AliciaFord,47652,946efdd85b30c5a45b1b54ad178d8082
30,DaMuAthena,47651,dfc0ce322cbf895084f172f588ee073e
31,Gloriette,47634,71a64dcb426ce18f3217e85b679daaac
32,MuMuMilky,47628,37d81bff79bc99c00b337a5dd804e201
33,GreenBerry,47603,f78167339976ff0b0e4e4dc44517d3c8
34,kumayuki,47553,49420ced4af54a9a641e26d554d09a30
35,RenoSaderF,47463,20bed7c7e58849b61db3c0243e53e19e
36,SinisterEnvy,47387,510b87c9572c8fae749c798b63a19f1c
37,SinisterFear,47387,5f18baaa1d1c8f574cf5a927ce2b36f4
38,leaderDiva,47317,62e34250949959d5c2eb9e29bf2f1f46
39,BenTing33,47316,6dd6da033da20ec361ee494b89a9fa57
40,SadisticFuta,47233,4b40b6fcbbd35453313511e28e232c4f
41,Dantessister,47215,c1bb5a7cf57dc2f226df76c476c435bc
42,Catlovina,47205,2d7a96397e9cd2fc377226e2049eb06e
43,GodOfMine8,47204,d7c846e6355cd94aaa89964655685828
44,ForLyn,47188,924304e35de29cefbdc94fbf562e8d67
45,TinyTinyNai,47159,a2b06166862027cfeaa7fac883e8f60b
46,Leslla,47156,dc1f9bc5e562b9c4366e8c2c4f27af1c
47,xLini,47151,4999269af15e26a29fe10b44a7136ea9
48,Celestaea,47143,b59d82a39281a3e2a95e83ddbbc86b38
49,BabySitterP,47088,768c0efe8307feb7f2de7a312cb2a79c
50,Nier,47041,4149ed1ebbb5ebd87e8117719d926853
51,SapphirVenus,47038,a483c1118a86424c689bf0618eaf97aa
52,tearstilla,47011,0a4054c34818cc282f14af31b5b950a4
53,HacKAngeLSS,47006,68d96c6ae381351a2dae366098411056
54,Samen,47001,b216e78b45bceefbb61bda7e9c60dbcd
55,MDGsader,46986,a94c044fbe92fd003bbc98e3c7d70809
56,SnowQQ,46957,5992868d4388549ba34b6bf90297dc9f
57,Shearylla,46954,47968cb8efaa05283da2ee0772eecc40
58,DADANAI,46944,0d669c298296861432b78376b4a17162
59,AoiSaotome,46937,0ea514783dad7700047503761cfb1b66
60,RacconBerry,46907,0fb1c17e4178ade4f7b91f80744dc11d
61,KaguraKylin,46898,a8e8c778e7b05dd714b41ceaf4e7c1ed
62,HDseraphII,46873,467ca9c0bf5e0817ced62574922f8f66
63,BubbieTrap,46839,54a34723fa2b6993a0ff1da418df330f
64,HatsuneIA,46831,bc99bd37ea4876d091b29178ceb28d1e
65,FaithComplex,46825,0e90ca2aef829fc3877733fea7f6eedf
66,JKFubuki,46788,ee96b63b15bcde58437115ea843ed9de
67,HDseraphIII,46787,c76aac2f265832b5c3c7f54758262875
68,Ophelies,46736,2b85b3202f1985c92456f5bf180cb299
69,Anggini,46693,2f6f751e15484e558ce503cd39734239
70,Accuber,46662,b3be4b37eda142bcb62a2dc71f4ced97
71,ShineSlime,46635,9f7ea4a55fb675f0499c197b6ce991bb
72,00B00,46626,e7bcae962cbde4cf860d06b06f348d44
73,priestny,46611,4be546ecb65e7dd317a4bd7f7b9d9f69
74,DioNeMa,46603,4a4942537e20e8309bf6a1356e6d766f
75,douyaabb,46602,293337f7b8c866755637957b533fcfb6
76,HolyCrapLois,46601,3fc1b9ae50dfebef0d168d50ebf716f7
77,babydong21,46576,c97a30b43a463b0d30aaa83408dcb4d3
78,BuddingBuffs,46565,6f123a4e869904f72f89d517491abf48
79,ShowPussy,46563,2df6461d8dc9d5618d0a9e634ef3c8db
80,ShowNewNew,46554,0c7ae15c88c8edda99d5ad02780b3123
81,EternalBless,46510,9b590df4aa8c88d7b5bef05ad563ae36
82,Yu7_Seraph,46510,9433a6865024b2b6c9690f4c7c17aa7b
83,SadistFuta,46479,13db8f081d3e42acc0cb42d36faff26f
84,SaGiLe,46473,efe4aab737fa917bc2c41655465327e5
85,Doesn,46453,d753245a2ec03117ced84b2fb3ffe409
86,PuppyPriest,46443,7af011deb5af1c651cc7b61dd4263069
87,MissMary,46432,5fac7061c092f89c361382710b4798ae
88,JemsL,46425,052db3b855ffd4b4932ae7e64fa1852b
89,bigfcup,46398,5761b9fd00ab1bc1e988a6071005a974
90,Auxili,46395,f934e344ea5074f0d709c715a4e823c1
91,Lusilica,46354,2a702957ec207308f0f7c07bd0a4bfa3
92,CanNotTouch,46353,c4d9935ed991ee52d107fbcde1159f84
