No,IGN,Fame,charId
1,JellyBead,48388,57fddfde89c1a3de4f78b3622b7d66a4
2,Ekdud,48016,3a83e8a2584dbbddf94fb87d9774c605
3,DirtyGirlX,47995,6030441051dbea33dbe1c28907e5933f
4,HDshaman,47172,507f84f1afeb050c8ff1bce818f46dfe
5,jlee15,46966,57de534b613af09da7d07bb1b6de8d06
6,yoyBB,46788,e9c64dca817a2dfaf6041ce4453d7632
7,Celestifur,46755,d0e326e314f3b4a765087036051d8ac1
8,SaintTaill,46531,2a7626b87e7c806ab1106658b7a94635
9,DiceShrine,46478,174c869dd6e4aee06da1c8c7f1ec9859
10,BeadMistress,46446,1ade3da7f0106bf6339ccaf7429fe5f9
11,Tamagushi,46303,d4167fef69afd780ee58858f9a5090cf
12,lLightMahonl,46284,f284bb6e023aaa8ea2e11def160941af
13,Luminousa,45927,9da411d393340534390f9f637a5f1778
14,Precede,45654,3384f7545a9d6e67be95d8ea1f960ce0
15,VyVily,45603,09c63f1ecc8bcd8c83f5ef5fec59300f
16,RicottaBar,45508,7a81c0927963b20277a3dc602f9257b8
17,Tuctu,45488,3205d1f3a38cd9f933cc2e0d8df640b5
18,IWantDI,45041,afef1eafb5ed0c72a1f46cd0293e219f
19,xRaymoox,45032,5f5999434bb9caa8bb6d4276c59135e8
20,MikoSlime,44898,4d689eeb8491d2797f1933e25fce13bc
21,MikoSaki,44890,3bf02cbfdb33cb778cf995bbfbff8928
22,Ryuika,44855,a986aab6bd88ee728e4d4d6628a0ce62
23,xSangatsu,44680,1a1a6c10f775443abe8e75a054402a8d
24,Jallehbeens,44648,04770fcbf6393bb8ebf4a97e9c5f5e61
25,Mingtum,44608,1682bdd82ed37144c4e3c5bab99d37ac
26,soysfox,44431,0ceaf7c143270aca0ae032808ae986f4
27,Nayutah,44415,3abe17e0104dec1365164d8ec1449417
28,Riwie,44414,9d5706bdb913edfa64135a4fb9a1669a
29,Priestnnynn,44391,3a43d6543005657a1da49de4965eae56
30,Ccuteskittie,44257,01d487ef1d210fed8df8cbfffb59c86d
31,AliNivalis,44235,571e7378016f7bf11b8e006aabc1b3ec
32,Pettanko,44160,fffa93d4f063ee84ed4a9a1bbe4377fe
33,CoffeeLily,44153,061f4af81f4f656b0ec0af0b8d534fa9
34,dragondau,44152,05f2e4664af8f0a4ee22e412c8769817
35,JadeQuandary,44119,89a4503d4f66d8065309aee2fbd6d04c
36,AlphaD,44102,a21704ca80e02424ecb90d19d9debe6b
37,Tasilius,44082,4eaa968cb43859c84ae8e012576d5d81
38,RainyLY,44038,7c95b877a14f4721f0664f61d96f4f4a
39,Sagume,44035,8ab6a2d2839147c46558b0ba1b842504
40,Lmagician7,44006,58eb95bfcb6de87312c4ea3216d7dfc3
41,NomadUS,43975,9f9afced793d796b4c98ede0b2164ff3
42,Kagome,43903,3b289da5e277b7f6ba9aea2a2976d5eb
43,Shibiku,43818,f9d8bacf73f5d8413ce2f8ce7632dea9
44,AzureParagon,43799,dbcccea3207c244abff0d30d2270180d
45,GenoSyde,43783,0fda83c31f7d60f8c6c8edaf3ed222ea
46,SoyJuanPa,43761,a5bb46bf82a2f3a529641b4fef64be48
47,InDivWeTrust,43644,f398c5f7f9f2d0b1a5b348f387b79396
48,Xinwhaleeee,43550,94470ca0e335b2a70b8b82f1083a7b37
49,Elezabeth,43392,f9f61b1099e7a72809c5b985586cbf46
50,Domanis,43345,8a5af7bce63292f3c4f00d8bbb472df0
51,AmberLynx,43332,973c4d78c7461e6fa5fd8a22e00946c8
52,Kousha,43191,8b25409816d95e4f775d622c09943692
53,Spherulitic,43161,e26f4be5821e07fb230ebc16918db406
54,abing6666666,43090,7bb5554ca03e8fbea02f5526ab6a275b
55,HeavenPigger,43029,f491ed49659356ccd8081c628b600653
56,FaintDream,43020,23be61d089a9f9b9d960d982c4cbde14
57,MintRosary,42904,e8c7c482cb104b39eb36d8dc82275ab6
58,Miokono,42495,bd74ec055b0f53b093f83e4dc54170d1
59,FeelsTakaMan,42451,20eb4950b4d651d697e5dab7a901e6c7
60,DimSorcery,42441,9b821714d58c48cb8a5076bf90f4316c
61,ChicKenHat,42369,454c37975f15ad939ef189835a7e15fa
62,Jigglypuff27,42317,0aaf9a4115fecc2536e4fb68024bd0db
63,Lusamie,42308,3684679908455952be4cd0f399526ed5
64,SeiryuNoHana,42287,d1f1d11bd71bddd4b675bfb3d478e8a7
65,Evandel,42283,f3ff423c32dd274127eaaf3179d1b97a
66,AdiaosNN,41765,e59bb6dca998da63697717cbad5221b1
67,Hakure1Reimu,41697,0bdf9347d3733f665626a59a559720cb
68,Kizali,41682,c6cbb1fd37a25422e89e0fed4f82a7de
69,ShamanDar,41596,8d7ac19fb9519cc7492f3d6e3a1c921c
70,ElderTiamat,41555,814da6c95348afef828849b11ebadfbb
71,FanLaNorne,41476,69f9b9a90e4767c69a37cddc1c58b2f4
72,BidenBlaster,41467,5d25da90ad731e8976116a1fc0329701
73,Mooko,41404,8096dbbf759480f0d1dbfb2e2c9562df
74,RisekoLong,41395,28b6ab7a2788749279c1dd29012c2141
75,Amane,41392,62fbe2f57c2a75183a2b2957409537c9
76,Karisan,41352,3be89a23dfadd9a06ace3dc67d5d3b91
77,babydong20,41330,fdc0521dae648b3c316c495ac77f90fb
78,Renabi,41256,c22eaa44d0175c4f4cf1af1af208b5c8
79,Iamtoolazy,41222,21f270e6fdfd54f1ecaadeaebd958ccd
80,PuppyRose,41168,e7817472d2980dc9d333b4aa9f52a1c1
81,JomsLL,41127,9c22111c7086ef591a229ab11e201736
82,TWmagic,41070,63fadf569490bac2950dbff1fd1896f5
83,FrankyZN,40752,f63e965aff009a5d1f849d2b442c2722
84,lkdasa,40698,66f44841b9a6110be6dfc3e1f3bb6892
