No,IGN,Fame,charId
1,NoisyDanny,49353,a54e6a655532cecfd9b28d75c164d1d3
2,DiabloJones,49192,d0eff20dfc2916745acb764355d8c8be
3,Rachepilger,49172,a95fe34d3558936772ef2f8a98e9be1c
4,SYueSS,49082,1d5573ec2205ec42f3e9fd1b890bf0ab
5,melomelo,47707,d9f8b9139e998bd1e17dca60e2184801
6,Wraithwalker,47293,176971f190c133864977a92419e16ce4
7,Gazriel,47176,20760af079c01e0792b41dfb3fe8b1c6
8,SoulofScythe,47151,b8e50d5aecd5d89c88af71301ed16225
9,HeiLaotou,47114,a52055face83a25328d57bbecc8857b2
10,DKdevil,46822,da0c523a2aa3c9cfbb3155dbb774cfd1
11,demoncrosses,46674,b57f8700f60148a37e049f628393e900
12,xImmortal,46666,1b2bc717017f99720e5e271f40435e69
13,Vengetable,46571,f8749250f4ba4fbe113d9029d9097dbd
14,Devilya,46408,2dbd4f41c397b2a2c291298a4e017b64
15,EdgarAllen,46374,73eb4f0e5f47be4b8104f9b791b64403
16,DemonCrabs,46315,927a523b284701f27fddb93a1f7eab6e
17,YuXiaoBao,46273,0be2b2715ce08b73293667f264e82b4a
18,TeleAvenger,46037,23dfe7d38f9055942f8d46f7bb34ccef
19,Vaiking,45873,826d9e06ad3631de02594a7a9ec66718
20,Hess1an,45873,21ac24c25195af9033ccfb078653fe0d
21,OrlandoDoom,45828,fc4e515c27fdc689503074ce8e5e2f45
22,ChickenBlack,45624,2763a0e48bb36e6ab0b896373e3071b5
23,FallenTemple,45481,fc2e9fc949514f5521b9981878e90bae
24,Ainzuria,45243,38e8f7f4b11463427e2456d0e21f2ded
25,ParmesanBar,45157,481c27257804b681fbb9eff69c94ec94
26,savage5609,45041,75906bd7a5e57b7e678d263eb524fad5
27,GrimRook,44893,2c2699d6ae3a1b000a5a7a5aa8c7bb15
28,HelloSaint,44844,a053369a042c9680d9b6f9412ee81fcc
29,BlackDoge,44710,f944ce89d9f31f5101b52fe04af32fa6
30,FinnBalor,44668,ce82a544623e3cdfc880a558f4f6b759
31,KurokomaSaki,44593,083b93c7cfe7f52e525415d8afca9c0e
32,LiangGu1,44556,1ce724f6be84224992a506ba19f97814
33,Zolvath,44507,66f2c4581d930621821056db8368cfba
34,Nicholasss,44437,2872a694f74a725d1d8760ca0c02f29f
35,GravityVice,44429,019f10301ae0402172622f431c263919
36,Solconos,44340,0703cc6a0c92ddd89e3bc178a103ada3
37,Orkar,44034,cb901b325352466b5d2fc820279519d5
38,xLoveDaddyx,43943,04502d9bbf3e42af972f4cc7cf4a08f5
39,D1aoBaoLe,43924,80f2b4728e072df7412569ee1501f675
40,RigelXXV,43842,c725d27ed05e43e20876373364217aec
41,stickin,43680,f29461a36635f9feb7add3e8dd144ecb
42,Indefinitely,43612,aaf5ae1cad5e2bb40d91c9cedb3491a1
43,Aierfuman,43604,e4c4163d7b12bb1dd86c5ec961656b41
44,LazyDemon7,43550,eee17280c6f48647ef00967ad5f53484
45,GabeGrant,43459,9eaf6484e6641241177bfb5d55b08a2d
46,Deltross,43365,f2fb3b6ec72204dd761ba680284f5ac9
47,gryffindor1,43073,8b76294d515ffdcae3838046bfb54143
48,UrDadddy,42846,9bae851931a414db855d051bcccd7929
49,GodOfMine18,42631,fb0957b4c806b7456fc53c12447b26b3
50,Demon_Lee,42622,1d6ddbc16276af466693b9edcdc13048
51,DoomPhonk,42579,4c203873464c5b9b83ab5781ed646457
52,Disordained,42299,65c889b959025c76ccd2c3386c5ad977
53,Tooler2haa,42297,7f60bf32f7e6dc85d1008bf4293eff28
54,Justsito1st,42257,b9aaf1a608bb3d1d8d999f2e20348fce
55,AvengerDar,42229,29de650e59600a52d52a87c08c68437f
56,ETLUCZ,42074,546f842dce0eb1d321a3f35583906576
57,AvengerCoats,41872,d1714da27fb3c648ca0d0443ffc4d91c
58,AsusAvenger,41710,e75bb61e9b210db27d2736af8a7d0c43
59,Lucjusz,41535,3073bf82c93c210dbe8688a5b43dbf1f
60,ShadowKyle,41530,bb60122e173f1e1c2feba4b95e63fd3e
61,LANGPANG,41485,871b12aaa255f1ce9d24a25c0c8d831c
62,AmosDeVenger,41364,90e0945dde5a873627aefe7085dfcc08
63,EdgeIsCallin,41306,92a0ffe9adbfa046e19dc92418ce0447
64,Mitsukagami,41293,78e16afcd45d4e8424f3c9baf54368b0
65,Rinotiyoetsu,41284,edc0d8466f4ea26cebd127bfd691aeac
66,Terracina,41222,ccdcf79f1f0285b779b3dc21fa42ba5c
67,Fnork,41154,819a68142432c14a241606e82cc77b1d
68,TorturedLamb,41135,db87350791bdd374aac03991daffe3a2
69,KuroIncubus,41110,f6646e412ec966760ece0cbaa7ad261b
70,ZyDaddy,41049,6659140d016bd8b22c6b13c8f978d68f
71,ODamn,40953,74b3362b19e17572c612ae3af495bfb2
72,Steedh,40874,9accb38cf35191c775e38733e3c9364c
73,ZeruxUmbra,40847,f147b998e71fccfb1bf09b02bd7b80c5
74,HaadoGei,40818,c285e54fbf14847f0fecdea362baa001
75,FuAi,40785,de067753d6a91291d65f32998ca70685
76,Carnel,40777,d5b2aea64a142c463a2d052a54e9b141
77,Kageyori,40751,e4a88350548ca2d8fb42d3093614fe82
78,Clurrnis,40718,2ae74d4cd86b75685ec8c47d31d917b8
79,GreedingGoar,40685,55d96a93a65dbc3b6c5afa90a6e66e04
80,Chillling,40639,71e3e71ae12ca3a7e5bd6ffaabc2ea45
81,10busja,40603,6b995d8208ff895bdc2cf6e67573f7ee
82,Iritio,40462,47abcbd0c21edd6e0c4c77f03cee31b5
83,Rokurota,40428,5f70251a6f27955f8487fe92df235314
84,Gado1,40398,39cabeaaac885cee5bd0ffc2da679b7e
85,LoneWolfZ,40383,96a4d793f4e3215e6c4e5794ba660f80
86,SoulAvenges,40354,8e359e0572e3057304cadf7e3ebf9e70
87,Terkoize,40342,271bd99d1907c22452b41a91b37037f7
88,HotXDaddy,40205,8a462f8f354480e3563cdcc325608f99
89,Souzen,40159,bd1438dc34d3586d462723beb9f4809c
90,Zarmas,39986,c220a84ac5e72f09e03615da943fc327
91,PuJust2,39975,e475d7d3b7eb4938ecc8e09f7ddfb64f
92,GGeel,39937,21b5ee8eb546e330bf27c06e77c71b7e
93,Innmortal,39833,da90ba2bfdaa962616978877c8a6a098
94,Necrophades,39769,b50f580019a3e7522a23af32e05b6208
95,TediorePearl,39732,f575b64d8570dfdd505d8cc9116dfefe
96,TigerFiend,39656,63d30b177db70d4a3a9ed82492785d87
97,0Okumura0,39641,8a3ccc53149b1a8720578770b157a32f
98,BLACKIIYOO,39640,3a4d55bfabe9262016def7d0d3b2e812
99,Tauno,39542,a461a163c5528eb5507f1eabea0f2305
100,helmadir,39501,8712f2f1c2b070947c78f4193152c64c
101,Demoniaks,39481,1f10eac8e18e2e37a65ad02c3a2d0b49
102,MrZhaZha,39473,d78cb4835fa10dbe6217015ec5c6ba61
103,ShiniGamiJin,39427,55fc5894e922438f1276d67cdb2b73ad
104,5Justsito,39422,0f3ea6e51a97171b867e3148ccf5a7a3
105,DancingBear,39314,dad7e84c4a33d4657365fa83417c70b3
106,Artellion,39296,b01841192ce7cb2301a16bd48dd1a6c7
107,Roarrrr,39222,7c7dbf1c1862ea39fbae8476f20e27ad
108,TabbyCats,39127,2d84c85364512d6f2c94b1948a10c0d5
109,IsArox,39001,0c437287bf2fe785df01315ac55a0364
110,LazyPower,38993,8a67ff6319f27a84bb97f444229aba5b
111,Avenger97,38882,4f4c88c6d6f5767b423483c1ffea682b
112,GreatHetako,38854,fd7f51fd4933af835be9ff3ec2108000
113,NwekoNoire,38590,6c872e44c1784a06c14df1ad26d27b0e
114,jayimmortal,38541,b91bd36078d15bee64792992341aa1b8
115,Aviarrus,38530,d186e1e52ac6deed2e55ad111621a488
116,Sedrik,38512,b2bb4ce598563ba2362e5ea16cd21783
117,ogijojdsfkl,38467,0dddbd0cac29bc92302323910416d82e
118,OtroAvenger,38429,37919c265652c01a52fb28a000e08f01
119,noriakisaku,38403,6e21e8a1da74e4d6ab24c92e63775020
120,RayOfDark,38399,a4d62652cae4faf144a8f60557d1f617
121,TweMul,38346,9f92b87c54888137cf8c984e96fccfec
122,policarpio,38298,a5547a10e738e98d925341fad8e1c12a
123,DarthLight,38295,42610d1d1b5595c9b0b798e7257aba67
124,NeoAvocado,38189,7dd45f9fd5d9bdb09f3fff308d4735ee
125,CorteNilvas,38177,62a81f787e84c7066736624ea5eb3210
126,Justplei,38043,782a354ec6b31f490fc51fa948a97b20
