No,IGN,Fame,charId
1,SYueLQ,49833,80b3bec5d6774c8c3cd60ed6fd7858cc
2,3YearoldKid,49624,55b55e98f6ea1089e10d239ff913ebd7
3,llKll,49373,7d548624a6021dbbe33334a347a6cedd
4,Kelerodrin,49315,7f3bbd09e27662ba0c5453258cbb3197
5,QuanLaotou,49223,80974e50b119aa56d5503f80a9ef67ce
6,IFunkFLEX,48788,d5632a097a1b8f157e4335a94af3b1dd
7,BruceCaI,48783,a382321222bebde200a327f3e171f7e2
8,LaddyPiggy,48657,c6809acfc22c3dc537e10c24d7636f79
9,BoomBoom9,48627,3c3d5c1c5f639ea598d61498ccde96ad
10,BenAuton,48403,c7c3ddda8a4d89103ac1b9f091c5964e
11,OneMonkPunch,48179,b2a0990beea3cdd57fa096c4d415fd18
12,MoonJaeln,48035,b9e0bd174b8eb27c0b77282bd729f466
13,ManchegoBar,47765,aa686ddd841d15ac2354fe37fe2bbbf4
14,Heracles`,47750,48354c1ae9974a3cbc164ff0b76e0e91
15,GLAMLULU,47678,5ed0145326d596fd738ef7b2bbfb6fc0
16,SnowNekoFist,47409,99fa12f92d7f36b5ce346d6e4e9cc60e
17,click,47343,a087bf80b3d0548fed4d7364ba19ad76
18,yaming,47265,c3eacccc191c12cddd692946257b779e
19,FistWill,47140,8c0a75a1486e39898bc72f7c3fdec508
20,Rincarnation,47072,cc5fa48ff9892b235ee862e5a8b3c156
21,Jennnn,47031,48e27921c47ac13f989f24f676533cd2
22,iStrayer,46942,8be3a6e3f2af811a25313331f86e4106
23,JoJoWryyyy,46772,f9194a525852b3a35ab68db16830afde
24,TrueJustice,46715,e0b8f2f5e25561ae5f1aefb46886ff59
25,DKboxing,46683,09b4c23fdb4efe676f8b57f1e5a3c7e4
26,0r0ch1,46647,b8da76cfbe06b8988bb6f883e9b91302
27,Castigation,46460,aa66e1c0cf2911c2818e5c94b6103772
28,Aki_Rinco,46336,bf2ac2dc59bdfc9194ef6bf3ec29f40f
29,PurifyEvil,46324,23c9d91f27386a7b48789ee4303f9b13
30,CuppaTeaEX,46288,46bf4099f88516f538d900e9af1136fc
31,xDMGx,46199,6508d04d29f6cd58f59d56ec373331f0
32,InfighterCH,46150,2f91169ab4159db593a4ce2045394f5b
33,AvgJoe,46126,9e35f755b0fc27597a2679a56dab30e1
34,leaderWrath,46074,ec50e8fac5e9f088bdc23c2af78bf8cb
35,J0J0Refrence,46071,3207f958d0416a6fb457ad52290c4989
36,Punishmet,46047,57534d33e0da3c0b82fdaf80b3c279ad
37,AssKick,46006,68b4009bfb7d8aad5955198c8806e50f
38,WindofWay,45980,4be980a97174a5227719c22d1efd273d
39,NekoPuncha,45970,8422eaa54cc1afc29905fd7695fcbd76
40,XuTT,45862,6401f7b0c3aa49eea8b48b6922d56efb
41,Malju,45830,3a896010a8745a312108c8a64ca0de55
42,TotemMyPenis,45803,9ce5bd415847572f31110a4c54a265d5
43,PepegaPunch,45778,719d699b5d35ea0c7da97b068f57aff5
44,KamiNoSupai,45580,3863a4b1b2c990fa042f0aa4196d4114
45,BrokenReiner,45509,80b5e751b172a241c0d54b39d6ca468d
46,DisruptiveLQ,45502,37d6e15821403f2cb0ddbaec55fc3339
47,DaddySays,45501,cdfda9a30542ecc5be30479a8a1da36f
48,loliyummy,45489,989b62537df74bd7a680a1396a2b9763
49,ziqqeR,45423,7343aa5db1e1c03084749e01baf132b3
50,ReFisit,45304,7fbe092cd98b3c404b0ef6d3e71f2615
51,Justicore,45237,41dbfb2584fb8d93fe6ecd25d9c7e331
52,JokaThaBoxer,45178,9195df693783b725eeb9e03ec873e9f2
53,MysticGohan,45174,18c9877c63de547bcbd24fd89a147f51
54,11banzhuan11,45089,aa76dd8300e9f9b3a5f3ada31b00522e
55,DepravedFist,45074,85c0b289ffcc9065aa0b1da5ecf9fa78
56,190pangzi,44978,df4804fb1236f7048b437781ecd405dd
57,AoiYume,44936,ad0e6df2ef09994a9339f6762dcf638f
58,Gaizenboga,44931,6ca1f758e084c2184446868110ce6db4
59,ZrainMK,44887,5df871e30a58cc78caf248ec1c9d2346
60,SrDudley,44875,1f380bc22b6e59f7b947b76085a5f406
61,MonkAnji,44875,ea8c54807567b074283a94fe40a1f589
62,GodH4nd,44808,6b22760cc509332a7da64219cee3ade1
63,anshichifan,44800,ec8f07baf72aa7bfa9a6b874c6adce08
64,Peckachu,44724,586b4ff08bc369df2dfaaddd95a9aac9
65,IkkitheDiki,44641,0c7a46162191fa3f0872cfc0bdf08051
66,BatChest,44456,5e3bc58f482928bec086daf2412ee8d8
67,lonewolfmonk,44342,e88132ea56461f8e005d69b48f969f95
68,BattleApollo,44317,2b1fe4b4442a2cd6205fad9d250abe2b
69,Sintora,44212,d54534f06ea7e4eb71c35a7664a38559
70,PunkMonkey,44207,91196ce1424612e7e07bf05260456dd5
71,OnePuntschi,44174,2718bf0f3606e7fb22133380d8258a72
72,Suiken,44133,c8a7d998aa91d2c7abf56aa58d3a15dd
73,BleedsBlue,44097,8b01c6f76716e85b7b8aeb39fa654ad8
74,XiaoHeiGui,44041,306d09b035bfd59732be21d52f542782
75,Reblue,43971,075298163db066a43cf31d5029a476ed
76,Ruyh,43912,da10063f5782a9836259dac49eacb920
77,FuryofGod,43847,0894a1533b76a4445b7db41fe1d31f3d
78,TotemicBraum,43824,84d54e391bde4544fef67bbd65572d49
79,LamberGalio,43816,d223199682411f3938def1dc65282e55
80,JevStinkyman,43774,a95451e9cdd652ce51680478b3a2ad72
81,Monkkingx,43744,30360dbbd0cd76bed3a7f901a1ca65ea
82,OnePunchXL,43699,6a4dcf8d4e74d739929171595cb3e1da
83,RunningWild,43676,993759f3cb219c1803c1cc8b0947c084
84,oBlueMonk,43635,a976030ad797a1909c109c4c17731d25
85,OlAOlAOOOO,43607,6f05def354726cee03030a51d7b0f96d
86,BangTamashii,43546,583395d8f6e0f4a7f2f50b9a509f3d4f
87,FastPunchBoy,43454,4b67f532eb1210775be4394bcef4fd06
88,Aureign,43439,bf400b63eaabae311ba24a8e385eb19a
89,SenjutsuFist,43414,bc721d208e961506cdb6fd099bac68ab
90,SaitamaD,43407,0806f205de669d95b222165f841c325b
91,EnternalUdon,43373,c819a5f28bcaff1c038ee1a417f91add
92,BigTimeJesus,43356,3c90a7ede7675aa720217dcfc78a9595
93,TempPlayer,43323,41f6bdf4ebc999d0ce45b427db632b0e
94,J0lJ0,43298,fae8df8987ed8fe1a41ecc9c25944f5e
95,Sedrane,43290,c8296e4250901985d442ba0bddd80dd6
96,JunkoHecatia,43239,67537fc0e468221d3ab7476aa356b4f7
97,BlueFistKun,43200,185746c4cff19f2ced34cfd51f94f1b4
98,JohnnyBoo,43106,1c29366b96f5fea0a2d388191b74fd56
99,5l3l1Diet,43073,67f0d767e47095cc9b0d41eeff57f8ec
100,KingsJustice,43000,5e96d8e56bec54dc90dfe7acfbad045d
101,SmiteCrabs,42896,c6977624aac7fa126614a84452a53c83
102,xTioSantana,42889,5512348d5b2106a43054f3e00a794a0d
103,TimK,42804,42da75383dcba0ebcc4e5d4c99451bf4
104,RainMonk,42800,398e6feaaee3b916bd374b85e155ba70
105,TrueValor,42792,a88023a971c0fd521959f1bea0283756
106,Dempsey*Roll,42757,93746bfeb0cc4e6148b95fc3943c8170
107,Flizza,42757,6fa3e6008d0f5fbbf76097db4f442a78
108,CorteNirvana,42740,86aa7c647d8893604f37f2d38715e2b2
109,HeavenFinger,42721,da8da6408068e62d8670bffed704556d
110,Nyane16,42679,3591fb664f702d02d86d5a9e6615bf57
111,NewReligion,42660,7f97891c1086af8f2098f3bea6be6772
112,TaoBaoQuann,42621,869cd5139fe7bed5896a22029f40153f
113,Guusoo,42531,69c02ac081274d4685ba00aa31ddf04c
114,FrancoBotte,42526,5d141e249fb53745931d3ea759e9901a
115,B4dBony,42519,4295e1dedcaf32965fba62c0b1eea2bf
116,punchmm,42507,d248527a32e576095d09967a505f796b
117,TimJustice,42438,2dea2e1a56f2cee12446f68c329a2ab1
118,StvFox,42388,a009633234357c8cee037d0b9af402d9
119,SLOWpouh,42233,65c911a6d3902410d2de4834c2ff0656
120,ThousandWind,42191,c595f280ac19abf02c3cb0656215cb74
121,BlueF1st,42159,c2fd83913191b6d873e06dc84976c746
122,BlackPanther,42153,a7a47029f776937d1bce33265c603790
123,1milPunchman,42110,ed234b0d156f8e725afbaae64d4cb852
