No,IGN,Fame,charId
1,xValkyriex,49378,5cc99bca2b163adfd2796d1be489da83
2,NovaTheLust,48955,6ea401bb37052db95ff38867a27411b5
3,SYueJM,48698,099424d2d1437798ef7615ca93ca8992
4,CizzBo,48675,56bac26f0f93c8e11831bac0db2dc6cd
5,AltiraAlter,48530,e44df84b5334738803823f2c3f6f410b
6,AatroxK,48444,998a958d400b75c28c67fd33fc640cd6
7,00H00,48420,d2d5f130a085f691a1947d607622e59b
8,lllAsunalll,48343,c0f3d04eec341b455df0585e38c9f0d0
9,KOIDemonSlay,48336,c982f86b8187588bef5e072d6c6f30ff
10,DemonPool,48202,36afcde4c90a095befe7373996980d3a
11,TgYuki,48067,5335343ee6e29b94c245c1173c9d3d2d
12,OnlyOnePound,48046,4cb0e3a569fc5c2bf8016c18c4d138a7
13,AizenSousuki,47998,c7dc932b2e461b0143ce6047f78a6303
14,SuperBiaoJie,47973,e0ea34976e98b02f38c0c3e169cb9e0a
15,ScarlEst,47931,fe479625257bf5af972946fce8f8c28b
16,WhipProto,47807,a5d9dddc578222f72c376e331d56151f
17,Th3Z3r0,47721,667fc869ab9c40f999c96ae768e6a3da
18,SAWhiteTu,47586,b2af397f5a7806cc6f76dfdb50794a8c
19,RealPDplz,47525,f32ef12b2511cfb9fd2b523fde7749b9
20,Zemj,47507,9803644374dae1d77da0f815d81c6f98
21,MissFutanari,47438,53cd62b11c0e387d0c5f8a40e598d4f8
22,BByo,47403,624bbdb4ba1173875ca5106a45cfc963
23,Magic-Sword,47381,5285eb326e2e09acf383fbfb1702faaf
24,HDdeicide,47307,790a1dcf7bfbf78db04e72711b334a08
25,HoyoNilou,47139,9614f3a057c7c9bdab07836f20f1e0c6
26,Ak2me,47105,2cec5082999b03e62515bb8692e561a6
27,WOBUSHI25,47045,c156a7707b699333f0e6df43612d5431
28,B1tchS1ayer,47031,91e37405c7267c005f1667a37a9b09af
29,LayHolandOn9,46966,50d261d67a1a214e3225604ad6764287
