No,IGN,Fame,charId
1,GloryGoddess,49526,53738f691468babcb3282e031fd65876
2,LisaWu,49524,ac81e83c6bc1c86153c2ba4c87ef4dbd
3,SYueRY,49474,41bc87fc345fa8189b6c085da7906973
4,Moosbo,49456,27aa6da5eae5dcbc6035de0cc281ef02
5,PussyGang,49401,6f9fe15dbf63e699cfad65b250c1d017
6,JomsL,49275,c47a5f9ec26a0382dd01de3aabd984ea
7,ExtraBobaPls,49002,4bb80bfc00c085178e8bdecae7f59d9b
8,RenYingK,48974,690e78c732dc2715076a59773ad52c0a
9,jlee002,48974,d3b4cf44f6af91b2e78a3f76b5e79c90
10,Astarosa,48708,62afecbe00e70eac1d3aae8d47632547
11,BENgONGTING,48650,7c1494c12f29e6ac5ead66309e7dc073
12,oOseeealOo,48573,570c485c8fa2e1d6214f49a9953c18c4
13,SpectrEst,48530,0891ee576f5994a6ffe363d1d5f384f7
14,cjfcsb,48384,07328c5c8687ebd9e23606b3a3ec6755
15,Xiguameimei,48313,0e472b9a9e7c6390d1a961e319591bf3
16,Sints,48292,34681c801ec97a0c4de58b366155fa43
17,BladeXXII,48251,dc85ea878ae1de6178e10a973147ebca
18,ChickenAspec,48132,cf3839c17d3bae1001a3b6f85938b14c
19,Hatsuchiri,48075,7babda75980bf7f17de99bed228be578
20,Seniy,48069,fe53f7aaf802efd33412c9dc9422d7f4
21,Maysie,48067,8162d3be48991f8061bdea7142657cf8
22,SpectacularP,48010,9ca2aeee5e193871b17ff41a8c2eb8e9
23,HinanoSuKi,47940,ffa23cab36c04d2ab3b37b071c6eab76
24,leaderspec,47903,5385aebf3d61d54573ade7bf9c213a62
25,TWDurian,47863,11a9ece241a9fe36c7bf7754076962cc
26,kaozjwe1,47862,76fbd160c6ee59f6afbcc68ae2ce39ba
27,SpectreCh,47798,0438c7ced4f5452871af71835782eec5
28,Blade?,47733,0b498929093ed60cb8112d7cfaa791c7
29,-Deviant,47696,45339e26f1242938f5aee2dff90041f5
30,jlee001,47676,67e168bf705ca9c5b0770d1ca8821561
31,MaidenRei,47610,ae7aa6c72c96145dcabdc24dbf27aff2
32,Capricornnn,47582,c9570621311359e824cd3f545bec8a78
33,`Silence,47519,8c29b51c6565d539ebd83a4dae1a8e58
34,SpectreChock,47456,37ace037cfd6b3700f3668f66042e13d
35,HDspectre,47433,194a2fbe6d5e03fc1ba2d09c33c945d4
36,5Qian,47423,a8183d04c16ac448ce74282b7dc838da
37,HHHspectre,47421,698e3b94ba4e7ef10137293257161f42
38,SpectreQueen,47417,f331533059914787619ca7b76b21eb6b
39,WireSquares,47371,f4828532a7f2d87113d3ff86b7486f8d
40,Albegege,47337,4bef5fc6e34fa9e1e6cc29ccc81b730f
41,Yu7xSpectre,47313,21b5a662931295f8860f13d5b22ade0f
42,xXxGiraffe,47293,1cbc565b870ac902fc8f05a01a0c732d
43,Lesloma,47278,ec1b687a89f29dec3f1dcad8972c847d
44,BigPatPatxx`,47216,77187ee50d4b8705ef1308ec4451ddb8
45,GaiSpectre,47191,849a345c456574b32707b7b429beb467
46,gatinho,47176,70fd29319dad770430d7c81a3e986b9c
47,DOEO,47130,e0fc4577b5b1aaa8fc3fc07d6344f01e
48,Terqoiz,47129,fe2e14bb944b159663d5d69671d845ab
49,HawaiiEdge,47115,f5b14b72e2870e3f5be80ab4f2717201
50,SPcuber,47089,e4ee990cd342741449dda31ab947b62c
51,Myeol,47087,ed183ae327686ade32d4582b830ecb5d
52,SerenadeA,47059,445912a4de9ad24611a86febcfb8c95a
53,plist,47053,366e47d3113eaf0cffdf81d6ac804cb3
54,AABBmythmake,47020,7420098d29cc2aa6fd3b9feb88fb171c
55,Spectxn,47007,d8bebcd4a448029fb2be9daf1716b944
56,xiSunglasses,46963,58df0f26df353231fe797eb2fa15e4d1
57,SuperBlanca,46953,e7d3895fcfac10e2e11b500885329c3d
58,GZZSpectre,46936,ad1965f6e66dbda8085f96be6e26a9fe
59,NoGoodNoMind,46914,b503c4474a83a9c4e7436f49af06751f
60,Aunrie,46910,aea0394a8eded36d2064ebafc8a8f1b8
61,Sukiss,46906,473b89c73d75de51702965f005447704
62,Hashwald,46905,b12433e3dd0a36d9ab0f44343517df75
63,Kimojis,46859,fb9655c683a9d1b907486877b4b409b3
64,AvaDiana,46858,0518fdfb92b129836a72bc1c2f1897e7
65,DrJumba,46844,4cbcb50750b2562807984eab65da2739
66,spacecrosses,46828,e91eebf790bf4a8c10aa56f578beea64
67,TokiwaKano,46812,5241977a204bab256ddabdbeb45df9da
68,Carolknight,46810,b28c7bb77b88453f5a9baa5f674426b6
69,YuuSaruei,46792,4a3ff9b3502b0e495b6a185a02cf3ca1
70,Yilona,46785,f2d332fff58552b98e0db5384cc38ceb
71,bladebroken,46781,03ba6baf71b1c7a79c96421441ff52ae
72,HeHeGirl,46758,7b87a2ef0d217646cd5353c258256e7b
73,skdry,46744,06a369f70bb7aa2c868d35b75aed1572
74,DKflash,46710,11b257dfd2341dc2d2d0510c4a55fd0d
75,JanDiceBrove,46702,7f8f08c29abbba9215edede616e73388
76,Saberny,46686,38f83aae9751f0a1b432bdeeb1a4425a
77,Trennen,46648,cbd1abce55732eae8ef0856feb623ee3
78,SchwArm,46646,96d75b3c363824255dd1781d83de3df4
79,WireDancer,46643,6bda14bb954e2663b0960243c1382b77
80,iTwiceNayeon,46640,5032c31d6b1f2607c42836d4c797bf32
81,MinNuo,46639,e0450f10202a802b469a124032a99d89
82,WomenInBlack,46636,bc9446469b30f6c1eeefe8f2fca98ab1
83,UkyoTatibana,46627,365cb0c7c44b726680dd15f1fd1f12cd
84,woaiinn,46605,8fb9b4f6bd33fb18dc405c2755d31c6b
85,LolitaMiya,46601,2fbec4b67b59a554c660f99c4b4df3b7
86,-Blade-,46548,81ad9a6292218229670212baf106e19c
87,Finorza,46545,ede018a012a4207ddc941064d93a06b7
88,IrisRuby,46526,771362c560f36e89317a0c9515a03ab0
89,KozukataYuri,46513,6af4c17b959a6cf4275b3843497edaca
90,KimchiBobo,46501,4f85d9a3e5c0a114886d88e2a60e3524
91,Pasbelletti,46496,2849f04d988e63e5583429f4017f39ea
92,GaiJie,46494,c1e34e324c32805d76a671c00bc6a478
93,HakaseFuyuki,46464,b17a1c9dea080972a831afacbfadc24e
94,VentureDios,46392,e4c978fc5703cea46ec17c71d8249371
95,SummerSalt0,46359,470c085125b69e7fe45adc1fd351ddd5
96,McMommy,46331,63a9d3c86c5e55e8517b73a342738ab4
97,AnneDancer,46330,75073405abba7e384d61e5ac685b49df
98,KnifePanther,46282,40da37c50d604d142aabeb732e2826de
99,1ooooka,46275,0c1615d14f0131e126e6eb88d88b6f95
100,xxBayoneytta,46244,98b91218c8d2c7bf090fa3b47b3cb711
101,MusouShinset,46242,494554e4a09e8a827dd8c6296324df05
102,SwaggyKaiye,46213,821d42e4aecf1f2a0f2515bc80acd168
103,Ruthle55,46203,700eb4119536770315e2dc1bff5e280c
104,RowletBlade,46186,7499bb960c1cd22d8039708d07047a62
105,SenseiA$S,46168,9f6c7199f1b94d57bc89089c5ff2b2ab
106,NovaTheBlade,46148,0de27d177815dcd25adcd43b5cad203a
107,Dps0010,46131,2e74bde9b88ff93462e5b8f7776210bb
108,NeSpectre,46130,c2d094194f0edfbb6b1503500a5affd9
109,Ealster,46100,47bb5cbf83218948ba8f5b0c7f1f5c8d
110,Spectredyn,46099,9c64917f01f71c8436fbc7ebc1ce574f
111,XSpectre,46086,b6f23a74839dd663b398c186e8e8ce23
112,PowerSama,46077,ae98d8825e05159cd706f72dd00675a2
113,Phasansheer,46070,abc00431b560feacb07d32ff908524ee
114,WoTangLe,46064,618353fa5978d366d92a7a3031c68988
115,Ironuki,46045,7b9faf39dde1d931752d4388464e3eec
116,Synjiz,46044,4a9631e7785406b84301fca5e9cd39a4
117,SnowSpectre,46037,1e027497a87491f6143af59ca2b11cc0
118,LucifinilRV,46018,680e0a2150dfb282c994b1b1ee1e140b
119,LoIUve3000,46012,bae3e28d713feb8693b03bc520fb5080
120,ooLADYoo,46009,9a189664c34d2c531c06147d7febad98
121,DPPxHyoon,45979,63c1fc4f5709c6a5a3523a45523c867e
122,CryuSpectre,45979,d10125d4b781550be29a6d907548501a
123,Sicilienne,45944,28078c97025f1d61f63024e65e9fb08d
124,WireProto,45938,41ee70da34b7ce6345c2e3f0255127c4
125,MoonHua12,45911,25b8c878f0f99a763781f7edd1c01d0d
126,NvsbleSpectr,45908,25d4b8204de88d1c5f7c72db89fa1669
127,Shikiiiii,45902,2cdd8bdb3c6b0fa1874843498a87d68d
128,IceDarkSword,45900,27673f487d8542e773b81fce6f641447
129,Jyazuigooo,45892,e58160de8cebaeb47337f81cef84e9bc
130,Kishimu,45886,e9a3ae147b5aeb981ee6bb4f5ec82289
131,Mavispiggy,45880,e7443760fdd01eff240618fb505be401
132,PetaleNoir,45873,e2f7e51f06998f199ba28ceeb43ee0d2
133,XxBayonettax,45872,4dce43deb12c713381110f7beb0bfcf9
