No,IGN,Fame,charId
1,MoreHentai,49543,a22bd91d014a8e2a35b65c86631a9cf4
2,KaleidoEst,49404,0559a9dbbf779980a0cfc81fcc0902e9
3,GouLei,49302,6c9f6409fc0fbffe57db50457fb9dfbe
4,NanaAya,49097,6a41ee29cfe8e0f5a1b4ea94437d5479
5,SaberBai,49053,91e866e50574f5c71a054c13ed9f0442
6,KittySalad,48815,c1429363044594429b198e1800baf65a
7,XiaogeHenry,48733,234a86f4950274f44cae7b4f3f2bdb84
8,KOISword,48639,aae300e1dfc999365d0b7409713d7d8c
9,Zierael,48420,eadb736c10414fc67720deca621f09e5
10,CryingBlades,48315,1e4852f1b1c717e09da9b7156b5b0028
11,Reala,48257,49996d8b694489f249f967cbdb618532
12,KokoHa,48134,f0adf65265634faede3f185e4785b7a1
13,jiaojiejiela,48126,ce081f520b903a24bc45f93d1683ca5b
14,Andromedaaa,48065,8bdaf094f00868cc3c4a25544629ca71
15,DPyc,48053,5dc7d388da465584cd27d19aecb5d84a
16,Somanim,48052,bbaddf07ee824707775a31f8c797ca31
17,10010Sword,47969,9a16dcd477b13986ebf3635ad4e9b0ab
18,CrystalSun,47830,6795c92a4e7aa1b7f9db34119c11d765
19,KaguraDPP,47544,6cbad70034401d985cb997da27f06977
20,Albso,47527,055d5fe5c70d8e9e52548a47780a6208
21,Gzen,47423,9088f94cf4f2f5f1e58ff8a599985aa9
22,nnbaby3,47422,190eca816d0269c5a2f0e37114a19de1
23,GeNeFlower,47368,a4593a859464ec34b3822acc390b6787
24,bibimmandu,47353,65ae41b111361bc26da01c8a42885b8a
25,JuggMajesty,47333,ed5c1827d560090fe7f9c91f52256581
26,xMetalliax,47288,6629dc48cb590c85e5a970cdc058074f
27,icewithrice,47210,9a16b94526521a4fdd1bb8832eca6938
28,XxPiltoverxX,47207,bdca59f5f75dc43a0501852679172c71
29,LoveEmilia,47182,ac1df719109432fc3fbc11f7eb31ef1f
30,GwyndolinSay,47017,036cca1eabbe0ae87521a8ef4629c516
31,HDmajesty,47008,fb4a97580727b4a60e8fee631b96e9bd
32,lLightSwordl,46979,044b1b760f813c2abd53d0074a89ce19
33,CanNotFreeze,46974,780de42cd0ba928900e55131705f9dfe
34,Anfractuous,46910,3ba39e55751a8b0545b3c15b49ccc214
35,Vampmega,46871,71055db9cd16be53468bf90e7cf649bd
36,SaberComplex,46811,d4a9f65644985ba6a11f1556405f80e6
37,EdogawaKonan,46786,7d91039507dd89ae70074404fc7ec8f2
38,Melisaking,46771,5b8371a1422149c927d98f6244381578
39,Soltalionis,46768,6ff1a181aff67bb5d963b4939eb54a6d
40,IDemonQueenI,46661,81fcc1aeb5b02d7e4cd909708d61fa93
41,Tarnisher,46651,1e07672cec445ee654aae2533beebb4b
42,NobleElement,46613,1b7a14cd20fb09617918da71f16e06d0
43,SwordDirk,46603,03121bbd583bbaff0458a81ffb05c18d
44,Ouame,46517,31a0fff32d81198fc48adad2e437ea51
45,RCCTS,46506,71ee0994ba7081b1b7bc4d768840449c
46,A1ishia,46474,76934d0000307430de6e450386a8c8cb
47,Lamigogo,46447,b8389d079a372a392e5d5062d42f4771
48,Yungzhen,46376,78111aadd9f2bcb89ff12e492c6fe3cc
49,LittleGlory,46255,a9effdf7c6229f12eace09c6e3419b5d
50,MajestySabre,46236,e8c9d7a8d96bc6f09594926c043fdf7b
51,Stirpium,46223,ddd45df9d3f867c032dbd56647efac52
52,Incipience,46187,bbbba62ae38819fbea12857179890ad2
53,Majestier,46146,297b542d433f6cc08b76cc9cd8e6bf4e
54,Cathybaby,46136,9f6ad9ac0a7b9c75450d9a0dea5834aa
55,RapKingBJY,46075,d3dab81713e215c9870e7ffb0f80dd29
56,NewGays,46074,2acfd0304a4f41b2966e5f63d9459213
57,NobleSlime,46026,87ee764d2dd6b3ed751309e03885ce12
58,InSMWeTrust,45998,42f1779dad8eab1488d8ca30211feffa
59,zemy,45983,bfead41e823a13ef2b481d9680cbb3f4
60,SiYuanMieMie,45960,03feaff4d76416213a5d3448dd6bb089
61,WishM,45910,69218580c9297b3d78091c5e2d982380
62,TgSakura,45821,066e3fb7edce8e892bb0fad785f1fd19
63,Tesutarosa,45777,dde9f615b59fed1f67eef01564c320d0
64,HaruOuO,45730,7ff6d963a61898a57bee8ae4614c4261
65,TheInst,45714,9552616fd9fb44ba3ef4ef76dc05afbf
66,skdjz,45645,58fc99a7c0c6741df564bddea969f3d6
67,Swordarine,45569,89ff9d01b741b1ac6a63780ec9ba6ebc
68,Nunae,45556,60c1d0b2c8fc2c2cd5d1cf2b21164785
69,Ciliegia,45506,26eacdc5d4aed0df6b87aac4628b53a2
70,Trickiz,45465,eb46193cc38eb7d856bb463034b80545
71,Kiria,45397,34936e8862b6c5db5827f894c227e32a
72,AliasM,45374,d42752a3d9b8aa33a77e411962d41678
73,SEEEM,45298,4d4d9b506ae5d3a75393dcf465d29e33
74,SwordTomb,45296,8317e0aef0c7af677d7690c51cd3e04e
75,ZMMajesty,45226,91aed718ae69bcf1efb6558bb527ab20
76,MadSky,45075,ac5aa4451b825a3ebca983b9b94d0e78
77,DontplaySwM,44985,e546d7bec6f44f929abb8285da029cf1
78,KenseTelecia,44925,36566e2c24c4ada2e567fa69d7c001fb
79,Koruri,44891,33f7f71b443aefb5c1d8ccad2860e797
80,Ieva,44771,64234dc850f28443ed3ccb1b4fc6554f
81,ClaireFenrir,44769,efca3e314157df1a191936d13e064243
