No,IGN,Fame,charId
1,Laevatain,49659,8bc826fd8e42754ff2e99cc720af3a0d
2,BubbleTnoT,49650,00b4de9cd0aefed1381315abcbdde495
3,Topo1,49571,916c9908a151e7771302d5c8de6338ee
4,Hawaiislayer,49470,c6e210a2dc97d9778375c2c5c3dae056
5,Tokinada,49418,f090d38b6532e19efa20c095ec24ee76
6,Receptive,49370,bf861b1d3f24d55d713005d24fa6feea
7,ChickenVaga,49314,06a2d6dd56d2340dcbe08009afc8bb29
8,Seule,49293,a617e9afee6a1d1ed33d609181976d63
9,B0R0S,49200,30e8612d3cc636568e6cc9275e057353
10,XueXin,49159,952e9cbc1601561ff4290c724dbc107e
11,HoyoAyaka,49116,2bd93f67b521dbef65ec8d711ba58ab8
12,NekoBot,49014,898dc38d33b966d6704258893dbb4223
13,Regretting,48777,2e25ad43cd7b37726d0eb1a2f51298fd
14,SakuraYCX,48734,2fe7d5a21db6806a4945bcf18af8a180
15,KawiVaga,48681,a47ddd85cbc253f74c9c745a68347505
16,mom11y,48668,a64361ac9738da4213c8b2a9d59b7702
17,Nagomin,48653,4f7fa4ff0def9f1bfba52b7f496944fd
18,AsteriskEst,48619,4987fdbe4c5ec6278a4da8179bab1d00
19,Dps00001,48578,ee7e543641049eace30f335d8021b740
20,HaoMeiK,48558,2f84feadf3933f15d3d1822e61fb87f6
21,Kthuis,48417,b0098928c3b6b46c3ede74aba7e84862
22,CcuteKatie,48342,4945cc6b87ae68326254765b80381bb6
23,woainn,48329,433b4ea1838fa1831e869db8c9ecab3c
24,WildnNn,48301,ac26c4cd95eec1abd996882ac78712fd
25,Flowerboom9,48288,69e5b0daaab40de80f96c7630189ef99
26,95Athena,48283,e37d9db2db4330715bdc334722e3ab2e
27,YesDay,48227,c2729f120d6d0dacb251364cb23d9267
28,2HaaDoggy,48095,d4b46ecd7ccf16debd8b737875815d06
29,leaderflash,48059,7450f78c91c5cee3780666598748f947
30,HHHvagabond,48037,1aaa1d1e572f2d9a4d4813d89df44b87
31,Yuuuukiiiiii,48014,f966204eec77f84338b88ec97b8cb7f8
32,MoonsEmpress,48010,3a355ada425d2a033643500356eeefa4
33,LonelyMoon,47971,b54340400765baf507bb5afc11b83558
34,HDvagabond,47865,59bf51ef74949848d46c6cae648ae047
35,Keahl,47783,b5188911ec04648a6f046a91114b7af7
36,NightCareH,47682,cae40273cff4c003b9620cc3d0945cc4
37,Pyrexen,47663,d997e55e0379c3c624485e9618b58061
38,Chirourou1,47595,c1f2d78b0ac569ffc885dc112d639219
39,Dancermilk,47591,e89cd2340ac4abe1a42e261ccd76e0d9
40,YorHira,47585,cbebbd7206f486f807ee59df8c37bb15
41,Akiute,47556,0c6b7d880a5a4480e300c4c2c061866b
42,KenseiAstrea,47523,3785b7fe15243060dfabc2ae87450bb9
43,SinisterLies,47510,41a18ee8d681c34c721a3e62298d2c8e
44,SongSeol,47499,63945d6fe14fd0b8e858afeb3ec6dc3b
45,FrozenTvT,47468,46d62872bbbee62029904d10c767fa46
46,Mumos,47431,e7a79e4d7a19c8fd5c344127791a6c99
47,Robatayaki,47351,4302d1d7eda99a54c79c5a0979bcff63
48,DiceBlossom,47341,7423ac44069de169277d6e38c36255ab
49,SakuraDances,47328,bf838d19070d85ff5d2c9f081ec2852a
50,PotesTateSy,47321,95cc165d547bd623cfbc46d46897a183
51,LeeWind,47296,281c020b9524bd67cc3e069d27069f89
52,DarKAngeLas,47228,d933d89208ee44b3f5cbd7acacd2ceac
53,DcupBeauty,47219,a2939396d41150aa128837a757b91c95
54,SuPeRiCiaL6,47181,34e202e64f6b19f4ec106414f0b760d8
55,llRedQueenll,47155,420d3358381d784349c3ac9f43da60c4
56,Keah1,47129,679a1e94ca530c6f9a3ae40244e128c4
57,DaliaRomina,47049,639f0a4437806fd5a90d6e4663911245
58,jlee1,47032,b464a7a78a7dafae1a27af22f08f8fd9
59,T0Vagabond,47017,a52838207aab01455069110f3d8e0a51
60,GaryWuQing,47012,f38e42c267a64921dbd64a2211be176e
61,IrisFlower,47007,c0d87a0012c3169718397fce2fbdae2a
62,IKuns,46994,ec8e95f5d6cd5f17b8c0b3fdf1f27a3b
63,321Hao123,46992,6b45d097e6167983702db789a1b22d0b
64,LolitaMiku,46980,ad814cc1a7aa792b33dac4eaab05abc3
65,Noeee,46958,cd9575e64558241d6f9020cf624094dc
66,Utanashi,46939,624ff1baafe62284eaa6e7ee705a942c
67,mamaner,46921,b9eb37f7cf396dfe261e993bb4a9e902
68,Onlyfun,46921,4e59dae5d80b77df1a9b57985f30b30f
69,WitcherCiri,46906,1f992b203edabe83744a1cf74ee77092
70,Giveamythic,46902,5b9cee1a970ba7c0bfddc8a45a4dc1b7
71,ByeVB,46899,212156b00e409af6ee158739279c8aa1
72,PuppyMascot,46898,347a30bbdd1b58ae4e36d1df9905396e
73,Mayoihana,46888,cf14c2b295fdfe42e7528867872d4016
74,Risse,46792,317021f8022a692d5aa246fc4e0b49e5
