No,IGN,Fame,charId
1,LENABABA,49748,e194edfeddc9d6599cb1c05a85edeeb6
2,SYueXZ,49658,0ce65ec4a41e198d420602c96a209b12
3,blindRaiden,49408,c54f3097ef542dca63d604d78f13d626
4,HoooXi,49166,bff103b008d94b81a6462306d096a612
5,UchihaNiffer,48945,5dc56c789e81565072775a889a6e6421
6,AsuraMilk,48891,57f0124f89393a4dc23641e60fb204a3
7,lGSKl,48876,357f654f672bcbe2ec92cf1396967ef5
8,AcalaAsura,48842,de12b78240beba38dcea9c32124869e1
9,Mixtea,48742,47ae217f6c6dcec7728d264dbc2ec93e
10,Hoboboba,48568,eb744ddd64ca5aa26bb4974f078f766c
11,GodSoulKill,48484,777804c26803c4a6e4b7fd5393a32a15
12,GeNeMoon,48480,eeba68dc615973d5240a26154f8c2a48
13,Onigirimochi,48396,8258e9a9b14b62d55790778e3c7d72e8
14,Ayanam1,48358,deb4af799d18f6aaf9c68d2adbef7e75
15,WaveCrabs,48268,edbdb0f500bfac9abb3912072ac5af9e
16,Myslade,48203,d6f757640359eff7b1481f4d14e97456
17,helloAsu,48113,cb96ae5a6f2b5d31172aaac7c99b076a
18,SightLessP,48099,c83c8b4be250a649d509e831d11ad8ea
19,Nethrandamus,48032,4a957359957913d4b8eb3a9a5ee4806c
20,LordHades13,48001,38f4814015417be033207c0f2443fd6c
21,EmoDealer,47918,97c58eefc736024c4eb82cddb87e1ef2
22,jlee10,47832,77327aad96c9640f44d48109d8a2aca6
23,OriginOneNS,47820,8b74923a1a8f41efc1f458048a6b7a1c
24,WashbasinK,47790,e065a5e90e44fe6aace6d906ef4b635f
25,AramaAs,47760,d6a7b142337eaac7faaa719d28a6f295
26,Q1ngYang,47652,0cce78efaa7a78cc206e7bedca644977
27,Noviii,47632,c2d8e2d305083a929a71367ad85392c8
28,WeiC1,47632,147dda1c65919fab696cbd9e313f7ce0
29,Xudaxia,47609,8cd7311e75da7b2bded74e2337c1d91a
30,IndoraHikari,47545,2b269357cfb87530b067952f41c399cc
31,Dioq,47525,b0aca3788c64b141140cd7b3a7677a94
32,101dogy,47491,b3981fb9a143eed87160ce4f940beb76
33,CNboluo,47483,214c12533559a5c790607267d13c4c51
34,Erukidu,47481,abaab966a3c006df851e419ff77ae68e
35,BlindFuryz,47449,8a4a12c2b47882f56a2909700d007f36
36,JKSavage,47416,978adc15beafb18a0079fd864deba4f5
37,Uchihaltachi,47406,b84168da283684c37895cd1f3ef65ee8
38,YuuNia,47336,17426ef8a898e1761d6356905d40fdae
39,Shinxxxxx,47326,3504f0460070d766078e4c4a63a300ce
40,lightcrosses,47290,9760c44762af60c1c142919f2cb610fa
41,yokee,47276,21136eb3488b875c7f6fbd131c09b1a4
42,GuiltyDeftI,47241,8dc9e8842bc0b112c6e41240b21a060e
43,AshuraCH,47208,a341c16d08d33010c2392c0b9540e583
44,KTren,47201,df38a7593a09a00f0786583a447e5001
45,UnknownIndra,47120,4709e2be00a34eef8b531de01900e900
46,SnowA,47105,6bdacbbc349033979612b4a3c42a9011
47,Asural,47101,81fc179d9430c96a20ef127b232492d0
48,JomSura,47088,cf51fb35c395ea3aa5db74508899b775
49,AsuraTUNA,47071,8b18af9e2a95a39556212820a366426e
50,Xiaohao,47033,eadc3ca0d7d6a8a0fe9b654024085791
51,HacKRooTxs,46992,d79d56eb4d7f8851c53ca105bbf60f64
52,SryToAsura,46926,a229656dc3b331ec5434db3d13d2569f
53,WithToday,46924,9d9065d09e9176b4078cd6afea686e05
54,`Sakra,46907,78121ba184ec075bde5d445f26d54a62
55,Eason2012,46893,a834d0f8472b3eddacee24d2715d368f
56,VeryBest,46887,f013545279f0bc37ec4f5f5109b2d456
57,GaoduanBiwan,46860,29c2cd84a5f380a357d598601816b152
58,Veracht,46782,db24fb58525adba7c0d8546225993961
59,GSDmaster,46781,ca9f6dd60622319a2bde5c5a684437c8
60,StateGrid,46769,34be3c41dbb31dc0dd6955b7e37f50c6
61,SmartCodFish,46718,28ae6be8b34f7c049bab0412dc6ee598
