No,IGN,Fame,charId
1,GuiltyDeftB,49684,674a93383df7fceacca3d7416e885b97
2,xCorsairx,49653,ff0a287d9e463414e3f6ecad66a5a044
3,BenGong33,49601,ffc62e5e2c5e54680c2d367331caf045
4,Xuxubaobaoho,49456,466cb6eb325ea2a8269d041c75e04e11
5,Backstep,49429,0b10584d28a45d3701d681809f133199
6,LYAkainu,49416,e047eb756f0898a66847fb85f42d9e86
7,Tik|Tok,49338,6095ebece34859f2b082dcb94ff4e304
8,GodOfMine,49276,14895d6834bd31d7f3dc9fb2bdf6f15f
9,jlee45,49208,cd68cd4214f2b669307190472d71c5a6
10,xianyudaxia,49199,25ba4758df81dfcc054789eb409547c2
11,AsulaK,49052,8d063d4cd43a69e72418784c7a358e42
12,McEmotion,49038,242e28a4ce5d9b60ab500b4e95b0f39c
13,DarkViolet,48947,b462b183dbf534c14f32ed7a0e35b9c9
14,YanzuWu,48910,0b835c2a00a37cae3346652e349b41e7
15,Garrossh,48877,be267cf0c51bea52cdb2e1f0d23db198
16,XxOoOxX,48849,38fa66dfb7a23983c20de40dacecfaeb
17,200pangzi,48805,5e85fd0ac820eaac3cff4daa0a0796f0
18,BanHuLaoJiu,48804,f693892f3af6d1904974139522a05cba
19,KO1Berserker,48684,b6a406e7cd634edf5f85a2e8c7b5ab2b
20,CHNnaicha,48654,07fa6429b1a37df03935bd700e4f2f6d
21,futurer,48642,8d6f74a4ddd539dfaf29dacd46e139e1
22,Kwun01,48642,811b859ee1f0ec795323ecbbcfbde1da
23,jiiniitaimei,48622,f462202ddbc8963de036dbfce372d916
24,JiZhiWang,48542,5dbc7cdf7a2d9afb55b2c550347a0a82
25,RatNotFat,48509,09523b2e110c7ee806b7900463522cf0
26,CykaB1yat,48481,883a68f8f65ed1d152c54de1f4e948ec
27,Snoopydog,48420,47a97455cdf62074c55be6d231dd8ba0
28,XXOTWOD,48339,be7ff7376fbe0e1fe4c2849739e3695f
29,WoshicaiBde,48312,1d0f14b83601dc4c8850d3e5ed2ab461
30,oPLAGUEo,48262,3df1d96dcf11f2d8445c3fb5b5b58358
31,jlee90,48255,e27b8e25617aaf2102f233922b584852
32,Cui1995,48254,21a71ecb6955144879794364ac64446b
33,SLAYERBSK,48218,d5ada47c03edb92692dc859a643061be
34,SlayerLV200,48207,0df693934bafa31476477cf2b80ac60e
35,WeepingDevil,48133,dd2389af529a250bf882a67dcdb8fffc
36,BloodyP,48077,e7b5451f7287632bd2003dcb4210c316
37,mom10y,48022,1a07df9adc45a65698b04a6bf4a42401
38,leaderlos,47856,b346f266b36e6251301393cb705e4282
39,KaW3N,47782,1ff33f8fdac4a00fba624c420dde2298
40,Puniceus,47741,179dfbc7ce6ee1e6e4aa7265b7d5c9dd
41,Kaozjwei,47683,316c772da98d3c318abe1bf7611cc894
42,SuperMuuuu,47667,3cd927099c03be98042590f71e8e58ac
43,Berald,47629,6c3cc159eadbbad44fc1dde3db7bbf6b
44,DrunkCool,47539,8dcbef5ab37f8d0e4782f0f53eafe85a
45,huiGui,47524,30f9cedf2087a2db777c6c0029168872
46,TheGK,47392,3eb11a36519244b4e39e671b6ff282a4
47,Zerk8216,47373,1f9a0537a77164e9648510fe9d96f316
48,NanaNora,47345,efeb5dac7e054dadebdfc27a86952892
49,SOULREDDOG,47247,4a4accaaf2615e050c1243f8c2314f7c
50,GTR!,47239,53d1e1cc33d0aaa709d83644cade679a
51,Blazerker,47191,1bae327c03176bb2a0f7ff4ae0ba2995
52,4ourtwinty,47135,115ad78648a557c8c60fbb7367aad99c
53,KenpaZaraki,47127,2f4ce35cc14351cf2a0e1b2ebc02266d
54,Xiguagege,47091,5384ebf9db6482401d5c65fac608a5b8
55,Ally,47088,68e05793fc61e199541afd01060bb5e0
56,Bonenult,47078,6cdc1450142ea503d656cdae22bf9a80
57,1kurua,47024,bec32395857014de273a919dd946fca0
58,HacKRooTBK,47019,b068d6bb3f9aab28f0beb260e134cabd
59,Dps0003,47009,faa734829972b35491e8a774fedb04bf
60,Seye,47006,a8b82661bd81c09e35094afc618ea70c
61,Madghost,46989,abbe5658e6fc4279af523e2fcc3811ad
62,RedEyeBro,46973,38fb22f45801bdc8ba44f5c327958402
63,Volkrez,46906,72c8bc08df33b777ce9a477ef4108df6
64,llGSDll,46906,857e484199b66338130f9b591fbc38ec
65,LUCKYGODOWO,46905,ecb90ea98614f015ffaa89f16166aa86
66,TeepKick,46791,09fcbc12c75ee1b877876b7eb5bb389d
67,PoorRedDog,46778,efa06741f1c7ae42ac6058a5074322cd
68,rivercrosses,46761,58f5e93ae6c8668934d0a9b53f925731
69,Jammmmmmmmmy,46736,05d2cd797d7f2e89f73b01a1898bd7b9
70,BerMilk,46723,fc5dc471c95452b5ced4d5fe8becab59
71,xBerserkerrr,46721,37c3fe4811db64e39581cc29a2f679a4
72,EEGXBK,46683,9ed53a108d39814ded0158ecd7534408
73,forsein,46648,972b583ae63f3d72b547728b5f6e32b7
74,ghostXblood,46599,e3791cc28c9190142b7bad7e6eaa5bfe
75,Redeyesonyou,46495,e70ee2bb101747ddb2a76e4e0fe03979
76,Blooders,46494,2bd175233258592e75076b637ceda617
77,ekildog,46463,da4271b99e56eb39f4799ffb043f9cdc
78,BloodyKun,46459,1016f38ac4487e585b6c32de899cf774
79,Yaaaer,46447,b5b53e8e392ec2626d6c7c262ab65b77
80,RowletRage,46404,b13cfe196a1bf717932eaf191185c6a9
81,SongZerk,46391,c3d7e82dd89b54e39c565ab06b62ded3
82,Daegu,46331,9e671dfa81ea28c640ef0b3dbf63d911
83,123Hao321,46325,72a94b5477068035666bd96e5f161958
84,bboyblood,46309,40bf9fa32599561cf13a99c8be9cd65e
85,EUNes,46301,3193fb5629bd08227e39405b4c5a5fb7
86,XiaoHongDou,46290,7a5333ccb6ab3aea20b6e281037d9347
87,Leonaiod,46288,cee8c73f75a6a559a5bc5ea620c5b1f6
88,HasAKey2333,46226,6feedfb91b88790a2abb6bf72e5afe3b
89,soyeb,46200,659bc1f04f0c6a0a2777452fd5a76d5e
90,ReBerserker1,46190,935239f9f2861fefd69bd8abc9c7d19d
91,Todomatsus,46161,ee447a79a61e3c335ba8c636ba82d9f2
92,Exaton,46115,357bb75c02fff4018b7560fce3c93929
93,RuningRedDog,46093,7814b8e75cde13e741784a501df4146b
94,GoldLikeK,46024,2b7c4d963d5cb7f7a42c8937a364f2e8
95,dumbling,46021,4a163739bea539d9f51d85095e62ce49
96,Jaggar,45962,c16f2014d5db870fb857d4907bdfcc32
97,Berserk9999,45924,e7acf882caa94d474a7cbae7d5460522
98,hate7777,45906,b4dac50622c6f59ee7ec03585da52939
99,Axilyqod,45882,94b39615c0ee7846e43b2ba588d6f974
100,WTFbeerssskk,45836,90acd31cb7d15f14d9305f9b63e12eae
101,BloodBlooooM,45827,705a70e27263c1dc8bd21f657bb84a9b
102,IYooNaI,45803,f7bf9db2db9626c0ff53c4b5c2e10904
103,Alamin,45773,d0248fe092209cde073ad1a977d5c4e2
104,SenseiOlaf,45764,12027e76b7af9aad5e882c2652120279
105,BrokenB1ade,45757,aa24f4705ffae77e2759a0b230c2b0d1
106,SmallRaccoon,45709,dfb805d9a0af79a62680339f9f8de652
107,BloodBak,45701,7ca9784623353fbb30116a2fe38a627e
108,Aolafu,45626,2f39d0c43a9dfcc3b36004a9f0f5d067
109,Elleess,45621,8851e5ea77d0d54b11f53adc856f27e1
110,HellSiner,45576,d79093a3e0eaf576990d251e631ef7fd
111,Kaizerk,45532,4a1b8868f26813597c611559dd78cbc9
112,Bo95,45529,047f3b05f14f23153092a3819309fea9
113,CXYL,45457,79a8e1e6c55274327969a699d44444ea
114,NeverBCarryC,45276,26f0672d9d65c922730f2d7466469207
115,uoBB,45244,b2003a5df768de53a9640598904f623a
116,Barrbatos,45229,d8475703b1f1390625bf4f865f7ac9fb
117,TWININININI,45222,bef89fdb40a585515bdb10dbf5833319
118,Crazyglove,45205,e7663244317afc2829853509e26dd372
119,Rickyao,45201,7416d91b2293827a00c59f9aa68df40e
120,DarkMihawk,45124,123740b6ddb1ed7227b301db21f7a609
121,yykedmm,45119,897e2ca441e87b8af35ddff84d606ff2
122,Monaswimpant,45102,1a935a0bc5cb8f84d5f782e7929c1326
123,Drazan,45051,531b370eb61303334d1f855da346a949
124,Odion,44993,5b025ce5223c061e36ff4141640321bc
125,Azitate,44982,3e9d5531a5ad3fb4bd0167577d6aa7a2
126,HolyEmperol,44981,45adfeafb3398539c0abbba1250b0036
127,DollarStore,44958,8eed185272edc6c5adb6a781f675183f
128,Volganon,44930,fb3f9741169d564a48efe4405bba6941
129,BLADEREADER,44922,25fcefd46bc3d823798664391d72fc36
130,ThugMario,44914,38e7b7ce411e4febd092c801c3b8827d
131,callmedaddyX,44895,985d1327f56e6fa325fa8c8981999f16
132,iStrayerB,44875,1d298786928cc379f08b7790472de59a
133,Pittong,44849,0ecb9f56bdd702f876e9d964b30de3ed
134,HideInside,44830,0762bd850396d78ec3d617db6fe22f80
135,SARedDog,44821,e05ff7f26388c39a46ea64417a1c0608
136,tripleit123,44814,3c38b4180e8ed3eda80b5474762b251e
137,Injections,44806,afc149a8c3cc27b5c6e67da00317d3e6
138,DaLostOne,44779,565a4a2fdb5bcfccb7e7128a0431fe95
139,[Undecember],44731,dc68bbdee4bdf5d53b2c17dd852c4b56
140,GeNeCC,44701,f362e9ca7a060708eb78e0fdb9a8ec2c
141,KINhong1995,44691,b0ea1198ec7a983907ad2d5e0dfe31da
142,AcidZ,44687,42da04d154023753007bf50bf4ada89c
143,PSXHY,44687,f17d47e0c7f568cca408fa36c5b5db29
144,Dwardogan,44663,3cfced00e47f3b5e756ee5dbdeb64e8d
