No,IGN,Fame,charId
1,YuuKoito,49731,cd813f595df5b267d148ed7e5b2e2e56
2,KuroDeity,49670,0dcf7fa0e442c5c9a3c46f42b6f03fc0
3,SwordNew,49546,4d16b59b903a9190451d3a3d3931e881
4,SuperBlanco,49485,48ad90909c38847b7ebbe6d9908e2b52
5,IamNotSewer,49463,cf40daf7cd85d61c4e7b0ebf2b760d02
6,PeterGW,49456,79e1629dd7875e37a4148edd1aa73344
7,HoneyMaster7,49409,714b22135dc70f18fc47b243ead56c2f
8,RoadHogg,49372,2ae948ae5b6344783460aea501c7cebb
9,YEKINDAR,49334,29723bd666e475c6e642ea8bc0450119
10,bingzhu,49078,7adeaa0adff2c3f37dc917702d1d6b72
11,Neople90,48909,6b3da22505d393e767e2d21047139628
12,McSully,48861,53a7827036ca90734004cf0ad75ec2cd
13,SYueBS,48854,a010c054ec05423a00c5e87fecf4c2c7
14,IaidoCastor,48771,001e4ce13d30449509a12ae6c2f0daef
15,kazam1,48752,6d650ac3fb22b0ded445cd0ad6527d2d
16,leaderblade,48742,d1e5b17a45ec2de603f3c20dc25b29f4
17,SoldBladers,48672,9638875b9c0b3044a981211cff78f08a
18,fsdvfsfsd,48667,5404afad8257d0b677059c92139ddb40
19,imag1nary,48569,4ab634429276e0f32a577420dd248fcd
20,DedSen,48507,9916ca00f722ffb6dc4c60a720d623ba
21,Bedow,48282,a790abeb81d5e9f5500f949b91691d4f
22,benimon,48242,d4f8b6d2b2e578af0f00f475fa003d4d
23,HQOmniblade,48240,7c603b6621aa390d5adae0afebc6f0a6
24,silkyyyy,48203,01f3a028e93a252167183a3dcf4b0e7f
25,Devoue,48185,23610ba46a94e602a1f97387e0637960
26,NanaLydia,48170,8db04c84b65b6ebb128f70a91afd4063
27,Msesss1,48158,94400a381fd065ebeb04cf4362c75af9
28,TrumpNb,47971,3190b0f35a010c1cfc850f92899139dd
29,ZicZac,47868,9c2057868634548f3cb168bd371500fd
30,w95559w,47862,cbf49781425da4e26eaaa47c77568814
31,sk057,47826,c5cc1c58c83f18cd641a700becaf3c14
32,WiNtErYJ0,47718,cd304597346b31b2c15384f27de1329d
33,ArmWhite,47687,1e91ca95c5b11379556b259cfc54866a
34,Synchroneity,47656,313fff97e070eeb6aac6ee701011305f
35,Aesevere,47627,ece47352faddf983c82c8b7e953f4869
36,SkySwagger,47623,5c32ea60cc3d753d0872e6a3bea5cf6f
37,KawiBlade,47598,674f73cd43528e8e49b8843732cecf64
38,SinisterEvil,47510,2d02971f5d30bbf9c0510200f3ce4a8f
39,BabeKissMyAs,47429,d12d60d970069c2e55210ccae1b16355
40,YanDaMan263,47362,6cb64d3022c144d3f33fe298f011511c
41,Blademilk,47352,929f7a79cc68912b116ccf224d516c02
42,Muhyul,47327,e32ded36e2d8777b374e6cec67b0ef5b
43,FeatherSky,47298,66fe56992093e4b23b16c6a2b9b83521
44,Ehlert,47293,1545b8afeb5185d7a7e4c58a3143a8be
45,Novenn,47272,61070cdd59de99f5be72791fe3303f5c
46,OmniBak,47261,b034e1f5fb0639fb609cbe5564ef1fe2
47,jjinitaimei,47223,56804f92750a412b310b5688f73d5037
48,SSky,47221,f9c3219c2d6ab0ba2c57b76a7bf4394c
49,Annihi1ator,47215,f32ad15aec3cae797be6ea2e8025d12d
50,OPIMI,47207,79ad77ffcbd855ff575e57e83d30f548
51,Reisol,47195,64e2d6a100aab03ecb4023ef667d17d0
52,BorealPrism,47133,baffa4238497a044c4909ce8543456e8
53,RuwakaKaede,47116,b5d3fcacb96d133268d496b6cdf48972
54,Altruiss,47114,c5f051a699ad9daf7bf56bd55c7f00c1
55,OmniSabre,47099,8f2f6468fa7028d7ff3715cf85ec590f
56,Muka,47089,5bda30d63ab30b8f48c1c0e2fa027ec4
57,Casiael,47062,10b68debc92af06df8bf4f1100e1aea3
58,Hara-kiri,47053,edbd60dba3d86e087d734f01fd775b56
59,FreezingX,47038,f192cede7f1ac0448378d1aeb1a5e643
60,Blazenahu,47033,178922223452eb92712fec22cef11935
61,yangcy,47024,729096613d62e799e0edb1ada277e4ee
62,ByronWhite,47016,4f24bcf5248965cc928232d3dfe836ae
63,yidaoshangyi,46955,b935abed5956900b3290dff11e931891
64,LoseMyWay,46951,dbbf7994643e1e920311c4067b4d9c28
65,BrotherKun,46917,5c9e6a1efef3dbc0d49c8c3c2d19e528
66,Wastifur,46905,909b44167839429afe0cf46215c095dd
67,DirtyDirk,46903,72e7f417b0b2139dd65f57795d73ebda
68,BuryMyLight,46900,dabb561722068de92f58fe9963d1198d
69,DearBlade,46887,5bef5a07e65b0e69c97350978fb1babd
70,LoliiJuice,46828,04be3c13793337ae6f18dc98c3e5d408
71,RedIllusion,46780,5db123e0598b55ecc23e3e5a3459c6e8
72,Virginator,46760,c22273e26caedeb4a690146b652b5005
73,RondoBell,46711,76b9d8e65d5e66b5a30ea354cfee8228
74,Beatster,46672,6147a173dc088af051311845e227f67b
75,kakamakaBM,46647,b59a8c2c71f5bc1eecde13d46b0dc270
76,Shaoxia,46585,2f9d8fa1e53d77a11c5167d63eaf635f
77,XbladeO,46576,dc36312098e48a2a986b2d932f32ea56
78,GodOfBlades1,46502,467ace1b2fe03838df738fefb7213b04
79,JIJIK,46488,19310b0c461f371db3502282f9f8951d
80,NiosGAN,46434,5cea4fe045bbaaec7cceb98c2a7cdba6
81,RowletForce,46420,e2209d52bc4ed4a09e2229a88ceaff62
82,Zetsuboo,46383,4140e78a3af03995d598e30161e71644
83,lSabrel,46354,13f0a36047f87996d06ac5cf4a2dd6ac
84,1989JUN4,46340,2d38e1f78f2987c4f67f63d752f5bc01
85,Geesa,46339,48f5a1cbcb8203a82f939aa555ae0cb5
86,Nhodinger,46323,6f09720f1f38b52183fc47996b439616
87,CCCZ,46298,6635ac54bc70c9486e25a24fd8dfe90d
88,BladerDPP,46279,077c6cee3e09a7af940c987e4b4d7bfe
