No,IGN,Fame,charId
1,Katsunoshi,49390,23f74ddf1c89f576401b83b4d2e5204f
2,Kofslayer,49287,b9b1939c80eee231aa82a4b7dd545e3b
3,Sint,49266,4654e53e028fedbcc7291a6dc566686d
4,SYueJG,49190,43fcd3fd829ca74a727eff9c0edcbeec
5,51Fan,49035,ec2f52987a23de4b2a9554d55effc193
6,MuhImmersion,49021,19dd73543e7aa0797bf6da8b75ed4254
7,DoShowYone,49003,ab47b245612afc1038f4c14870833553
8,404found,48895,deb73b9c03a01b64de1921abf0ddde5b
9,Jyushimatsus,48778,16411758d9542a0fcb9cf273c241b0a4
10,GuiltyDeftR,48508,cdf85dc54b85d0c1a2ef0ddb3d7fa1d2
11,jlee21,48415,d698e557c4331a1dc500e9dc774b1f36
12,KunKun001,48383,7ece9babd96abddebe9a1118d932cce8
13,Leaker,48358,927c38dee68a457fa021eda796bee5ab
14,Mimos,48189,f937dcb6e68707e666b388af76f8c43b
15,Inoriksa,48175,53931b2aecf4d5f15c2eb4bb364b9c9a
16,SwaggyCorvus,48071,04154ee7e62c2a2d6bdc3c8d259129f3
17,SwordShadowP,48070,17cc20fe5b743140edd169343053c10b
18,FiveAsuraa,47929,cd9be5279aae2db594e5943282633002
19,WaltzWithMe,47843,98c8ee7da8583fa171014004a2a37b7b
20,SASwordYing,47778,d2366f97dbe7f49d39ffecd11cd98139
21,Shisenshi,47767,0f66dcabebf100379fad1ec917265a93
22,GodOfMine12,47612,0182bc8f8da269fda8faa0fcd12228bd
23,WiNtErYuGB,47497,85d7ba772462c4dfa9e0ee600a77e854
24,HawaiiGhost,47459,ff4849ee8e777b4615f94a1570135913
25,WoWGhost,47345,8bf292baaf62539489442eb2fa79fc72
26,iXuanXuan,47285,80970b82e55b70578e7b92a2feffc1fb
27,Kamandanu,47197,b8eb2dd8694c5656c3d82d4097759764
28,HacKRooTGS,47115,b370a86f1409be32e13ec3e49f310f54
29,TimeFramed,47107,115b244d795cea0b021d9d562e673fe5
30,DarkSoulX03,47070,e77ee6d15171862b2f65f1e0e6d27dc8
31,1kura,47054,0f452f272bab8020c536a76336040b87
32,Alucard.J,47035,6ca455400102e609d90ab3bc6bb598cb
33,GPhantom,47011,e501796838bf26dc67f7cece838c5dce
34,RainSen,47000,6a88b524391ac22ddb4f012bbf201238
35,HoroIchigo,47000,d4cecdda90649518341bebc65f8f29b9
36,WYTimp,47000,9c300b8271078d9396ad3914fbdba7ef
37,LazyJun,46999,afdda793df16ce6dc4f783a13c9a27a4
38,CcykaBeelyat,46885,8d07a96a13200405e2b3a95cdd968a98
39,ghostcrosses,46872,3c3d91b4b6940c48dbe238155dee713f
40,JianYinggggg,46870,31fe1c2b96033e4db1d56b7f7a685e46
41,CrazydogNO2,46755,505f78400a87d51ee97925cc6fc7199e
42,HiiroWakaba,46753,8397101b42d925ce290e8e50ec94428c
43,GosuBlader,46744,4a32a33607a813d620995ef65c9712fa
44,Xirani,46696,a004a701e8eea79af8f0d9a061e37e94
45,Gluttonouss,46687,03bb24024de302a77993b0b99be37fd0
46,Zashi,46650,313491a642897866a1e0164455fbe1be
47,edalB1tsohG,46622,0bc1d0077365d6ee40344de5e56af17c
48,LH_Ghost,46618,bd0fd47f110675630cc0676ec04a8da3
49,AnneGhost,46612,b8297f88bf51e52b6d55de62fd2841c9
50,JusticeCrow,46601,39c673a2284255c14c97f74a54c741e8
51,YuMuMuu,46581,e26024461ebd67b4896f7803a0accd82
52,AoiBaka,46555,0ac0f80d6da420f0d0d0614593d97ed8
53,Gh0stsw0rd,46523,48d309f0ad0fcfa30054d033bcbb20b1
54,Levi20,46520,1281840386d7c388279f985a88f1105d
55,LuGhost,46463,c8980ec15c679e1be3894e6e93487452
56,Octupus,46463,0a7a42474513ec200f68a0dec1051307
57,YashaKun,46448,4b20ddb3d80f359eca803609a4bb500f
58,BenGong333,46401,0fb5da0dba3d968a8ea8bb8c02537e43
59,MadeInShadow,46380,7acc94de3e107c81a7ff418466933bdb
60,Anotherblade,46263,eddc110b6be248b7adf8a0a2fa04201f
61,ThuanGhost,46257,8e5706abd2b1370e5ea4b0e100f711b8
62,Bakshasa,46252,092556f13935707c3cd4edddd1eb2bf1
63,AngryK1D,46224,d41f09982cbee0bb1c203d959d4c13f8
64,Lvmaozaizong,46200,000a01e301c9dd476b07da7ba1593278
65,senseiGhost,46194,942bf1505adebbe296ced186b06b4825
66,llBlade9ll,46096,8752c45b82b9f047988e51617ca232c4
67,hellotaotaot,46024,1af66decb422ad8fca6906c8ebcb1dd8
68,6packmonster,46010,65e95c986904648aca3e935c6ff64fba
69,TWbear,45960,eddb8d58ab79e2fc232c6eae1e4bb293
70,DevourYashka,45943,32845ae2399c8ef51be0a9d635b932ce
71,SlutSteve,45706,2de97b950e8a175d8870de553355be5c
72,FaceToW1nd,45688,243e96699ca5ea8ba3fcb3df97cad309
73,MerveilleuxX,45656,64568acff6a847fcaa4dda24c79620d5
74,KawiGhost,45635,7b9e1574ad1e58e6d398af212d70fc19
75,Galaxation,45611,d9abf0d5dedacb5de849eb34c351a1ad
76,LFwishG,45565,ccc632154202a88a78a61fe2ef721584
77,Yakshab1ade,45525,c72118f2dfc87a9dd4b67dd445b14445
78,NowaySlayer,45477,9e1f4a0967d75ab3a594cb4d9026153c
79,KageyamaTobi,45440,80d3dcfb71abba37dbe2f8273d135f2c
80,Piscesss,45439,337ef02384965d30ef133357770bf7c8
81,XuTTTTTTT,45434,0af15448368ed4aca679a722c784e7d2
82,xXsealXx,45407,c65e473a09e2e0ad195bf258cb9eccad
83,Aatmadeva,45368,67ef5d16e3c4733bb885ec4a7e998242
84,Endeauvirre,45366,ad9c97e4901729c26d0fa351a9faf1e0
85,MadAxel,45359,d026df95db72cc7dd4b83945c3322f8a
86,Goldilock,45319,67357efd4ce19b2ea47580dfb1c9737c
87,Shqelo,45282,06cbe992e0ed07009e603c01e8b1b67c
88,BobaTaddBoba,45258,140457034e1d609c3210667479858ee1
89,Pawnguy,45225,81abde8b72c8c4f34c2955c4e6206c55
90,Reradium,45220,13189e615a3668a012304424c8e02101
91,GLAMD,45194,d7173918f2e67adb0ca9037b69d74f46
92,TWrocklin,45190,e675b399a0902f5a49c6a8875b8091ee
93,Crushoe,45168,f8f988f836d07fc1377a218184eb3160
94,Malgra,45113,11f55c26c4a5d8b44097d11c35de7343
95,Raizaka,45102,078aa99394d462dd15dd53393d0e70f0
96,JuanPa,45096,14782981ffe391fff0fc032c5bb2cfc8
97,Casien,45012,00c5d686f15f32f7c64e8148098559c3
98,SPlipyGugu,44983,1b46c614dc61e8a95177d15b4ff59478
99,reddustsword,44943,470625750bc3ca3f94d1f8bf79c7b324
100,10sec16hits,44930,581db1154e8a2ee2cdee5d6fba8d4eca
101,VMoeJoe,44895,8457775ef18224cdb0aa719bcfa8871f
102,IKunBlade,44858,1887b71df67dd06773531d35f90d2280
103,DearRakshasa,44801,86b1e6b9e3484b570e53a66e68ffd052
104,IsysPrey,44794,bef8e15463de94fef8cbca4099a5e06a
105,PhantomGum,44787,f6659e8cc4059d34836fa1702181bf86
106,wudidi,44740,117776a7a171fb375122683e2f49a932
107,DemonsDemon,44712,ed0c1f6a712f86e83695c5ef905dff2f
108,SuperGrande,44704,9771229d606ff76e5c47a725cff38f67
109,SecretOfMana,44591,5647c875456c7984e97fe1f20608ff9e
110,InGBWeTrust,44575,e9683c837a183030b77aac3f9ced89e1
111,Jiu999Jiu,44573,34d45d2891df3973359a6fa754139923
112,ToGhostHole,44528,8642d0181509d08a418571fd4c3d0e9f
113,kennyWick,44524,4a47386c41230f3d97437b8e00c9dbe6
114,nnbaby4,44511,bac16dde150d75a206b7d6291789c8ca
115,OniiBlader44,44457,24ad02bf00017d0d3d48c5b4a819f9bb
116,No1JianGuiNA,44447,58a0dd16d6a394f13e129d03afb044dd
117,Ahzhuuu,44398,ebf20c2d400985de90094e30980c35e1
118,xSesshomarux,44392,09ba23a5db10dd7cc1041479772d7520
119,NvsbleGhost,44382,e317c9819a0253776a90c5e8f404c79b
120,GodKatana,44330,f81248491f26e9ccd677bedcc613ed05
121,8plus26,44285,c24df55be648ecdbf01cd9b4ad476476
122,GhostInside,44262,1822b23be84a48e9ca58b5b247a29874
123,GhostXBlade,44254,206880e2dbf19539a1ee36d7e8f82476
124,ShuraSensai,44238,30496ba5fe10f2c58e1d746f6b7d2a5e
125,Heisimou,44236,b92fd8d269af8cdc95710f603c1fa037
126,OniRowlet,44200,c35de2f7164f3108d379f7f4cad6fde7
127,omuk,44186,9bc47af8835cabcd7438bf6bdf3b5d28
128,Ghostwalk,44156,a16ec071995742bd2f1c9700860b9294
129,CodeOni,44144,f82b885f7532db91f05367e0ac5d5cec
130,MakotoMVP,44127,e2648825362b7b3f998cc7472ac40930
131,NaroIISpace,44126,700004cc00436623311bb421e2885322
132,Bladekash,44110,f4dde7f4e7d832cf09055fa978f4b74b
133,Zawardoz,44109,4d467832025e22931dfbe260dd8d71f9
134,Roneen,44082,2196f95cb9375ef5e923fc76852b0bcb
135,xxSeki,44081,1d1d014b68195310152323811fad66f1
136,GhostNgr,44076,6324a79c67fb03645d5e32755d5c8f19
137,MyOtherMe,44064,3ba88e708b8d4f2fd914ba3ee85952ae
138,GrandRasksha,44015,5a051b68fd1bf27934043b93f50f0aa2
139,Blancos,43999,932cd6a0363c6da839f81046504de5ec
140,IKageroI,43953,80f71e71aee50eea237ee4c191ddbe98
141,GuciGoose,43946,bb80f4d2dc41ef8b1f8a2219f613f5e7
142,GodZangetsu,43881,a801612480736fdaad71236e3b982270
143,skdjy,43869,5206710ac1c2cfb969a82b2e64dc7211
144,1A90,43864,6e1c670f99630121d89f83d9ca1b8592
145,ShadowFrame,43778,7e96c01f10ee5879ee70057c2a340efb
146,Urokodakisam,43772,7ab5aee04047b1394598c8990714ce36
147,MySamurai,43760,5c463ce5ea02e0512ddd88c28d9c393b
148,ClapGodNav,43705,0c60d0a819563842ae8ec01cb43a27f1
149,ImDemonBlade,43695,4aadc670a27e0401cf7135bb3ced5eb4
150,YaRakshasa,43680,cc2063beb458128e6f93f7e5ffe2155e
151,ADYA1,43677,8b04b486cf62c610fb78d37cf97f8419
152,UndeadKatana,43676,15f1dd6d593b709f9c864285789a431e
153,Mukei,43659,88ac6faf3faf4c6274ddfd5e714a14f0
154,Izatsuku,43623,19b4d99bf744f5d0d08c79fc32aa08f7
155,Joopster,43622,020369f817f2b17e525fbdf8c7fb6abe
156,dcdfvr,43621,1a61e005b326b428041d86d3074147c6
157,Fantasmatico,43599,a7174c773c36ca23590b3878c0db56d8
158,porkghost,43592,3b55b19f6334ea6f40e77785cde9f8e8
159,KiraBB,43495,96f8f135d9e772f9fff83599ee3ca82d
160,Fishfishfood,43429,743b16d7ad0db0b98ea6773c3b084ba2
161,GhostInner,43398,581ab877283f9d6769ccc7abf95d9c3a
162,Kenttei,43368,0d9f08fc8e509239de4936c201071748
163,AizenlSama,43363,caf48f3c4e6cdc4ecbc4ec146b925ab5
164,ZrainGblade,43349,b4066796e3b56e26c95b4e8c33685a7f
165,GhostTopo,43329,db5a5b4cede8062eec43b55af435bc49
166,NoirEst,43289,5e7a190cff4a9a2bdaa9fb75858b3c05
167,Gouriiii,43266,593afe3e7c3f07f862a4dcb1ba50d5dc
168,Gh0st81ade,43260,ee1dbb0f66018aa7fca1bd40ddc8b0d6
169,leaderghost,43253,e493895690d22a758f4fd3cb9490483e
170,SdlAwsl,43245,82cbfd6f6e9c54d1e0ba9778f91398d4
171,Chillypotz,43244,f5ed4797b1d1f5c8fce7d2ac43d4af5c
172,AlexTheGhost,43216,83b1d2993f4956e8675f83d27c47a7b4
173,Schindinger,43178,f8d43c47c6a18ac2feaf0b00e0649ac5
174,Govy,43152,2f42b824bb540f5b8e180629453174c2
175,Tornberrys,43148,04d26df772b00026f219788711abe784
176,Gh0st5layer,43100,95a172b575b15182b15febcfc1e963fb
177,TanWanHestia,43096,e52235478ef6fbb328bc2259605265e7
178,Rakshasaya,43071,d0f0ff2b8e626c8e2b43fc6ca15e6d88
179,Nixolor,43041,97a0677a48ab4dd518ccc1fcd638aab7
180,CodeDemons,43039,31078a01fad24f9960a3813780bcd09b
181,SoullBender,43016,4038726f36f47cd6d624f8ccfd8f3647
182,DarkSekiro,42979,1d0535285465ab7cdd3fa6b13d31dd2e
183,GhostLuna,42956,9a142ec829b4e9d8b12290c7bb402e70
184,iHardStyleGB,42945,a163faefd5cb7e886d21779b01c6cdec
185,Canserberito,42924,72025ae58237cbebded60b4141e76af9
186,GhostGodo,42909,7f62f380de854753740331ef406e49df
187,xXChitomonXx,42895,7ee48e7904806e8be622f8d239238b39
188,MGhostblade,42827,44922e45b234247b34ea6160067bd60b
189,Spoops,42814,09d37cb425ebceab173d2b1b34267f5d
190,G0SBlade,42797,bcdd8e9b9a8a90bc4a48c7ba2b00ced4
191,XxtyrbladexX,42789,699c3af210037ad97fcfba7a8bb141b8
192,Zenitzu,42788,0e38fd7dd2ad0ac9916a6574d13a9b67
193,DeDanah,42780,fca2ba5c4335919db4dbd9d98d06cfa1
194,Manuel17,42780,a017f7b400109e2dc715129c4b064bfc
195,Integrality,42755,7ff218370e558db31e2681eb560a0966
196,GuyverII,42747,733d20bc7e1c63a7863721b4d141fcfc
197,GhostandCoco,42734,8b1e07d64fdfd469242f2840e51f1302
198,NekoGhost,42729,3616442e68b410d562b41d96e6970014
199,7der8+1,42727,271d1e454fa942a92e45b52a6d267082
200,MoneyProduce,42709,16325630bcf242b2854103b16f8dc2cc
201,MizugiLoli,42692,b32b6c5c83f64e61dd2fe41a7e4cd0b8
202,SwingPhatom,42692,fe83441f6c59c5a5fdef481cd2da170c
203,Edji,42621,c0e4cfdb543debdcb2ab2319a5ab262a
204,DickMaster,42609,f3e6cf0a098ab52ac8bc6d3a1b60b890
205,GodKaiTier,42586,2025370f4f6d27aef307be0a2fdf88dd
206,xSuperDevilx,42551,4b963c77ea263e115f649164ae16a5f4
207,Leashi,42477,54b64215503410bca456c4b295504ab0
208,Hollowsouls,42471,a7bf2a0b50d656b517e05fd13d2a4e62
