No,IGN,Fame,charId
1,HangingTree,49608,0bf87e40a57b5b580912760eb75e2e1b
2,EpLag,49476,72c63205bee6c9af37babecde5b730d0
3,Pythian,49319,7b6fbb7e295ea7771e191642e996fc23
4,KOISouBender,49294,33a2558628d8dd493cc5616ef9aba2d5
5,Rififi,48918,37b5e58fc99aa55b4fdbf0fb895c7991
6,SAGhostCry,48882,e0066b95f0909643423ce7368cd4d718
7,DarkDracula,48503,2d2f9dea8bda79ff2bb287fd515dada7
8,BloodNg,48398,9e26925893af380eb7cf9c61a117e413
9,urbigbrother,48354,ef5673222dc08d1fdf8060a222644a34
10,Lyanol,48274,c27fe7ea19fcdf504c543d42f6815f2e
11,Ichimatsus,48027,5bcf6d88a271bdb47b1a3f2da2db6cfc
12,Raymod,48008,d97927a56ae09d0406442a56f8555ea8
13,llSoul9ll,47999,f08ed779a9f054ac3b97218a165a2094
14,oBlueSoul,47916,e040cd408776403f7513bc9795f3f135
15,kwratster,47864,c8418a6b5fc80015abb61152b865f52b
16,JigeMilk,47716,02c5601e40a9fdd10db3a72aa4d001f2
17,Kwun10,47625,b53127172b4c5a085f637719e351fcdd
18,DominantDark,47615,00d048d144f0304b8818b20fc004b34a
19,xSoulPigx,47611,7e036953ff80d087fb02ef5526dba072
20,lRIPl,47549,c29692f8905b5cc62ef53629488e8319
21,95GhostsS,47535,51edde91d2177cc126b746d8649a8bbd
22,Sypher,47526,1f8460725c0a80eb3a0204c316f43dea
23,GodOfMine9,47368,42bc5cb66b00e9db350d5e7360effce8
24,GuiltyDeftD,47335,c3c69edc2ef01d595477fcf0c8909ca2
25,LastGodXuan,47332,eb421c1e7f5d81bfa2ca6b663711bcf3
26,SKKU21,47291,dc15234cf014890b5df3d4de7c3973d3
27,McSlay,47148,ff5ee0aba0963c4434366b497e9bdecb
28,xKatzbalger,47116,96d56f03100dc299321574e1d1634caa
29,lordcrosses,46950,20ba0f200e0cc09613d39562c2802045
30,Scorpiozz,46929,d20502e98423e085a699f39dedcf257a
31,SukMaJJ,46703,949768724edb873f284c9a4a9ebfeeec
32,TempoRoyale,46702,ee1881b59a0f86d27740380c5aadb257
33,00F00,46646,64f9b713d110532f0d29adbb10dde33b
34,Gatmuz,46620,489dd82f78277db54640015cdd0e3cce
35,UncleSneakii,46540,6395b5b7e523baf04a72aaba86029aef
36,GotAFeeling,46507,81f28aeb9f087efd2b4322aae1973934
37,YamatoVirgil,46479,d3331fd3a60c9aecb80851e17b2d110a
38,DevilMayCryC,46457,3e4a3911b579a6f37679be5c65ae3a5d
39,Lubyy,46456,ab006552b34c3acfe4b0f34094c1db68
40,No1GuiQiNA,46422,0cfd34da0d90656b08cd9412782beec9
41,TtmdW,46395,cf423163ac08b6d6973e5bbfd0fbeb46
42,boredtoyou,46362,4152d860b0411149c4d3d9a4a0ff6e9c
43,SunYuze,46361,fc5b99f796365ab6d014cf4ae510de6d
44,JiazhiZhu,46305,32ab3ee070a3f201b763123c45bca712
45,YalOCk,46260,c1a6efc948c7eedd188134a3d8f732db
46,VanDirk,46234,c1b4f5d4477ae760132ae139ac2e4940
47,AkumaCry,46195,4701b79550aac3ef3140f39b582beffa
48,Zirkel,46182,edd693e6074b5e61a74aa8e3992c915a
49,Lordshark,46175,dcf1c9f231a0e7d938fb90fa5ed494b4
50,Hawaiisoui,45949,c14cc5e0b8323c9e88af2cfd2cfa79ff
51,TanWanDFO,45917,315b73ec5f522c610fecec78848a7539
52,Chseliogh,45914,03d263aba457ae7d7db67e57c1ad3786
53,6IVSoulTaker,45896,7747ab780ea7f02cc97ce9dc7697f61d
54,lllllKlllll,45835,d889fc769304b050d726907aee7ac93a
55,SinceJune,45808,a9089ab9de384a46d15c52e8fa7c980a
56,Never4wait1,45786,12e33d8ef445bdd516b5aa98857e4668
57,ZMSoulBender,45754,2942de129819a43ce441da157182a76e
58,Dps00011,45735,d462fc7e14fa26409a13ffdd749594cc
59,XiaoNongbao,45566,4295d5eeee3402de178166d726f73688
60,RickenSB,45489,739557b666766b8e88b3a0baca4987c9
61,SinisterZone,45482,64db6695bdc1cd2248ab3b4a597c6d4c
62,BubbleIceTea,45419,bedd36de32d15f7ca3d23674885f5cff
63,Wisp,45417,e11e7af6747b554c11da6bb44dcbeb74
64,Gummoy,45406,938763e88bda7fecd681de8e2171e296
65,MoonCreed,45358,b315d822cd8f2730e798cc72d4e087bf
66,10010Soul,45346,ca88f06479d836f52100f792133367f4
67,YuuKuroya,45280,88a5779df60bd9d11cf4b539b943285c
68,Anyang,45200,43f8489f797eed1c0902fad0d2aa0278
69,LethoForte,45176,831cabc535404c3e33302520737c8dd1
70,SapphireLore,45175,54dec388829a610c927449162e2fd3f6
71,HQSoulBender,45145,a991069f4effbf8573f5b3a0940def0d
72,WickKenny,45058,eea58f62c0740a94cc84b7e837e777e2
73,terrortot428,45032,c428e5f91c4533fc3c2770d411394521
74,infGhost,45024,0e6b00b8c409a64ea48004de18103a2b
75,QQMagikarp,45011,f94b5e1f4399c0385ceaddde6cef5b78
76,NMFlyHigher,45007,7f6669ab0f1276ae123ad6e78912dbe2
77,GuiJsFui,44949,6e602838a3a7473330e9576354dbf216
78,xiBlackTorch,44945,3bf98f96e7d9078007b24a463b660f5c
79,MxBender,44936,e97258bfdc96b5a7eae49cd98927cf73
80,SoulsHeart,44920,411d4329aa0cf7bb35ce34d714f97565
81,GhostSquares,44890,edaa74883cd75663f854a9414071b000
82,MDDarkLord,44864,8ce7de3163dc7ea72ae08aa01a32da6f
83,NevermorEst,44855,3102e68ec1d0685be71006b61db6910c
84,LYKurogami,44852,d382b9ec79de3bb30135e5657a516c25
85,SwaggyBender,44841,0e39dd4cd74941983e57967f148afaac
86,mom17y,44817,8784ab5f1418e6fe3d18abdff16c308c
87,Eipxvi,44791,310c63a31c1b993b0ab937f41548cc4d
88,Darkerr9,44783,c01de5adea6dd9ca69f672cadacefaf5
89,giantJJ,44774,7961ba1382904ef8eb7d266fdc035918
90,t1110gghostd,44749,371ea4277d17ca0a7a68de35b44e6e5e
91,DeadlyCircle,44741,fda9f7216a2cad0d20237c27e7e6adc4
92,Samegami,44739,a4b16bdd8921244f7850db0dd0c5e249
93,RenoUniverse,44731,56fc6acef9f5bb4d78d50688ae5b6e9f
94,Sarong,44700,ae2a5e5162f617b70cd75f8feedcd058
95,Yasujiero,44680,266cc751ff387fe628561a4da0707947
96,PhantomBak,44662,99550a987201b22dcea6ac47b6a2370b
97,Kagaho,44643,fba999703937a1303f98d583453e4b74
98,SundayDL,44642,3543c547d146ec3fa6a9cbf5d10514e4
99,EdeaTsuki,44625,b6ad52019087ba72378bc9609e1cbce9
100,1ndrain,44604,033a25fdc16562409cf87e83c2a61fad
101,Everard,44574,68729deeac0c3924e01bc47b13043300
102,GhoulCircles,44561,6fe454652d77adbad5957626b2e95a10
103,HoloDyaDya,44557,8c1900f5cff3290ec6c6e68e04c3251a
104,N1neZer0,44545,5652de030fe79ce1970da5b8ae626d14
105,GUIQIGUIQI,44535,63c1cce9e465d8a726ac71cded919585
106,LordBlasters,44510,066a225c05870683cf869b57921ff439
107,22vivid,44501,dd11565f54f92925c3291caab0b395e3
108,clearl0v5,44466,f9c4bda49c6cbcec241c41ca4688536c
109,KakeGaraYami,44443,136b8f6ae1f131f66a6cc6ce6d7786fd
110,Omnivorous,44436,4fa8804ecab566dfdda9baa8c1382856
111,CHNLamian,44416,68839f98d7b2b8ea318cb96ae5ba6871
112,Shldrbender,44411,16f8c98e9986302477c0389f7ef31d94
113,Soboroo,44383,0f3eb4fe400114e197c12caabc04094d
114,I_Am_#Atomic,44329,f5c10ab0e162eb4e249e3691064ffce6
115,dagongo5,44272,cfd65cf4d9cfa427801f30e5f205cf4f
116,skdgq,44262,a4162b7c452aa02d95253525d38de34b
117,YamiBakura,44235,8dc0090bb81a7be938752286369832a7
118,HasakiYasuo,44232,37fccf5fb50ebaeb48929c4d2edc2f14
119,FloorCircles,44198,ae7008ac7bde9cb94f5ba90f589762c3
120,cNgz,44197,e7c9728e5cad57e5b699d9d8c069c812
