No,IGN,Fame,charId
1,LetsPower,49859,8665867b4e55c5589c5f34575f085779
2,SYueRZ,49326,dcd332e69cbc0ad80b334a9c347edecb
3,GloryMltFire,48970,271dbff73a7655385df4e018c4287e2c
4,xRaizar,48604,e4e385b833692f5888fd6c6be4bbfcd3
5,ChickenChaka,48029,c993bbb27c2450f5aa1c88185a269694
6,Truths,47712,301b5987f3627951958aaa5848156e00
7,KunoichiKK,47689,85b59cc8b7969782307238b4c3801fa3
8,AzurSora,47410,6d35f46bb94f5ef5d13069b8b44b5e6b
9,MemNinpo,47326,59872aec74c52517e6749ab191cb15c1
10,95Ninjia,47032,f7b19a9489e31311242c7b772d0a2d4e
11,LenaMaster,46992,773e05ac73905f679bad85e12fff1c79
12,BrokenTier,46677,06af17d08ed30d062534252e624c7ca8
13,ShiranuiDe,46571,9f354ee2e2e21de2dea6e5ad6b4d0f31
14,HonoTori,46312,70c756f39059744290ee451c25c71cc7
15,Helle,46270,072358a80afa2186f9ee765ecdbb75b9
16,SkillBlaze,46227,9969413eca62a4ca651e9fcaf4290839
17,Gallop,46166,061a399df883f9680245310fbb3eb3ed
18,PrayKuno,45988,90d45659db3635e3228d73561214678f
19,mumuQvQ,45806,050e5cc773877f6ad2c79eb84106a526
20,Askah,45780,ef6bdca9dc6286e83ce7d07a5becc749
21,QueenCandice,45285,eaab24fc9221ccad4f24049cf135c4a3
22,Yamiah,45243,88c184e985d5a0c1b26c935f3f104876
23,Hinokakuchi,45215,ce8f7c8694936ace9707161dd3669bf1
24,YuZhiBoPuPu,45214,8e94e03d342129120ebd7e1e275d51cc
25,CHANEL1,45023,bb581e0dc047bf7e1f310ecf7e072fef
26,xFireThiefx,44909,2a980154f46b926ad1e466c39039a73f
27,LithiaStorm,44705,0333d5a7ad19a49cc2474f6203119229
28,ShiranuiSama,44624,179d830bfd364225cd03a7738cad0281
29,BlazeCircles,44555,f1cbecb6ca0d7568d9662df891fe925c
30,KunoichiMaii,44449,dd85d8e81e9c7b183441d797a94a81ac
31,Pyric,44425,1aa0234caacbc1f288eef051d876ed9a
32,FadingFlamui,44292,3a13994323d398540d96b9a00ab3b28c
33,9TAILFOX,44187,d1a6372489b0305f728f365bfc9fbe8b
34,Momoume,44076,69feae45f9111a1b74d86214affa5495
35,girlonfiyah,44046,6c48566d5cbd94027933b2e028a46626
36,Momoya,44035,290fc3adbff0db6bed748a71da4c9dee
37,CrimsonSolo,44016,ed07be61cc1805927db9d4de319706c6
38,Majikkunoi,43987,90351e8b7526bc54740bd9c05981f649
39,Koiyori,43982,6d1ccc2a12f16b1a8bdc2b21972458ed
40,1ClickImDone,43955,ccf6a4da77c59eb09536e5edaa946db0
41,Norhkari,43842,85ac32af3534e559a6552c6dfd6f73ee
42,Dasmine,43803,cfc7022bb87f7322d00c4e72b10d7273
43,Candy-Milk,43687,910300e54df002c1b12d619a63850c52
