No,IGN,Fame,charId
1,SYueCK,49570,f8806e2feb49c2e9483691cfbad99eca
2,xXREMXx,49194,fa6fa76a6c8a0ca99cdbc0ac013ccc41
3,DDumpling,48901,6f5bef13db2e2b981e940f5205171480
4,WeiCC,47577,29792f5c90a80ef74dfac7ce92d1a19b
5,U1qu1orra,47556,e06df2b6adefd0103cd0fbd14b931092
6,AmirGM,47368,d054213c762fb45ab4349c46339d1d55
7,DRamber,47033,75419acaee64a7a4de3b632552bee2d9
8,FinsternisD4,47026,d16974d8d063207169271ddccf09898f
9,AutisticMoon,46644,281cfd89f7cca9c8c1a383ff70c8d9a0
10,Draekonic,46570,8ed856c1da3633ecfe20b14314583143
11,Thefastboy,46467,056f17694bcd08880c23194b110c8262
12,DashingTeddy,46437,55e7b5aac66e6263c3df82affda52da7
13,TealSquares,46435,83418d11e50c6013471818b984eb6a13
14,Violently,46410,fbe2ef076ba885393b2b5c16ad2cd356
15,ChanHoan,46348,d8b699fbc64afad3095aebebd0ea732d
16,Kazeto,46307,eb48c52640c70233acfc4a85efc9c035
17,Aster.,45996,4d22d1533f707af9181b14470a297fc2
18,Aculea,45989,35d260c6754405944468a4287e1d5261
19,Snowdust,45982,b60690b5501fd08986c3480eb76ab944
20,Halcyn,45769,1db444fd26bccda58aaa2e4fd7a6777d
21,M0nEyMAkEr,45602,923b1174f29f967c13c5e3d6b23d0f90
22,HydraVina,45341,395854ae94553cebf6325e65fde83712
23,ADouGen,45291,3adca5337c8a7d21fa4ef989900c09fd
24,gumi01,45132,d58272ab3c3e439c09905fcaf068f8f4
25,DSpeed,45105,741fedfa89d50610bc9bf0151f7ae638
26,SpeedLines,45100,50a40a0cf2efc703cd036927fab37d80
27,Decommission,45072,9400b8a73d2f33766237f56866eaca1e
28,Phylomene,44953,bec38d192617e44123b3cacd750abca5
29,Fesilia,44723,d2928142d0b5d908dda1f176164cbe83
30,KazeKisser,44699,be987c087e7ac9ed6f5086c397b9a695
31,Swellow,44576,c26cc2d5fab0aba92c267316f0e9de59
32,DRRogue,44531,00857c8971bb906553a3527b92332c48
33,ermafroditos,44481,92445211765324b924145439ab030d57
34,SilentSonata,44469,9666f6e177b9a2f1b1e8cc71e04adbb3
35,HQRogue,44454,e61c240d7a62eadc11f6fa9767c54a0b
36,raiseBIGpig,43962,c05a3db7b8173d78213664a9f2e13ef7
37,Mooners,43925,5b8b7298b1c4b9a358cf39b6607c2481
38,Khepi,43845,fd1b3e3aab8433082b7198688d874c79
39,CheezePizza,43763,153706e59baff4acc36c3623b086a57b
40,iTwiceMomo,43648,e2a5152869aef1f85e79518f8a71adf9
41,Fluttori,43472,ba291edf19c40e88288485c1d34e16f1
42,AdesPhantom,43415,ea77e483784496b66e4db00cb98af4ee
43,Warren5,43395,0f4c1656f3239d45e46b72222e8f4e5d
44,SilverAkali,43276,536400dc6317905f6055ec9d40ce9020
45,Pastraimy,43146,442151cbdfa677d7a63b75f6edf949d0
46,vanillasion,43142,5ec05e608040dfd5917debe8367cff16
47,HongKata,43054,41a14cb0ac0fef772d9c1c494d5891db
