No,IGN,Fame,charId
1,NinJabOba,48848,66545ab9ff0904c741e72c2c6581ec5c
2,ParrotDealer,48200,872b10888bbee0e479a0503bff6ccb5e
3,ReaperKK,47630,cea427e805f209205dc15c656566f108
4,CZNuo,47565,86ec557a0f9767411577b5e3ee48c4b3
5,NoirForbae,47292,5613395822bd53d2c2cce6d773a6a595
6,Harawatagari,47029,5f5e923dbee7e3ca088fbf3e1256e564
7,AssKi11er,46737,9b52c2094c1684bffcfc7f7ae2194a78
8,DoomShroom1,46715,8bb4c569d86c437b780fb228aaec1964
9,Aspect-SD,46632,253485e4fad85bf80d7dab6d02301a20
10,ShodowTrig,46376,e65f9adfbae99d5c457ca4d82dd6e480
11,BackShank,46121,857c91acbd924022b8ec99b5d8a01949
12,xLinnex,46117,655030de8a44ddc23c635a40f539802f
13,Dvinn,46020,7c54fa74adf6f794089b7d0226a11650
14,Fata1Blitz,46005,3378726aac0d76a66446e10ff73e35e8
15,Mikimos,45722,70152cfd342acc004d79856ae5e0aa90
16,AkamiKILL,45721,d43a0c95b97f2bd1fc6505489225c74d
17,Dps0017,45707,c0adc923ee522d23226227ac876819e4
18,FishIceCream,45473,706ae4a9dd37ac747e535f1cfe411992
19,BlueBerryE,45460,fac9370affd68d9a483afc811f381b98
20,yinw,45445,ba228c8953b2f2f7ec90aa3966db7377
21,Hsichih,45379,99cf8d3405b6124c6647494488ee3454
22,AutochessNo1,45376,bf536d099773e7ba3da94856ff6c885c
23,CanNotExile,45344,5fb8f1a074f8410d8d321911022ae6be
24,Kizunairo,45276,5765f9f5d6c8b59c3c1f041b4ac72695
25,Lucida,45256,e44875fdcb29d976655ca6a16c38a59a
26,NoxDuCouteau,45131,966cb4da7a813b7bc3af3643cea06136
27,OpSDdancer,45012,d0325f0d5e5127a926c2fb7ad9011fa1
28,00litchi,44829,10eb491c257ca963493a61b8c1cb7a63
29,StabForMeal,44813,82ed63805b5204fa9d3d523b1ed8f02a
30,Erpan,44579,58c9ddb33a99e2eb88d189879e92e139
31,NotDraek,44417,f33c032ca82146afcb3d5b39ff56cdb1
32,Bilibiiii,44238,7d74fe35d324eb55cc5d5a119f785946
33,tyuis097,44229,fd7c0307e178e25b6249644e2ed71abd
34,85000000gold,44152,5e6fbce5105843912009fd3d2086924c
35,YongjieLibra,44143,febff67da92cb87717bbec3e47cce46c
36,Frigid,44123,f0885ba931cfdc05bab8496069e16d4b
37,Naohia,44002,57d0566cd4d4a886011940faf2b9b12f
38,GrimReaper33,43863,850be2e7ee3f0610725ddcacbf9d7752
39,Mo5GG,43766,33a06e98ce7c4ae6389c307a998c58ab
40,ASSABACK,43744,1e171079b5918193935d4b7c1ffcb6f5
41,IbaraYor,43718,9bff864aaeac31eb851313a5f82f3b4e
42,ILightDartsI,43695,c2f2da15dc4ad6447de6eb8ed730e6ad
43,CeleFlame,43648,3d20dbdb377e64baf2349bc76dbc765e
44,SadDemon,43604,1010e5a5f4d89b0e2214715f6d08df45
45,SennenGorosh,43494,bb2ef1b03bc4912c66e5c076624f23f5
46,ReaperSis,43392,38d5d791fd1ff8b350b37f85a2d21eff
47,Velvet19,43242,dd235efc373323aaa9a99810be6465bd
48,EclipsedEyes,43141,3c1925fb3a8cb23effba03f30176d28a
49,Kakudate,43123,fd12170736037e261327e433be71b74f
50,qqeegg,42911,9ab8f9a58c1e99ec3baada43d051299d
51,Luckbox,42882,47773ddde81cc968f73db5f50ca420f4
52,SemeleGereae,42723,9874a75ed6ce5d7f9fa627452f3c31f6
53,Zephe,42708,b625f565c96d570c3df3045b63e48fe9
54,LemiaSky,42705,f55a0d0f520d95a99c2ced3ceda5d503
55,Dancetonight,42688,692c79c1c30d2a165b010fb2c6d9ee5c
56,Hakaii,42680,dd5d10e59a709733ae347d2bbcf05df3
57,kapppppppppm,42635,bbbab16fc519ce64158726cbc4a0db5c
58,DancerRain,42615,3eeb36f3d6df35ad06a20efd10d8387f
59,Asassination,42562,cbdca2e412e58a1c20e4c077e05c5d5a
60,Abec,42228,fee798e4d3d98d14eb6f7392601d144b
61,Ashirijn,42100,2abeb6707b93c9547197040a3e14318f
62,CsharpShadow,42052,2e5c1f2cda14e901091bca49f376433e
63,MomoHiraiii,41822,22a51c682d2e0bf10ca9190e60aee377
64,BladeBlast,41615,0b85605d14d8474591416f78af4533bf
65,Yuukitari,41562,bafe15079799d0377306c07708c17b75
66,ReaperFlow,41543,04cd4e75842cf037cdc01966a38dd765
67,DancinShadow,41501,b6225583b1418335cafa5b670f7f3f9e
68,BLOODYRUINER,41279,1bae8f3338f7c3915f3c44529a2801e5
69,Saila,41269,8ea9bbb8696beecd0701e2d043cd5c59
70,CChiaotzu,41223,83dbaab7bbff03748b0e7c7c01d38ba7
71,FuyukiYami,41222,4d70c09803fc52f8b12fd8189be9cf81
72,MOEO,41214,98eda629442b9956ff7c85ee5997a6be
73,RedeyedBlitz,41081,136fcc46787d23b971a73458ff679137
74,RubyOwl,41073,a4e83246d3957802cc4b4900f5c4c1b8
75,xKurokaze,41036,c5fad1dd9c24c0d3d2360660d23b217d
76,Silenx,40895,7116d2239fbbf8f861a96285bbb1cd27
77,Neyuko,40854,6465b4792b576fa28844081ee496f435
78,FrankyDX,40848,a8f4796248147dbb1f31be6e89b0e6f0
79,LonelyNights,40691,120f308d2fb6f5ea61937afd5f19a46a
80,MURLies,40245,11237f7e62e98b4b31bb396f1c99c79f
81,Fossic,40241,a63364b760975f3a596089c366eb2641
82,Reinr,40239,ee23a691c089f235f05752a68091ec0b
83,CopanoRickey,40236,bd6f06d37e749dea3e48f9590f7c247b
84,MasterAmbush,40165,c383a25f35bc6f8a7ca32d0574b0edc0
85,Clafoutis,40056,774eb3db6f088349c142b770cadff199
86,Schwi,40032,8693e1c2036372d5e241a852c45bdf10
87,ToastySnatch,40027,f0680c08e7b755eca7eba9e753bd69d2
88,Asteroth`,39783,564940eb7c475252398c7da38c349120
89,ReaperAeolus,39744,5e2636d63b2ce2d4309594288f05fd23
90,Kreim,39481,b2cff911ffadefd1e9a9324c6b6d743d
91,MsEdgemadam,39295,f38ea8a113787847addba4fbf26ff01d
92,LunamStar,39263,2854c71af8dab17972e0fde8bb1a21b1
93,ChainMeUp,39153,7f80df71ad8c71aaa5ed77147478ffe7
94,ShadowNerium,39002,2fe7a3f46c7f7848064b9774a94c4672
95,Betsaleia,38997,44fe77bfc7999365e962f22f2995a430
96,Sarudene,38899,50229a43a8f05c87790a85f471b347d7
97,Cabernet,38846,3f5036eb06575897f973a37fad294ea5
98,DoxDuCouteau,38841,b4d83042e5c4a5ee53cd2fd8cca8a139
99,xenallio,38835,80a78643c5a11072041c52776242f4b4
100,TabakoJennie,38713,96c3d486183cfa4ae6b19a178c320662
101,haee77,38702,b6b92609a2350b5bbddbd80ad35003a3
102,AllKoryx,38683,b3499ff0393f77eef9d61fddffff030e
103,Kysa,38658,a8de7d8d7773f503db4917068f81a8db
104,MissMajin,38580,e2ab04cdda4d9ae00c96384bc0d402a3
105,TsumiYami,38309,cbc39323cf02c989dddfeb0c1525e745
106,StabbingFart,38302,d1bdaa56a55659b8905a2abbda495cb4
107,Zebedina3122,38269,ae24dc87f500f9b26846179720977540
108,EnyaX,38185,43ca9294e63b713e511d1b3f5cbf79f8
109,ShadowyFog,38006,aa0dd64cc7c54312f35684fa516d4142
110,Sephys,37967,82eabbb0b3e024a5f613a3ea8c786189
111,DNMDtxNMSL,37897,5810a6a02ddf5bdf02f30f2006727018
112,VVOW,37849,4ce742da41b29739773fe395f8dc618e
113,mrshighs,37838,507c51e3cc92cdde4d3f545348712e61
114,GrandLethal,37646,c3c0869d8dac059c9e671f6a704dc890
115,Umbreon,37631,501604e538e23792039c972a61a87eba
116,Way2Shady,37625,4f983852846e7c1b32c45387d5f2d82c
117,Hojades,37597,376844e313e1f9cbaa054e831196ae2e
118,Arriella,37482,d5cfe931485700686be33936f6e9cea1
119,CellicaDS,37412,ee60b45240f8213daebf49216a17c27c
120,7thEmperor,37296,5c9a2503050fc7e99242f04a7df8dbdd
121,NONOKill,37141,b2f3ff1e8ad0a52c4a780e57e71b971d
122,SaidiDancer,37119,ae867568bf8dde1432694a3d4359cad5
123,kanchoYOU,37024,7e79d457b03a7ab7cbfafcbdd57b4d9c
124,Vectoria,36953,633f5a9eb81e749f94776acd38a55aa8
125,SpookyRogue,36856,1fab302f8a9345b4820b2647eeea20f3
126,OuYouGen,36666,bde419748b5295fe909afb033fcbac0a
127,OzunuStyle,36594,ad005e96e9119b4d9cef9d614671ad56
128,TheShyThief,36540,e20332b239c2c37aed4337fea550f119
129,KuumoriMiki,36402,269c17090be820679be3e8791c98ddc9
130,Jerusha,36383,57d4652fcbb7a03f3ac12e1e79d221eb
131,IXDarkStarXI,36344,9c9dbf42c47bba45dbebd4361804c636
132,Vainim,36302,037a698737690e382fbf3791d81bd04c
133,Zystalis,36219,2c0e1327c78566d4d6c25165a43d9926
134,Selector,36149,7753da79562e7eca2730edeb09c20a0f
135,Kagezuna,36053,a78d4ad5c62d0415525f4adaa3dcd2d9
136,Trucinox.,36038,21b15ce3bf45adadc6f0cf395a5c7caf
137,PIFMAssassin,35942,108d1e64732f1119713ddde2a856afeb
138,DorothyF,35890,5915c9ba84c592a5f2753f2c40485fd9
139,KloudDancer,35875,6893eb36ee93a9560693d4bda9dcbf8b
140,Valese,35869,ca4ccf8c6fc0a6d1df81fd2e3f4ac6a8
141,Shadowerz,35827,383caa25cf6b25e5cda9bc231caf2c29
142,ShadowCoffee,35689,0657997db74cfe396d87b488fe176c2f
143,Sanamei,35668,ebad7cfeb6d5c49319da69ba0890c57e
144,StabDatAss,35552,8339f7cd45d1b49c059a5013c68d9f15
145,Ristal,35508,f52596360f64dd41c5667682a39e923e
146,RainforQiu,35486,89a9184b453b36b4c76b53e92a147e95
147,GrimLordy,35407,d3f231ec79e73921407e4129cc15689b
148,SeishinShino,35397,df921f59eb7d062305968479873c9c87
149,CarmillaRage,35373,9db9a176c5b002962f77682ce1c94054
150,Strawbridge,35229,9d4b16efaf309a45d3868ea73093502d
